LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1766633916.407886,54278,6745,1,HR,1,100,1.41
1766633916.807854,54678,6817,1,HR,1,100,34.43
1766633917.087831,54958,6853,1,HR,1,100,74.40
1766633922.700377,60571,7776,1,HR,1,100,60.25
1766633923.620303,61491,7924,1,HR,1,100,61.35
1766633924.593225,62464,8075,1,HR,1,100,61.61
1766633924.913198,62784,8127,1,HR,1,100,89.58
1766633925.193176,63064,8179,1,HR,1,100,117.30
1766633925.513150,63384,8229,1,HR,1,100,132.90
1766633925.833124,63704,8280,1,HR,1,100,145.03
1766633926.153098,64024,8349,1,HR,1,100,154.47
1766633926.633060,64504,8418,1,HR,1,100,147.92
1766633928.805884,66677,8785,1,HR,1,100,121.22
1766633929.725809,67597,8936,1,HR,1,100,108.78
1766633930.205770,68077,9020,1,HR,1,100,112.38
1766633931.045703,68917,9153,1,HR,1,100,103.28
1766633931.444670,69316,9220,1,HR,1,100,113.66
1766633932.084619,69956,9321,1,HR,1,100,109.24
1766633932.684570,70556,9407,1,HR,1,100,107.18
1766633933.004544,70876,9457,1,HR,1,100,125.03
1766633933.738485,71610,9589,1,HR,1,100,115.77
1766633934.258443,72130,9676,1,HR,1,100,115.68
1766633935.297359,73169,9849,1,HR,1,100,102.79
1766633935.617333,73489,9903,1,HR,1,100,121.62
1766633935.897310,73769,9956,1,HR,1,100,142.21
1766633936.137291,74009,9992,1,HR,1,100,166.17
1766633936.417268,74289,10043,1,HR,1,100,176.86
1766633937.297197,75169,10205,1,HR,1,100,152.71
1766633937.537178,75409,10240,1,HR,1,100,174.33
1766633937.857152,75729,10290,1,HR,1,100,177.26
1766633938.057136,75929,10325,1,HR,1,100,204.53
1766633938.591093,76463,10410,1,HR,1,100,184.72
1766633938.871070,76743,10462,1,HR,1,100,191.29
1766633939.350031,77222,10550,1,HR,1,100,176.56
1766633939.590012,77462,10587,1,HR,1,100,192.88
1766633940.469940,78342,10739,1,HR,1,100,165.17
1766633941.829831,79702,10954,1,HR,1,100,138.27
1766633943.282713,81155,11190,1,HR,1,100,116.80
1766633956.187670,94061,13282,1,HR,1,100,91.88
1766633957.347576,95221,13485,1,HR,1,100,82.95
1766633958.480484,96354,13672,1,HR,1,100,76.42
1766633959.800377,97674,13888,1,HR,1,100,69.54
1766633960.640309,98514,14021,1,HR,1,100,69.96
1766633962.319174,100193,14301,1,HR,1,100,62.35
1766633963.213101,101087,14438,1,HR,1,100,63.65
1766633963.653066,101527,14522,1,HR,1,100,79.81
1766633964.013037,101887,14575,1,HR,1,100,99.11
1766633964.852969,102727,14723,1,HR,1,100,92.96
1766633965.611907,103486,14840,1,HR,1,100,89.84
1766633966.411843,104286,14972,1,HR,1,100,86.55
