LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1766787841.406034,115806.000,16821,1,T1,1,100,23.684
1766787841.540034,115940.000,16837,1,T1,1,100,23.650
1766787841.673034,116073.000,16854,1,T1,1,100,23.636
1766787841.806034,116206.000,16871,1,T1,1,100,23.701
1766787841.940034,116340.000,16904,1,T1,1,100,23.693
1766787842.073034,116473.000,16922,1,T1,1,100,23.690
1766787842.206034,116606.000,16940,1,T1,1,100,23.653
1766787842.340034,116740.000,16972,1,T1,1,100,23.637
1766787842.473034,116873.000,16989,1,T1,1,100,23.666
1766787842.606034,117006.000,17005,1,T1,1,100,23.714
1766787842.740034,117140.000,17039,1,T1,1,100,23.663
1766787842.873034,117273.000,17056,1,T1,1,100,23.677
1766787843.006034,117406.000,17072,1,T1,1,100,23.683
1766787843.139034,117539.000,17106,1,T1,1,100,23.650
1766787843.273034,117673.000,17123,1,T1,1,100,23.600
1766787843.406034,117806.000,17142,1,T1,1,100,23.792
1766787843.539034,117939.000,17178,1,T1,1,100,23.626
1766787843.673034,118073.000,17195,1,T1,1,100,23.626
1766787843.806034,118206.000,17212,1,T1,1,100,23.732
1766787843.939034,118339.000,17229,1,T1,1,100,23.742
1766787844.073034,118473.000,17265,1,T1,1,100,23.817
1766787844.206034,118606.000,17281,1,T1,1,100,23.815
1766787844.339034,118739.000,17298,1,T1,1,100,23.849
1766787844.473034,118873.000,17332,1,T1,1,100,23.864
1766787844.606034,119006.000,17348,1,T1,1,100,23.906
1766787844.739034,119139.000,17366,1,T1,1,100,23.888
1766787844.873034,119273.000,17399,1,T1,1,100,23.952
1766787845.006034,119406.000,17415,1,T1,1,100,23.979
1766787845.139034,119539.000,17433,1,T1,1,100,23.849
1766787845.273034,119673.000,17464,1,T1,1,100,23.935
1766787845.406034,119806.000,17481,1,T1,1,100,24.078
1766787845.539034,119939.000,17498,1,T1,1,100,24.034
1766787845.673034,120073.000,17530,1,T1,1,100,23.979
1766787845.806034,120206.000,17548,1,T1,1,100,23.991
1766787845.939034,120339.000,17567,1,T1,1,100,23.961
1766787846.072034,120472.000,17583,1,T1,1,100,23.983
1766787846.206034,120606.000,17615,1,T1,1,100,24.099
1766787846.339034,120739.000,17632,1,T1,1,100,24.078
1766787846.472034,120872.000,17649,1,T1,1,100,24.069
1766787846.606034,121006.000,17680,1,T1,1,100,24.136
1766787846.739034,121139.000,17698,1,T1,1,100,24.059
1766787846.872034,121272.000,17718,1,T1,1,100,24.167
1766787847.006034,121406.000,17750,1,T1,1,100,24.108
1766787847.139034,121539.000,17769,1,T1,1,100,24.118
1766787847.272034,121672.000,17785,1,T1,1,100,24.086
1766787847.406034,121806.000,17817,1,T1,1,100,24.250
1766787847.539034,121939.000,17836,1,T1,1,100,24.356
1766787847.672034,122072.000,17852,1,T1,1,100,24.332
1766787847.806034,122206.000,17884,1,T1,1,100,24.321
1766787847.939034,122339.000,17901,1,T1,1,100,24.352
1766787848.072034,122472.000,17918,1,T1,1,100,24.436
1766787848.206034,122606.000,17935,1,T1,1,100,24.330
1766787848.339034,122739.000,17969,1,T1,1,100,24.320
1766787848.472034,122872.000,17985,1,T1,1,100,24.351
1766787848.606034,123006.000,18002,1,T1,1,100,24.436
1766787848.739034,123139.000,18023,1,T1,1,100,24.437
1766787848.872034,123272.000,18039,1,T1,1,100,24.473
1766787849.006034,123406.000,18071,1,T1,1,100,24.417
1766787849.139034,123539.000,18090,1,T1,1,100,24.500
1766787849.272034,123672.000,18106,1,T1,1,100,24.429
1766787849.405034,123805.000,18138,1,T1,1,100,24.363
1766787849.539034,123939.000,18155,1,T1,1,100,24.441
1766787849.672034,124072.000,18171,1,T1,1,100,24.581
1766787849.805034,124205.000,18203,1,T1,1,100,24.464
1766787849.939034,124339.000,18222,1,T1,1,100,24.484
1766787850.072034,124472.000,18239,1,T1,1,100,24.493
1766787850.205034,124605.000,18256,1,T1,1,100,24.568
1766787850.339034,124739.000,18290,1,T1,1,100,24.529
1766787850.472034,124872.000,18306,1,T1,1,100,24.513
1766787850.605034,125005.000,18323,1,T1,1,100,24.506
1766787850.739034,125139.000,18355,1,T1,1,100,24.502
1766787850.872034,125272.000,18371,1,T1,1,100,24.572
1766787851.005034,125405.000,18390,1,T1,1,100,24.638
1766787851.139034,125539.000,18422,1,T1,1,100,24.843
1766787851.272034,125672.000,18438,1,T1,1,100,24.755
1766787851.406034,125806.000,18456,1,T1,1,100,24.717
1766787851.539034,125939.000,18491,1,T1,1,100,24.806
1766787851.672034,126072.000,18507,1,T1,1,100,24.810
1766787851.805034,126205.000,18527,1,T1,1,100,24.847
1766787851.939034,126339.000,18543,1,T1,1,100,24.863
1766787852.072034,126472.000,18575,1,T1,1,100,24.763
1766787852.205034,126605.000,18592,1,T1,1,100,24.756
1766787852.339034,126739.000,18608,1,T1,1,100,24.859
1766787852.472034,126872.000,18640,1,T1,1,100,24.833
1766787852.605034,127005.000,18657,1,T1,1,100,24.786
1766787852.739034,127139.000,18674,1,T1,1,100,24.765
1766787852.872034,127272.000,18705,1,T1,1,100,24.792
1766787853.005034,127405.000,18722,1,T1,1,100,24.910
1766787853.138034,127538.000,18739,1,T1,1,100,24.784
1766787853.272034,127672.000,18770,1,T1,1,100,24.836
1766787853.405034,127805.000,18790,1,T1,1,100,24.893
1766787853.538034,127938.000,18806,1,T1,1,100,24.777
1766787853.672034,128072.000,18838,1,T1,1,100,24.939
1766787853.805034,128205.000,18856,1,T1,1,100,24.903
1766787853.938034,128338.000,18872,1,T1,1,100,24.922
1766787854.072034,128472.000,18890,1,T1,1,100,25.002
1766787854.205034,128605.000,18906,1,T1,1,100,24.930
1766787854.338034,128738.000,18938,1,T1,1,100,24.934
1766787854.472034,128872.000,18955,1,T1,1,100,25.042
1766787854.605034,129005.000,18971,1,T1,1,100,24.983
1766787854.738034,129138.000,19005,1,T1,1,100,24.957
1766787854.872034,129272.000,19022,1,T1,1,100,24.946
1766787855.005034,129405.000,19038,1,T1,1,100,24.906
1766787855.138034,129538.000,19070,1,T1,1,100,24.924
1766787855.272034,129672.000,19087,1,T1,1,100,25.002
1766787855.405034,129805.000,19106,1,T1,1,100,24.966
1766787855.538034,129938.000,19137,1,T1,1,100,25.056
1766787855.672034,130072.000,19154,1,T1,1,100,25.095
1766787855.805034,130205.000,19171,1,T1,1,100,25.183
1766787855.938034,130338.000,19202,1,T1,1,100,25.150
1766787856.071034,130471.000,19222,1,T1,1,100,25.100
1766787856.205034,130605.000,19238,1,T1,1,100,25.008
1766787856.338034,130738.000,19255,1,T1,1,100,25.003
1766787856.471034,130871.000,19287,1,T1,1,100,25.108
1766787856.605034,131005.000,19305,1,T1,1,100,25.082
1766787856.738034,131138.000,19323,1,T1,1,100,25.071
1766787856.872034,131272.000,19356,1,T1,1,100,24.995
1766787857.005034,131405.000,19372,1,T1,1,100,24.962
1766787857.138034,131538.000,19390,1,T1,1,100,25.019
1766787857.271034,131671.000,19421,1,T1,1,100,25.079
1766787857.405034,131805.000,19438,1,T1,1,100,25.105
1766787857.538034,131938.000,19455,1,T1,1,100,25.081
1766787857.671034,132071.000,19487,1,T1,1,100,25.000
1766787857.805034,132205.000,19503,1,T1,1,100,25.142
1766787857.938034,132338.000,19520,1,T1,1,100,25.168
1766787858.071034,132471.000,19552,1,T1,1,100,25.143
1766787858.205034,132605.000,19568,1,T1,1,100,25.168
1766787858.338034,132738.000,19585,1,T1,1,100,25.108
1766787858.471034,132871.000,19602,1,T1,1,100,25.118
1766787858.605034,133005.000,19633,1,T1,1,100,25.370
1766787858.738034,133138.000,19651,1,T1,1,100,25.302
1766787858.871034,133271.000,19667,1,T1,1,100,25.272
1766787859.005034,133405.000,19699,1,T1,1,100,25.260
1766787859.138034,133538.000,19716,1,T1,1,100,25.148
1766787859.271034,133671.000,19732,1,T1,1,100,25.348
1766787859.405034,133805.000,19764,1,T1,1,100,25.328
1766787859.538034,133938.000,19781,1,T1,1,100,25.177
1766787859.671034,134071.000,19797,1,T1,1,100,25.219
