LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1766888459.368464,47419.000,5799,1,T1,1,100,22.817
1766888269.766777,47552.000,5820,1,T1,1,100,22.814
1766888078.739514,47686.000,5836,1,T1,1,100,22.849
1766887889.137827,47819.000,5868,1,T1,1,100,22.828
1766887699.536140,47952.000,5885,1,T1,1,100,22.819
1766887508.508876,48086.000,5901,1,T1,1,100,22.851
1766887318.907189,48219.000,5937,1,T1,1,100,22.865
1766887127.879925,48353.000,5954,1,T1,1,100,22.906
1766886938.278239,48486.000,5971,1,T1,1,100,22.924
1766886748.676552,48619.000,6004,1,T1,1,100,22.932
1766886559.074864,48752.000,6021,1,T1,1,100,22.899
1766886368.047601,48886.000,6038,1,T1,1,100,22.957
1766886178.445914,49019.000,6069,1,T1,1,100,22.946
1766885988.844227,49152.000,6087,1,T1,1,100,22.977
1766885797.816963,49286.000,6103,1,T1,1,100,22.990
1766885608.215276,49419.000,6120,1,T1,1,100,22.960
1766885418.613589,49552.000,6154,1,T1,1,100,22.805
1766885227.586326,49686.000,6170,1,T1,1,100,22.987
1766885037.984639,49819.000,6187,1,T1,1,100,23.030
1766884848.382952,49952.000,6219,1,T1,1,100,22.942
1766884657.355688,50086.000,6237,1,T1,1,100,23.046
1766884467.754001,50219.000,6255,1,T1,1,100,23.020
1766884278.152314,50352.000,6286,1,T1,1,100,23.009
1766884087.125050,50486.000,6303,1,T1,1,100,23.075
1766883897.523363,50619.000,6322,1,T1,1,100,22.997
1766883707.921676,50752.000,6354,1,T1,1,100,22.999
1766883516.894413,50886.000,6370,1,T1,1,100,22.928
1766883327.292726,51019.000,6387,1,T1,1,100,22.934
1766883137.691039,51152.000,6421,1,T1,1,100,22.971
1766882946.663775,51286.000,6439,1,T1,1,100,23.023
1766882757.062088,51419.000,6456,1,T1,1,100,23.010
1766882567.460401,51552.000,6488,1,T1,1,100,22.933
1766882376.433138,51686.000,6504,1,T1,1,100,22.936
1766882186.831450,51819.000,6524,1,T1,1,100,23.043
1766881997.229764,51952.000,6540,1,T1,1,100,23.054
1766881807.628077,52085.000,6571,1,T1,1,100,22.988
1766881616.600813,52219.000,6589,1,T1,1,100,22.959
1766881426.999126,52352.000,6605,1,T1,1,100,22.982
1766881237.397439,52485.000,6637,1,T1,1,100,23.028
1766881046.370175,52619.000,6659,1,T1,1,100,23.048
1766880856.768488,52752.000,6675,1,T1,1,100,23.021
1766880667.166801,52885.000,6707,1,T1,1,100,23.044
1766880476.139538,53019.000,6724,1,T1,1,100,23.055
1766880286.537851,53152.000,6741,1,T1,1,100,22.917
1766880096.936164,53285.000,6772,1,T1,1,100,22.964
1766879905.908900,53419.000,6789,1,T1,1,100,22.985
1766879716.307213,53552.000,6806,1,T1,1,100,22.887
1766879526.705526,53685.000,6837,1,T1,1,100,22.916
1766879335.678262,53819.000,6855,1,T1,1,100,22.893
1766879146.076576,53952.000,6871,1,T1,1,100,22.883
1766878956.474889,54085.000,6903,1,T1,1,100,23.020
1766878765.447625,54219.000,6920,1,T1,1,100,22.902
1766878575.845938,54352.000,6936,1,T1,1,100,22.887
1766878386.244251,54485.000,6953,1,T1,1,100,22.916
1766878196.642564,54618.000,6985,1,T1,1,100,22.893
1766878005.615300,54752.000,7001,1,T1,1,100,22.812
1766877816.013613,54885.000,7019,1,T1,1,100,22.883
1766877626.411926,55018.000,7050,1,T1,1,100,22.878
1766877435.384663,55152.000,7067,1,T1,1,100,22.841
1766877245.782976,55285.000,7084,1,T1,1,100,22.967
1766877056.181289,55418.000,7116,1,T1,1,100,23.056
1766876865.154025,55552.000,7132,1,T1,1,100,22.918
1766876675.552338,55685.000,7149,1,T1,1,100,22.929
1766876485.950651,55818.000,7183,1,T1,1,100,22.827
1766876294.923388,55952.000,7199,1,T1,1,100,22.925
1766876105.321700,56085.000,7216,1,T1,1,100,22.897
1766875915.720013,56218.000,7233,1,T1,1,100,22.920
1766875724.692750,56352.000,7266,1,T1,1,100,22.894
1766875535.091063,56485.000,7284,1,T1,1,100,22.777
1766875345.489376,56618.000,7300,1,T1,1,100,22.904
1766875154.462112,56752.000,7332,1,T1,1,100,23.029
1766874964.860425,56885.000,7349,1,T1,1,100,22.977
1766874775.258738,57018.000,7365,1,T1,1,100,22.990
1766874584.231475,57152.000,7397,1,T1,1,100,22.925
1766874394.629788,57285.000,7414,1,T1,1,100,23.003
1766874205.028100,57418.000,7430,1,T1,1,100,23.072
1766874014.000837,57552.000,7462,1,T1,1,100,22.996
1766873824.399150,57685.000,7484,1,T1,1,100,22.963
1766873634.797463,57818.000,7501,1,T1,1,100,22.948
1766873443.770199,57952.000,7518,1,T1,1,100,22.978
1766873254.168512,58085.000,7550,1,T1,1,100,22.990
1766873064.566825,58218.000,7566,1,T1,1,100,22.925
1766872873.539562,58352.000,7583,1,T1,1,100,22.968
1766872683.937875,58485.000,7615,1,T1,1,100,22.915
1766872494.336188,58618.000,7631,1,T1,1,100,22.928
1766872304.734501,58751.000,7648,1,T1,1,100,22.933
1766872113.707237,58885.000,7680,1,T1,1,100,22.900
1766871924.105550,59018.000,7696,1,T1,1,100,22.921
1766871734.503863,59151.000,7714,1,T1,1,100,22.895
1766871543.476599,59285.000,7745,1,T1,1,100,22.848
1766871353.874913,59418.000,7761,1,T1,1,100,22.863
1766871164.273226,59551.000,7779,1,T1,1,100,22.941
1766870973.245962,59685.000,7795,1,T1,1,100,22.904
1766870783.644275,59818.000,7829,1,T1,1,100,22.852
1766870594.042588,59951.000,7848,1,T1,1,100,22.865
1766870403.015324,60085.000,7866,1,T1,1,100,22.871
1766870213.413637,60218.000,7898,1,T1,1,100,22.979
1766870023.811950,60351.000,7915,1,T1,1,100,22.991
1766869832.784687,60485.000,7932,1,T1,1,100,22.996
1766869643.183000,60618.000,7963,1,T1,1,100,22.927
1766869453.581313,60751.000,7980,1,T1,1,100,23.004
1766869262.554049,60885.000,7997,1,T1,1,100,23.073
1766869072.952362,61018.000,8030,1,T1,1,100,22.996
1766868883.350675,61151.000,8048,1,T1,1,100,22.963
1766868692.323411,61285.000,8066,1,T1,1,100,22.913
1766868502.721725,61418.000,8098,1,T1,1,100,22.891
1766868313.120038,61551.000,8115,1,T1,1,100,22.953
1766868123.518350,61684.000,8131,1,T1,1,100,23.015
1766867932.491087,61818.000,8149,1,T1,1,100,23.007
1766867742.889400,61951.000,8180,1,T1,1,100,23.003
1766867553.287713,62084.000,8198,1,T1,1,100,22.930
1766867362.260449,62218.000,8216,1,T1,1,100,23.076
1766867172.658762,62351.000,8247,1,T1,1,100,23.068
1766866983.057075,62484.000,8264,1,T1,1,100,23.030
1766866792.029812,62618.000,8281,1,T1,1,100,22.942
1766866602.428125,62751.000,8318,2,T1,1,100,22.975
1766866412.826438,62884.000,8318,2,T1,1,100,23.131
1766866221.799174,63018.000,8349,1,T1,1,100,23.128
1766866032.197487,63151.000,8367,1,T1,1,100,23.055
1766865842.595800,63284.000,8385,1,T1,1,100,23.166
1766865651.568536,63418.000,8417,1,T1,1,100,23.143
1766865461.966849,63551.000,8434,1,T1,1,100,23.097
