LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1766715433.043847,17100.000,718,1,EA,1,100,0.030101
1766715433.109847,17166.000,724,1,EA,1,100,0.030101
1766715433.176847,17233.000,739,2,EA,1,100,0.030101
1766715433.243847,17300.000,739,2,EA,1,100,0.030101
1766715433.309847,17366.000,757,1,EA,1,100,0.030101
1766715433.376847,17433.000,775,2,EA,1,100,0.030101
1766715433.443847,17500.000,775,2,EA,1,100,0.030101
1766715433.509847,17566.000,791,1,EA,1,100,0.030101
1766715433.576847,17633.000,806,2,EA,1,100,0.030101
1766715433.643847,17700.000,806,2,EA,1,100,0.030101
1766715433.709847,17766.000,823,1,EA,1,100,0.030101
1766715433.776847,17833.000,840,2,EA,1,100,0.030268
1766715433.843847,17900.000,840,2,EA,1,100,0.030141
1766715433.909847,17966.000,856,1,EA,1,100,0.030101
1766715433.976847,18033.000,873,2,EA,1,100,0.030101
1766715434.043847,18100.000,873,2,EA,1,100,0.030101
1766715434.110347,18166.500,888,2,EA,1,100,0.030101
1766715434.176847,18233.000,888,2,EA,1,100,0.030102
1766715434.243847,18300.000,905,1,EA,1,100,0.030108
1766715434.310347,18366.500,922,2,EA,1,100,0.030103
1766715434.376847,18433.000,922,2,EA,1,100,0.030101
1766715434.443847,18500.000,939,1,EA,1,100,0.030102
1766715434.510347,18566.500,955,2,EA,1,100,0.030101
1766715434.576847,18633.000,955,2,EA,1,100,0.030101
1766715434.643847,18700.000,972,1,EA,1,100,0.030103
1766715434.710347,18766.500,989,2,EA,1,100,0.030153
1766715434.776847,18833.000,989,2,EA,1,100,0.030161
1766715434.843847,18900.000,1010,1,EA,1,100,0.030102
1766715434.910347,18966.500,1024,2,EA,1,100,0.030101
1766715434.976847,19033.000,1024,2,EA,1,100,0.030101
1766715435.043847,19100.000,1042,1,EA,1,100,0.030101
1766715435.110347,19166.500,1058,2,EA,1,100,0.030102
1766715435.176847,19233.000,1058,2,EA,1,100,0.030101
1766715435.243847,19300.000,1077,1,EA,1,100,0.030101
1766715435.310347,19366.500,1092,2,EA,1,100,0.030101
1766715435.376847,19433.000,1092,2,EA,1,100,0.030102
1766715435.443847,19500.000,1109,1,EA,1,100,0.030101
1766715435.510347,19566.500,1125,2,EA,1,100,0.030101
1766715435.576847,19633.000,1125,2,EA,1,100,0.030101
1766715435.643847,19700.000,1145,1,EA,1,100,0.030101
1766715435.710347,19766.500,1160,2,EA,1,100,0.030102
1766715435.776847,19833.000,1160,2,EA,1,100,0.030101
1766715435.842847,19899.000,1177,1,EA,1,100,0.030101
1766715435.909847,19966.000,1193,2,EA,1,100,0.030101
1766715435.976847,20033.000,1193,2,EA,1,100,0.030101
1766715436.043847,20100.000,1211,1,EA,1,100,0.030101
1766715436.110347,20166.500,1226,2,EA,1,100,0.030102
1766715436.176847,20233.000,1226,2,EA,1,100,0.030101
1766715436.242847,20299.000,1242,1,EA,1,100,0.030102
1766715436.309847,20366.000,1259,2,EA,1,100,0.030101
1766715436.376847,20433.000,1259,2,EA,1,100,0.030101
1766715436.443847,20500.000,1276,1,EA,1,100,0.030101
1766715436.510347,20566.500,1293,2,EA,1,100,0.030101
1766715436.576847,20633.000,1293,2,EA,1,100,0.030101
1766715436.643347,20699.500,1310,2,EA,1,100,0.030101
1766715436.709847,20766.000,1310,2,EA,1,100,0.030101
1766715436.776847,20833.000,1326,1,EA,1,100,0.030101
1766715436.843347,20899.500,1343,2,EA,1,100,0.030101
1766715436.909847,20966.000,1343,2,EA,1,100,0.030101
1766715436.976847,21033.000,1359,1,EA,1,100,0.030101
1766715437.043347,21099.500,1375,2,EA,1,100,0.030101
1766715437.109847,21166.000,1375,2,EA,1,100,0.030101
1766715437.176847,21233.000,1391,1,EA,1,100,0.030101
1766715437.246847,21303.000,1408,2,EA,1,100,0.030101
1766715437.316847,21373.000,1408,2,EA,1,100,0.030101
1766715437.382847,21439.000,1427,1,EA,1,100,0.030101
1766715437.449847,21506.000,1443,2,EA,1,100,0.030101
1766715437.516847,21573.000,1443,2,EA,1,100,0.030101
1766715437.582847,21639.000,1458,1,EA,1,100,0.030101
1766715437.649847,21706.000,1476,2,EA,1,100,0.030101
1766715437.716847,21773.000,1476,2,EA,1,100,0.030101
1766715437.783347,21839.500,1494,2,EA,1,100,0.030101
1766715437.849847,21906.000,1494,2,EA,1,100,0.030101
1766715437.916847,21973.000,1511,1,EA,1,100,0.030101
1766715437.983347,22039.500,1526,2,EA,1,100,0.030101
1766715438.049847,22106.000,1526,2,EA,1,100,0.030101
1766715438.116847,22173.000,1545,1,EA,1,100,0.030101
1766715438.183347,22239.500,1561,2,EA,1,100,0.030101
1766715438.249847,22306.000,1561,2,EA,1,100,0.030101
1766715438.316847,22373.000,1578,1,EA,1,100,0.030101
1766715438.383347,22439.500,1593,2,EA,1,100,0.030101
1766715438.449847,22506.000,1593,2,EA,1,100,0.030101
1766715438.516847,22573.000,1610,1,EA,1,100,0.030101
1766715438.583347,22639.500,1626,2,EA,1,100,0.030101
1766715438.649847,22706.000,1626,2,EA,1,100,0.030101
1766715438.716847,22773.000,1644,1,EA,1,100,0.030101
1766715438.783347,22839.500,1658,2,EA,1,100,0.030101
1766715438.849847,22906.000,1658,2,EA,1,100,0.030101
1766715438.916847,22973.000,1675,1,EA,1,100,0.030101
1766715438.983347,23039.500,1692,2,EA,1,100,0.030101
1766715439.049847,23106.000,1692,2,EA,1,100,0.030101
1766715439.115847,23172.000,1709,1,EA,1,100,0.030101
1766715439.182847,23239.000,1725,2,EA,1,100,0.030101
1766715439.249847,23306.000,1725,2,EA,1,100,0.030101
1766715439.315847,23372.000,1742,1,EA,1,100,0.030101
1766715439.382847,23439.000,1759,2,EA,1,100,0.030101
1766715439.449847,23506.000,1759,2,EA,1,100,0.030101
1766715439.515847,23572.000,1776,1,EA,1,100,0.030101
1766715439.582847,23639.000,1790,2,EA,1,100,0.030101
1766715439.649847,23706.000,1790,2,EA,1,100,0.030101
1766715439.715847,23772.000,1808,1,EA,1,100,0.030101
1766715439.782847,23839.000,1824,2,EA,1,100,0.030101
1766715439.849847,23906.000,1824,2,EA,1,100,0.030101
1766715439.915847,23972.000,1841,1,EA,1,100,0.030101
1766715439.982847,24039.000,1857,2,EA,1,100,0.030101
1766715440.049847,24106.000,1857,2,EA,1,100,0.030101
1766715440.116347,24172.500,1873,2,EA,1,100,0.030101
1766715440.182847,24239.000,1873,2,EA,1,100,0.030100
1766715440.249847,24306.000,1889,1,EA,1,100,0.030101
1766715440.316347,24372.500,1907,2,EA,1,100,0.030101
1766715440.382847,24439.000,1907,2,EA,1,100,0.030101
1766715440.449847,24506.000,1923,1,EA,1,100,0.030101
1766715440.516347,24572.500,1938,2,EA,1,100,0.030100
1766715440.582847,24639.000,1938,2,EA,1,100,0.030100
1766715440.649847,24706.000,1954,1,EA,1,100,0.030100
1766715440.716347,24772.500,1972,2,EA,1,100,0.030100
1766715440.782847,24839.000,1972,2,EA,1,100,0.030100
1766715440.849847,24906.000,1988,1,EA,1,100,0.030100
1766715440.916347,24972.500,2003,2,EA,1,100,0.030100
1766715440.982847,25039.000,2003,2,EA,1,100,0.030100
1766715441.049847,25106.000,2020,1,EA,1,100,0.030100
1766715441.116347,25172.500,2037,2,EA,1,100,0.030100
1766715441.182847,25239.000,2037,2,EA,1,100,0.030100
1766715441.249847,25306.000,2053,1,EA,1,100,0.030100
1766715441.316347,25372.500,2069,2,EA,1,100,0.030100
1766715441.382847,25439.000,2069,2,EA,1,100,0.030100
1766715441.449847,25506.000,2085,1,EA,1,100,0.030100
1766715441.516347,25572.500,2102,2,EA,1,100,0.030100
1766715441.582847,25639.000,2102,2,EA,1,100,0.030100
1766715441.649847,25706.000,2118,1,EA,1,100,0.030100
1766715441.716347,25772.500,2134,2,EA,1,100,0.030100
1766715441.782847,25839.000,2134,2,EA,1,100,0.030100
1766715441.849847,25906.000,2150,1,EA,1,100,0.030100
1766715441.916347,25972.500,2169,2,EA,1,100,0.030100
1766715441.982847,26039.000,2169,2,EA,1,100,0.030100
1766715442.049847,26106.000,2186,1,EA,1,100,0.030100
1766715442.116347,26172.500,2202,2,EA,1,100,0.030100
1766715442.182847,26239.000,2202,2,EA,1,100,0.030100
1766715442.249847,26306.000,2217,1,EA,1,100,0.030100
1766715442.316347,26372.500,2235,2,EA,1,100,0.030100
1766715442.382847,26439.000,2235,2,EA,1,100,0.030100
1766715442.449347,26505.500,2251,2,EA,1,100,0.030100
1766715442.515847,26572.000,2251,2,EA,1,100,0.030100
1766715442.582847,26639.000,2268,1,EA,1,100,0.030100
1766715442.649347,26705.500,2283,2,EA,1,100,0.030100
1766715442.715847,26772.000,2283,2,EA,1,100,0.030100
1766715442.782847,26839.000,2302,1,EA,1,100,0.030100
1766715442.849347,26905.500,2318,2,EA,1,100,0.030100
1766715442.915847,26972.000,2318,2,EA,1,100,0.030100
1766715442.982847,27039.000,2335,1,EA,1,100,0.030100
1766715443.049347,27105.500,2352,2,EA,1,100,0.030100
1766715443.115847,27172.000,2352,2,EA,1,100,0.030100
1766715443.182847,27239.000,2369,1,EA,1,100,0.030100
