LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1766633925.885120,63756,8331,1,SA,1,100,0.001947
1766633926.152098,64023,8400,1,SA,1,100,0.008648
1766633934.283441,72155,9726,1,SA,1,100,0.008203
1766633934.683408,72555,9779,1,SA,1,100,0.004857
1766633935.083376,72955,9850,1,SA,1,100,0.001468
1766633935.349355,73221,9883,1,SA,1,100,0.003445
1766633935.616333,73488,9922,1,SA,1,100,0.003642
1766633936.483263,74355,10078,1,SA,1,100,0.003860
1766633937.083215,74955,10178,1,SA,1,100,0.002046
1766633937.883150,75755,10326,1,SA,1,100,0.002341
1766633938.682085,76554,10497,1,SA,1,100,0.001634
1766633939.150047,77022,10551,1,SA,1,100,0.004253
1766633940.015977,77888,10703,1,SA,1,100,0.001418
1766633941.948821,79821,11107,1,SA,1,100,0.039837
1766633956.212667,94086,13399,1,SA,1,100,0.012602
1766633956.946608,94820,13449,1,SA,1,100,0.004011
