LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1766787842.788034,117188,17031,1,BI,1,100,1840
1766787843.068034,117468,17084,1,BI,1,100,280
1766787844.028034,118428,17239,1,BI,1,100,960
1766787844.468034,118868,17325,1,BI,1,100,440
1766787844.828034,119228,17377,1,BI,1,100,360
1766787845.868034,120268,17541,1,BI,1,100,1040
1766787846.868034,121268,17711,1,BI,1,100,1000
1766787847.187034,121587,17762,1,BI,1,100,320
1766787848.281034,122681,17945,1,BI,1,100,1080
1766787849.161034,123561,18083,1,BI,1,100,880
1766787850.001034,124401,18215,1,BI,1,100,840
1766787851.561034,125961,18484,1,BI,1,100,1560
1766787853.454034,127854,18782,1,BI,1,100,1880
1766787854.654034,129054,18983,1,BI,1,100,1200
1766787855.373034,129773,19098,1,BI,1,100,720
1766787856.053034,130453,19214,1,BI,1,100,680
1766787856.573034,130973,19298,1,BI,1,100,520
1766787859.986034,134386,19841,1,BI,1,100,3400
1766787860.786034,135186,19977,1,BI,1,100,800
1766787862.306034,136706,20227,1,BI,1,100,1520
1766787862.839034,137239,20328,1,BI,1,100,520
1766787863.279034,137679,20395,1,BI,1,100,440
1766787864.559034,138959,20593,1,BI,1,100,1280
1766787866.399034,140799,20910,1,BI,1,100,1840
1766787866.959034,141359,20996,1,BI,1,100,560
1766787867.692034,142092,21112,1,BI,1,100,720
1766787868.972034,143372,21328,1,BI,1,100,1280
1766787869.772034,144172,21460,1,BI,1,100,800
1766787870.252034,144652,21547,1,BI,1,100,480
1766787870.932034,145332,21646,1,BI,1,100,680
1766787871.532034,145932,21747,1,BI,1,100,600
1766787872.212034,146612,21866,1,BI,1,100,680
1766787872.585034,146985,21933,1,BI,1,100,360
1766787872.905034,147305,21986,1,BI,1,100,320
1766787874.265034,148665,22201,1,BI,1,100,1360
1766787875.145034,149545,22350,1,BI,1,100,880
1766787876.945034,151345,22633,1,BI,1,100,1800
1766787877.265034,151665,22700,1,BI,1,100,320
1766787878.278034,152678,22866,1,BI,1,100,1000
1766787879.358034,153758,23034,1,BI,1,100,1080
1766787879.678034,154078,23085,1,BI,1,100,320
1766787880.118034,154518,23169,1,BI,1,100,440
1766787881.437034,155837,23386,1,BI,1,100,1320
1766787882.691034,157091,23585,1,BI,1,100,1240
1766787883.531034,157931,23720,1,BI,1,100,840
1766787885.330034,159730,24017,1,BI,1,100,1800
1766787886.090034,160490,24151,1,BI,1,100,760
1766787886.690034,161090,24232,1,BI,1,100,600
1766787887.663034,162063,24400,1,BI,1,100,960
1766787889.743034,164143,24749,1,BI,1,100,2080
1766787890.063034,164463,24801,1,BI,1,100,320
1766787890.743034,165143,24904,1,BI,1,100,680
1766787891.543034,165943,25037,1,BI,1,100,800
1766787892.196034,166596,25155,1,BI,1,100,640
1766787893.076034,167476,25289,1,BI,1,100,880
1766787893.796034,168196,25424,1,BI,1,100,720
1766787894.396034,168796,25507,1,BI,1,100,600
1766787894.996034,169396,25610,1,BI,1,100,600
1766787895.756034,170156,25744,1,BI,1,100,760
1766787896.476034,170876,25861,1,BI,1,100,720
1766787896.969034,171369,25946,1,BI,1,100,480
1766787897.849034,172249,26079,1,BI,1,100,880
1766787898.729034,173129,26228,1,BI,1,100,880
1766787899.529034,173929,26361,1,BI,1,100,800
1766787901.409034,175809,26672,1,BI,1,100,1880
1766787902.302034,176702,26808,1,BI,1,100,880
1766787902.662034,177062,26875,1,BI,1,100,360
1766787904.182034,178582,27124,1,BI,1,100,1520
1766787905.022034,179422,27258,1,BI,1,100,840
1766787906.022034,180422,27424,1,BI,1,100,1000
1766787906.675034,181075,27523,1,BI,1,100,640
1766787907.675034,182075,27693,1,BI,1,100,1000
1766787908.675034,183075,27861,1,BI,1,100,1000
1766787910.475034,184875,28156,1,BI,1,100,1800
1766787911.168034,185568,28273,1,BI,1,100,680
1766787911.768034,186168,28376,1,BI,1,100,600
1766787913.648034,188048,28672,1,BI,1,100,1880
1766787914.448034,188848,28804,1,BI,1,100,800
1766787914.687034,189087,28839,1,BI,1,100,240
1766787916.621034,191021,29152,1,BI,1,100,1920
1766787916.941034,191341,29221,1,BI,1,100,320
1766787917.661034,192061,29336,1,BI,1,100,720
1766787918.980034,193380,29555,1,BI,1,100,1320
1766787919.740034,194140,29671,1,BI,1,100,760
1766787920.260034,194660,29755,1,BI,1,100,520
1766787921.353034,195753,29937,1,BI,1,100,1080
1766787923.313034,197713,30253,1,BI,1,100,1960
1766787923.953034,198353,30369,1,BI,1,100,640
1766787928.286034,202686,31068,1,BI,1,100,4320
1766787929.006034,203406,31201,1,BI,1,100,720
1766787929.566034,203966,31287,1,BI,1,100,560
1766787930.219034,204619,31388,1,BI,1,100,640
1766787930.699034,205099,31471,1,BI,1,100,480
1766787931.619034,206019,31624,1,BI,1,100,920
1766787932.019034,206419,31696,1,BI,1,100,400
1766787932.579034,206979,31795,1,BI,1,100,560
1766787933.219034,207619,31898,1,BI,1,100,640
1766787933.819034,208219,31997,1,BI,1,100,600
1766787934.872034,209272,32163,1,BI,1,100,1040
1766787936.912034,211312,32495,1,BI,1,100,2040
1766787937.712034,212112,32629,1,BI,1,100,800
1766787938.112034,212512,32696,1,BI,1,100,400
1766787939.485034,213885,32928,1,BI,1,100,1360
1766787940.165034,214565,33028,1,BI,1,100,680
