LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1766633916.407886,54278,6744,1,BI,1,100,42560
1766633916.807854,54678,6816,1,BI,1,100,400
1766633917.087831,54958,6852,1,BI,1,100,280
1766633922.700377,60571,7775,1,BI,1,100,5600
1766633923.620303,61491,7923,1,BI,1,100,920
1766633924.593225,62464,8074,1,BI,1,100,960
1766633924.913198,62784,8126,1,BI,1,100,320
1766633925.193176,63064,8178,1,BI,1,100,280
1766633925.513150,63384,8228,1,BI,1,100,320
1766633925.833124,63704,8279,1,BI,1,100,320
1766633926.153098,64024,8348,1,BI,1,100,320
1766633926.633060,64504,8417,1,BI,1,100,480
1766633928.805884,66677,8784,1,BI,1,100,2160
1766633929.725809,67597,8935,1,BI,1,100,920
1766633930.205770,68077,9019,1,BI,1,100,480
1766633931.045703,68917,9152,1,BI,1,100,840
1766633931.444670,69316,9219,1,BI,1,100,400
1766633932.084619,69956,9320,1,BI,1,100,640
1766633932.684570,70556,9406,1,BI,1,100,600
1766633933.004544,70876,9456,1,BI,1,100,320
1766633933.738485,71610,9588,1,BI,1,100,720
1766633934.258443,72130,9675,1,BI,1,100,520
1766633935.297359,73169,9848,1,BI,1,100,1040
1766633935.617333,73489,9902,1,BI,1,100,320
1766633935.897310,73769,9955,1,BI,1,100,280
1766633936.137291,74009,9991,1,BI,1,100,240
1766633936.417268,74289,10042,1,BI,1,100,280
1766633937.297197,75169,10204,1,BI,1,100,880
1766633937.537178,75409,10239,1,BI,1,100,240
1766633937.857152,75729,10289,1,BI,1,100,320
1766633938.057136,75929,10324,1,BI,1,100,200
1766633938.591093,76463,10409,1,BI,1,100,520
1766633938.871070,76743,10461,1,BI,1,100,280
1766633939.350031,77222,10549,1,BI,1,100,480
1766633939.590012,77462,10586,1,BI,1,100,240
1766633940.469940,78342,10738,1,BI,1,100,880
1766633941.829831,79702,10953,1,BI,1,100,1360
1766633943.282713,81155,11189,1,BI,1,100,1440
1766633956.187670,94061,13281,1,BI,1,100,12880
1766633957.347576,95221,13484,1,BI,1,100,1160
1766633958.480484,96354,13671,1,BI,1,100,1120
1766633959.800377,97674,13887,1,BI,1,100,1320
1766633960.640309,98514,14020,1,BI,1,100,840
1766633962.319174,100193,14300,1,BI,1,100,1680
1766633963.213101,101087,14437,1,BI,1,100,880
1766633963.653066,101527,14521,1,BI,1,100,440
1766633964.013037,101887,14574,1,BI,1,100,360
1766633964.852969,102727,14722,1,BI,1,100,840
1766633965.611907,103486,14839,1,BI,1,100,760
1766633966.411843,104286,14971,1,BI,1,100,800
