LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1766787841.281034,115681.000,16798,1,MY,1,100,-5
1766787841.321034,115721.000,16812,3,MY,1,100,-4
1766787841.361034,115761.000,16812,3,MY,1,100,-3
1766787841.401034,115801.000,16812,3,MY,1,100,-5
1766787841.441034,115841.000,16830,2,MY,1,100,-4
1766787841.481034,115881.000,16830,2,MY,1,100,-5
1766787841.521034,115921.000,16846,3,MY,1,100,-4
1766787841.561034,115961.000,16846,3,MY,1,100,-4
1766787841.601034,116001.000,16846,3,MY,1,100,-3
1766787841.636701,116036.667,16863,3,MY,1,100,-4
1766787841.672368,116072.333,16863,3,MY,1,100,-4
1766787841.708034,116108.000,16863,3,MY,1,100,-4
1766787841.747534,116147.500,16879,2,MY,1,100,-4
1766787841.787034,116187.000,16879,2,MY,1,100,-3
1766787841.827368,116227.333,16897,3,MY,1,100,-4
1766787841.867701,116267.667,16897,3,MY,1,100,-5
1766787841.908034,116308.000,16897,3,MY,1,100,-5
1766787841.947534,116347.500,16913,2,MY,1,100,-5
1766787841.987034,116387.000,16913,2,MY,1,100,-5
1766787842.027034,116427.000,16931,3,MY,1,100,-4
1766787842.067034,116467.000,16931,3,MY,1,100,-5
1766787842.107034,116507.000,16931,3,MY,1,100,-4
1766787842.147034,116547.000,16949,2,MY,1,100,-5
1766787842.187034,116587.000,16949,2,MY,1,100,-4
1766787842.227034,116627.000,16964,3,MY,1,100,-5
1766787842.267034,116667.000,16964,3,MY,1,100,-5
1766787842.307034,116707.000,16964,3,MY,1,100,-5
1766787842.347034,116747.000,16981,2,MY,1,100,-5
1766787842.387034,116787.000,16981,2,MY,1,100,-4
1766787842.427367,116827.333,16998,3,MY,1,100,-5
1766787842.467701,116867.667,16998,3,MY,1,100,-5
1766787842.508034,116908.000,16998,3,MY,1,100,-6
1766787842.543367,116943.333,17014,3,MY,1,100,-5
1766787842.578701,116978.667,17014,3,MY,1,100,-4
1766787842.614034,117014.000,17014,3,MY,1,100,-5
1766787842.654034,117054.000,17029,2,MY,1,100,-5
1766787842.694034,117094.000,17029,2,MY,1,100,-5
1766787842.734034,117134.000,17048,3,MY,1,100,-5
1766787842.774034,117174.000,17048,3,MY,1,100,-4
1766787842.814034,117214.000,17048,3,MY,1,100,-5
1766787842.854034,117254.000,17065,2,MY,1,100,-4
