LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1766787841.295034,115695.000,16786,1,PR,1,100,95661
1766787841.335034,115735.000,16801,2,PR,1,100,95661
1766787841.375034,115775.000,16801,2,PR,1,100,95657
1766787841.415034,115815.000,16817,3,PR,1,100,95688
1766787841.455034,115855.000,16817,3,PR,1,100,95638
1766787841.495034,115895.000,16817,3,PR,1,100,95588
1766787841.535034,115935.000,16833,2,PR,1,100,95549
1766787841.575034,115975.000,16833,2,PR,1,100,95506
1766787841.615034,116015.000,16850,3,PR,1,100,95465
1766787841.655034,116055.000,16850,3,PR,1,100,95400
1766787841.695034,116095.000,16850,3,PR,1,100,95324
1766787841.735034,116135.000,16867,2,PR,1,100,95242
1766787841.775034,116175.000,16867,2,PR,1,100,95074
1766787841.815034,116215.000,16885,3,PR,1,100,94799
1766787841.855034,116255.000,16885,3,PR,1,100,94630
1766787841.895034,116295.000,16885,3,PR,1,100,94853
1766787841.935034,116335.000,16900,3,PR,1,100,95451
1766787841.975034,116375.000,16900,3,PR,1,100,95641
1766787842.015034,116415.000,16900,3,PR,1,100,95688
1766787842.055034,116455.000,16918,2,PR,1,100,95705
1766787842.095034,116495.000,16918,2,PR,1,100,95666
1766787842.135034,116535.000,16936,3,PR,1,100,95709
1766787842.175034,116575.000,16936,3,PR,1,100,95778
1766787842.215034,116615.000,16936,3,PR,1,100,95791
1766787842.255034,116655.000,16953,2,PR,1,100,95820
1766787842.295034,116695.000,16953,2,PR,1,100,95802
1766787842.335034,116735.000,16968,3,PR,1,100,95796
1766787842.375034,116775.000,16968,3,PR,1,100,95809
1766787842.415034,116815.000,16968,3,PR,1,100,95839
1766787842.461534,116861.500,16985,2,PR,1,100,95854
1766787842.508034,116908.000,16985,2,PR,1,100,95838
1766787842.548034,116948.000,17001,2,PR,1,100,95739
1766787842.588034,116988.000,17001,2,PR,1,100,95680
1766787842.628034,117028.000,17018,3,PR,1,100,95714
1766787842.668034,117068.000,17018,3,PR,1,100,95772
1766787842.708034,117108.000,17018,3,PR,1,100,95733
1766787842.748034,117148.000,17035,2,PR,1,100,95653
1766787842.788034,117188.000,17035,2,PR,1,100,95625
1766787842.828034,117228.000,17052,3,PR,1,100,95487
1766787842.868034,117268.000,17052,3,PR,1,100,94973
1766787842.908034,117308.000,17052,3,PR,1,100,95076
1766787842.948034,117348.000,17068,3,PR,1,100,95411
1766787842.988034,117388.000,17068,3,PR,1,100,95655
1766787843.028034,117428.000,17068,3,PR,1,100,95753
1766787843.068034,117468.000,17088,2,PR,1,100,95755
1766787843.108034,117508.000,17088,2,PR,1,100,95762
1766787843.148034,117548.000,17102,3,PR,1,100,95750
1766787843.188034,117588.000,17102,3,PR,1,100,95734
1766787843.228034,117628.000,17102,3,PR,1,100,95704
1766787843.268034,117668.000,17119,2,PR,1,100,95699
1766787843.308034,117708.000,17119,2,PR,1,100,95713
1766787843.348034,117748.000,17138,3,PR,1,100,95797
1766787843.388034,117788.000,17138,3,PR,1,100,95786
1766787843.428034,117828.000,17138,3,PR,1,100,95796
1766787843.468034,117868.000,17155,2,PR,1,100,95805
1766787843.508034,117908.000,17155,2,PR,1,100,95801
1766787843.548034,117948.000,17174,3,PR,1,100,95776
1766787843.588034,117988.000,17174,3,PR,1,100,95802
1766787843.628034,118028.000,17174,3,PR,1,100,95775
1766787843.668034,118068.000,17191,2,PR,1,100,95722
1766787843.708034,118108.000,17191,2,PR,1,100,95572
1766787843.748034,118148.000,17208,3,PR,1,100,94981
1766787843.788034,118188.000,17208,3,PR,1,100,94500
1766787843.828034,118228.000,17208,3,PR,1,100,94979
1766787843.868034,118268.000,17225,2,PR,1,100,95469
1766787843.908034,118308.000,17225,2,PR,1,100,95656
1766787843.948034,118348.000,17242,3,PR,1,100,95715
1766787843.988034,118388.000,17242,3,PR,1,100,95733
1766787844.028034,118428.000,17242,3,PR,1,100,95727
1766787844.068034,118468.000,17261,2,PR,1,100,95708
1766787844.108034,118508.000,17261,2,PR,1,100,95666
1766787844.148034,118548.000,17277,3,PR,1,100,95662
1766787844.188034,118588.000,17277,3,PR,1,100,95690
1766787844.228034,118628.000,17277,3,PR,1,100,95684
1766787844.268034,118668.000,17294,3,PR,1,100,95700
1766787844.308034,118708.000,17294,3,PR,1,100,95669
1766787844.348034,118748.000,17294,3,PR,1,100,95645
1766787844.388034,118788.000,17311,2,PR,1,100,95702
1766787844.428034,118828.000,17311,2,PR,1,100,95762
1766787844.468034,118868.000,17328,3,PR,1,100,95800
1766787844.508034,118908.000,17328,3,PR,1,100,95843
1766787844.548034,118948.000,17328,3,PR,1,100,95034
1766787844.588034,118988.000,17344,2,PR,1,100,94114
1766787844.628034,119028.000,17344,2,PR,1,100,94397
1766787844.668034,119068.000,17362,3,PR,1,100,95077
1766787844.708034,119108.000,17362,3,PR,1,100,95489
1766787844.748034,119148.000,17362,3,PR,1,100,95688
1766787844.788034,119188.000,17380,2,PR,1,100,95791
1766787844.828034,119228.000,17380,2,PR,1,100,95840
1766787844.868034,119268.000,17395,3,PR,1,100,95872
1766787844.908034,119308.000,17395,3,PR,1,100,95853
1766787844.948034,119348.000,17395,3,PR,1,100,95838
1766787844.988034,119388.000,17411,2,PR,1,100,95831
1766787845.028034,119428.000,17411,2,PR,1,100,95799
1766787845.068034,119468.000,17429,3,PR,1,100,95751
1766787845.108034,119508.000,17429,3,PR,1,100,95745
1766787845.148034,119548.000,17429,3,PR,1,100,95821
1766787845.188034,119588.000,17445,2,PR,1,100,95906
1766787845.228034,119628.000,17445,2,PR,1,100,95881
1766787845.268034,119668.000,17460,3,PR,1,100,95811
1766787845.308034,119708.000,17460,3,PR,1,100,95787
1766787845.348034,119748.000,17460,3,PR,1,100,95771
1766787845.388034,119788.000,17477,3,PR,1,100,95790
1766787845.428034,119828.000,17477,3,PR,1,100,95750
1766787845.468034,119868.000,17477,3,PR,1,100,95711
1766787845.508034,119908.000,17494,2,PR,1,100,95757
