LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1766787841.480034,115880.000,16815,1,SF,1,100,23.0632
1766787841.747034,116147.000,16865,1,SF,1,100,22.7964
1766787842.080034,116480.000,16916,1,SF,1,100,22.5327
1766787842.413034,116813.000,16966,1,SF,1,100,24.3542
1766787842.813034,117213.000,17033,1,SF,1,100,24.0725
1766787843.080034,117480.000,17086,1,SF,1,100,23.7940
1766787843.413034,117813.000,17136,1,SF,1,100,25.6010
1766787843.813034,118213.000,17206,1,SF,1,100,25.3049
1766787844.080034,118480.000,17259,1,SF,1,100,27.0944
1766787844.413034,118813.000,17309,1,SF,1,100,26.7810
1766787844.746034,119146.000,17360,1,SF,1,100,26.4712
1766787845.146034,119546.000,17427,1,SF,1,100,26.1650
1766787845.413034,119813.000,17475,1,SF,1,100,25.8623
1766787845.746034,120146.000,17524,1,SF,1,100,25.5631
1766787846.146034,120546.000,17594,1,SF,1,100,27.3496
1766787846.480034,120880.000,17643,1,SF,1,100,27.0333
1766787846.746034,121146.000,17692,1,SF,1,100,26.7205
1766787847.080034,121480.000,17744,1,SF,1,100,26.4114
1766787847.480034,121880.000,17811,1,SF,1,100,26.1059
1766787847.746034,122146.000,17864,1,SF,1,100,27.8862
1766787848.079034,122479.000,17912,1,SF,1,100,27.5636
1766787848.413034,122813.000,17963,1,SF,1,100,27.2447
1766787848.746034,123146.000,18017,1,SF,1,100,26.9295
1766787849.079034,123479.000,18065,1,SF,1,100,26.6180
1766787849.479034,123879.000,18132,1,SF,1,100,26.3101
1766787849.746034,124146.000,18183,1,SF,1,100,26.0057
1766787850.079034,124479.000,18233,1,SF,1,100,25.7049
1766787850.412034,124812.000,18284,1,SF,1,100,27.4898
1766787850.812034,125212.000,18349,1,SF,1,100,27.1718
1766787851.079034,125479.000,18401,1,SF,1,100,28.9397
1766787851.412034,125812.000,18450,1,SF,1,100,28.6049
1766787851.812034,126212.000,18521,1,SF,1,100,30.3563
1766787852.079034,126479.000,18569,1,SF,1,100,30.0051
1766787852.412034,126812.000,18619,1,SF,1,100,29.6580
1766787852.746034,127146.000,18668,1,SF,1,100,29.3149
1766787853.146034,127546.000,18733,1,SF,1,100,28.9758
1766787853.412034,127812.000,18784,1,SF,1,100,28.6406
1766787853.745034,128145.000,18832,1,SF,1,100,28.3093
1766787854.079034,128479.000,18884,1,SF,1,100,27.9818
1766787854.412034,128812.000,18932,1,SF,1,100,27.6581
1766787854.812034,129212.000,18999,1,SF,1,100,27.3382
1766787855.079034,129479.000,19050,1,SF,1,100,27.0219
1766787855.412034,129812.000,19100,1,SF,1,100,26.7093
1766787855.812034,130212.000,19165,1,SF,1,100,26.4004
1766787856.079034,130479.000,19216,1,SF,1,100,26.0950
1766787856.412034,130812.000,19265,1,SF,1,100,25.7931
1766787856.745034,131145.000,19317,1,SF,1,100,25.4947
1766787857.145034,131545.000,19384,1,SF,1,100,25.1998
1766787857.412034,131812.000,19432,1,SF,1,100,24.9083
1766787857.745034,132145.000,19481,1,SF,1,100,24.6201
1766787858.145034,132545.000,19546,1,SF,1,100,24.3353
1766787858.412034,132812.000,19596,1,SF,1,100,24.0538
1766787858.745034,133145.000,19645,1,SF,1,100,23.7756
1766787859.078034,133478.000,19693,1,SF,1,100,23.5005
1766787859.478034,133878.000,19758,1,SF,1,100,23.2287
1766787859.745034,134145.000,19809,1,SF,1,100,22.9600
1766787860.078034,134478.000,19861,1,SF,1,100,24.7766
1766787860.478034,134878.000,19926,1,SF,1,100,24.4900
1766787860.745034,135145.000,19979,1,SF,1,100,26.2889
1766787861.078034,135478.000,20028,1,SF,1,100,25.9848
1766787861.411034,135811.000,20078,1,SF,1,100,25.6842
1766787861.811034,136211.000,20145,1,SF,1,100,25.3871
1766787862.078034,136478.000,20193,1,SF,1,100,25.0934
1766787862.411034,136811.000,20244,1,SF,1,100,24.8032
1766787862.811034,137211.000,20311,1,SF,1,100,26.5985
1766787863.078034,137478.000,20363,1,SF,1,100,26.2908
1766787863.411034,137811.000,20414,1,SF,1,100,25.9867
1766787863.744034,138144.000,20462,1,SF,1,100,25.6860
1766787864.144034,138544.000,20527,1,SF,1,100,25.3889
1766787864.411034,138811.000,20578,1,SF,1,100,25.0952
1766787864.744034,139144.000,20628,1,SF,1,100,24.8049
1766787865.144034,139544.000,20693,1,SF,1,100,24.5180
1766787865.411034,139811.000,20742,1,SF,1,100,24.2343
1766787865.744034,140144.000,20791,1,SF,1,100,23.9540
1766787866.078034,140478.000,20841,1,SF,1,100,23.6769
1766787866.478034,140878.000,20912,1,SF,1,100,27.5675
1766787866.744034,141144.000,20960,1,SF,1,100,27.2486
1766787867.077034,141477.000,21013,1,SF,1,100,26.9334
1766787867.477034,141877.000,21078,1,SF,1,100,26.6218
1766787867.744034,142144.000,21130,1,SF,1,100,26.3139
1766787868.077034,142477.000,21181,1,SF,1,100,28.0917
1766787868.411034,142811.000,21229,1,SF,1,100,27.7667
1766787868.811034,143211.000,21294,1,SF,1,100,27.4455
1766787869.077034,143477.000,21347,1,SF,1,100,27.1280
1766787869.411034,143811.000,21395,1,SF,1,100,26.8142
1766787869.811034,144211.000,21462,1,SF,1,100,26.5040
1766787870.144034,144544.000,21513,1,SF,1,100,28.2797
1766787870.410034,144810.000,21565,1,SF,1,100,27.9525
1766787870.744034,145144.000,21614,1,SF,1,100,27.6292
1766787871.144034,145544.000,21681,1,SF,1,100,27.3096
1766787871.410034,145810.000,21729,1,SF,1,100,26.9936
1766787871.744034,146144.000,21782,1,SF,1,100,28.7636
1766787872.144034,146544.000,21850,1,SF,1,100,28.4309
1766787872.477034,146877.000,21901,1,SF,1,100,28.1020
1766787872.744034,147144.000,21952,1,SF,1,100,27.7769
1766787873.077034,147477.000,22004,1,SF,1,100,29.5378
1766787873.477034,147877.000,22069,1,SF,1,100,29.1962
1766787873.743034,148143.000,22120,1,SF,1,100,28.8584
1766787874.077034,148477.000,22168,1,SF,1,100,28.5246
1766787874.410034,148810.000,22219,1,SF,1,100,28.1946
1766787874.810034,149210.000,22284,1,SF,1,100,27.8684
1766787875.077034,149477.000,22334,1,SF,1,100,27.5461
1766787875.410034,149810.000,22385,1,SF,1,100,27.2274
1766787875.810034,150210.000,22450,1,SF,1,100,26.9124
1766787876.077034,150477.000,22500,1,SF,1,100,28.6834
1766787876.410034,150810.000,22550,1,SF,1,100,28.3515
1766787876.743034,151143.000,22599,1,SF,1,100,28.0236
1766787877.143034,151543.000,22668,1,SF,1,100,27.6994
1766787877.410034,151810.000,22719,1,SF,1,100,27.3790
1766787877.743034,152143.000,22767,1,SF,1,100,27.0622
1766787878.143034,152543.000,22832,1,SF,1,100,26.7492
1766787878.410034,152810.000,22885,1,SF,1,100,26.4398
1766787878.743034,153143.000,22935,1,SF,1,100,28.2161
1766787879.076034,153476.000,22984,1,SF,1,100,27.8897
1766787879.476034,153876.000,23051,1,SF,1,100,27.5671
1766787879.743034,154143.000,23103,1,SF,1,100,27.2482
1766787880.076034,154476.000,23152,1,SF,1,100,26.9330
1766787880.476034,154876.000,23219,1,SF,1,100,26.6214
1766787880.743034,155143.000,23269,1,SF,1,100,28.3957
1766787881.076034,155476.000,23319,1,SF,1,100,28.0673
1766787881.409034,155809.000,23368,1,SF,1,100,27.7426
1766787881.809034,156209.000,23437,1,SF,1,100,27.4216
1766787882.076034,156476.000,23486,1,SF,1,100,27.1044
1766787882.409034,156809.000,23534,1,SF,1,100,26.7909
1766787882.809034,157209.000,23602,1,SF,1,100,26.4810
1766787883.076034,157476.000,23652,1,SF,1,100,26.1746
1766787883.409034,157809.000,23702,1,SF,1,100,27.9541
1766787883.742034,158142.000,23755,1,SF,1,100,29.7130
