LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1766633906.608679,44478.000,5166,3,MZ,1,100,-8
1766633906.608679,44478.000,5166,3,MZ,1,100,-9
1766633906.608679,44478.000,5166,3,MZ,1,100,-9
1766633906.648675,44518.000,5183,2,MZ,1,100,-8
1766633906.688672,44558.000,5183,2,MZ,1,100,-9
1766633906.728669,44598.000,5199,3,MZ,1,100,-8
1766633906.768666,44638.000,5199,3,MZ,1,100,-8
1766633906.808663,44678.000,5199,3,MZ,1,100,-7
1766633906.848659,44718.000,5215,2,MZ,1,100,-8
1766633906.888656,44758.000,5215,2,MZ,1,100,-7
1766633906.924320,44793.667,5231,3,MZ,1,100,-8
1766633906.959984,44829.333,5231,3,MZ,1,100,-7
1766633906.995647,44865.000,5231,3,MZ,1,100,-8
1766633907.035644,44905.000,5248,3,MZ,1,100,-8
1766633907.075641,44945.000,5248,3,MZ,1,100,-9
1766633907.115638,44985.000,5248,3,MZ,1,100,-8
1766633907.155635,45025.000,5265,3,MZ,1,100,-7
1766633907.195631,45065.000,5265,3,MZ,1,100,-8
1766633907.235628,45105.000,5265,3,MZ,1,100,-8
1766633907.275625,45145.000,5280,2,MZ,1,100,-8
1766633907.315622,45185.000,5280,2,MZ,1,100,-7
1766633907.355618,45225.000,5296,3,MZ,1,100,-8
1766633907.395615,45265.000,5296,3,MZ,1,100,-8
1766633907.435612,45305.000,5296,3,MZ,1,100,-7
1766633907.475609,45345.000,5313,2,MZ,1,100,-7
1766633907.515605,45385.000,5313,2,MZ,1,100,-6
1766633907.555602,45425.000,5330,3,MZ,1,100,-8
1766633907.595599,45465.000,5330,3,MZ,1,100,-7
1766633907.635596,45505.000,5330,3,MZ,1,100,-8
1766633907.675592,45545.000,5345,2,MZ,1,100,-7
1766633907.715589,45585.000,5345,2,MZ,1,100,-9
1766633907.751253,45620.667,5361,3,MZ,1,100,-8
1766633907.786917,45656.333,5361,3,MZ,1,100,-7
1766633907.822581,45692.000,5361,3,MZ,1,100,-8
1766633907.862577,45732.000,5379,3,MZ,1,100,-8
1766633907.902574,45772.000,5379,3,MZ,1,100,-9
1766633907.942571,45812.000,5379,3,MZ,1,100,-9
1766633907.982568,45852.000,5395,2,MZ,1,100,-8
1766633908.022564,45892.000,5395,2,MZ,1,100,-9
1766633908.062895,45932.333,5411,3,MZ,1,100,-8
1766633908.103225,45972.667,5411,3,MZ,1,100,-8
1766633908.143555,46013.000,5411,3,MZ,1,100,-8
1766633908.183052,46052.500,5427,2,MZ,1,100,-9
1766633908.222548,46092.000,5427,2,MZ,1,100,-8
1766633908.262545,46132.000,5444,3,MZ,1,100,-9
1766633908.302542,46172.000,5444,3,MZ,1,100,-8
1766633908.342539,46212.000,5444,3,MZ,1,100,-8
1766633908.382535,46252.000,5460,2,MZ,1,100,-9
1766633908.422532,46292.000,5460,2,MZ,1,100,-10
