LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1766715433.051847,17108.000,720,1,TH,1,100,26.902
1766715433.184847,17241.000,742,1,TH,1,100,26.909
1766715433.317847,17374.000,760,1,TH,1,100,26.982
1766715433.451847,17508.000,778,1,TH,1,100,26.981
1766715433.584847,17641.000,809,1,TH,1,100,26.868
1766715433.717847,17774.000,826,1,TH,1,100,26.869
1766715433.851847,17908.000,843,1,TH,1,100,26.847
1766715433.984847,18041.000,875,1,TH,1,100,26.847
1766715434.117847,18174.000,891,1,TH,1,100,26.887
1766715434.251847,18308.000,908,1,TH,1,100,26.901
1766715434.384847,18441.000,925,1,TH,1,100,26.937
1766715434.517847,18574.000,958,1,TH,1,100,26.951
1766715434.651847,18708.000,975,1,TH,1,100,27.111
1766715434.784847,18841.000,992,1,TH,1,100,27.097
1766715434.917847,18974.000,1027,1,TH,1,100,27.126
1766715435.050847,19107.000,1045,1,TH,1,100,27.126
1766715435.184847,19241.000,1061,1,TH,1,100,27.132
1766715435.317847,19374.000,1095,1,TH,1,100,27.139
1766715435.450847,19507.000,1112,1,TH,1,100,27.152
1766715435.584847,19641.000,1128,1,TH,1,100,27.152
1766715435.717847,19774.000,1163,1,TH,1,100,27.119
1766715435.850847,19907.000,1180,1,TH,1,100,27.119
1766715435.984847,20041.000,1196,1,TH,1,100,27.093
1766715436.117847,20174.000,1228,1,TH,1,100,27.093
1766715436.250847,20307.000,1245,1,TH,1,100,27.048
1766715436.384847,20441.000,1262,1,TH,1,100,27.048
1766715436.517847,20574.000,1295,1,TH,1,100,27.099
1766715436.650847,20707.000,1313,1,TH,1,100,27.099
1766715436.784847,20841.000,1329,1,TH,1,100,27.139
1766715436.917847,20974.000,1346,1,TH,1,100,27.146
1766715437.050847,21107.000,1378,1,TH,1,100,27.062
1766715437.184847,21241.000,1394,1,TH,1,100,27.062
1766715437.324847,21381.000,1411,1,TH,1,100,27.037
1766715437.457847,21514.000,1445,1,TH,1,100,27.037
1766715437.590847,21647.000,1461,1,TH,1,100,27.109
1766715437.724847,21781.000,1479,1,TH,1,100,27.109
1766715437.857847,21914.000,1497,1,TH,1,100,26.984
1766715437.990847,22047.000,1529,1,TH,1,100,26.991
1766715438.124847,22181.000,1548,1,TH,1,100,27.044
