LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1766863770.641638,31136.000,3146,1,B%,1,100,69
1766863775.643717,36135.000,3976,1,B%,1,100,68
1766863780.646797,41135.000,4788,1,B%,1,100,68
1766863785.648876,46134.000,5603,1,B%,1,100,68
1766863790.651956,51134.000,6420,1,B%,1,100,66
1766863795.654035,56133.000,7218,1,B%,1,100,66
1766863800.663118,61139.000,8038,1,B%,1,100,66
1766863805.666198,66139.000,8854,1,B%,1,100,66
1766863810.668277,71138.000,9685,1,B%,1,100,66
1766863815.677360,76144.000,10493,1,B%,1,100,65
1766863820.687444,81151.000,11308,1,B%,1,100,66
1766863825.689523,86150.000,12127,1,B%,1,100,66
1766863830.692603,91150.000,12978,1,B%,1,100,65
1766863835.701686,96156.000,13774,1,B%,1,100,65
1766863840.710769,101162.000,14609,1,B%,1,100,65
1766863845.712849,106161.000,15428,1,B%,1,100,65
1766863850.728936,111174.000,16249,1,B%,1,100,65
1766863855.732016,116174.000,17072,1,B%,1,100,65
1766863860.741099,121180.000,17905,1,B%,1,100,65
1766863865.750183,126186.000,18723,1,B%,1,100,64
1766863870.759266,131192.000,19555,1,B%,1,100,64
1766863875.775354,136205.000,20362,1,B%,1,100,64
1766863880.784437,141211.000,21174,1,B%,1,100,64
1766863885.793520,146217.000,21989,1,B%,1,100,64
1766863890.796600,151217.000,22802,1,B%,1,100,64
1766863895.812688,156230.000,23612,1,B%,1,100,64
1766863900.821771,161236.000,24447,1,B%,1,100,64
1766863905.824851,166236.000,25260,1,B%,1,100,64
1766863910.826930,171235.000,26067,1,B%,1,100,64
1766863915.836013,176241.000,26885,1,B%,1,100,64
1766863920.839093,181241.000,27714,1,B%,1,100,64
1766863925.841172,186240.000,28521,1,B%,1,100,63
1766863930.850255,191246.000,29330,1,B%,1,100,62
1766863935.866343,196259.000,30164,1,B%,1,100,63
1766863940.875427,201265.000,30977,1,B%,1,100,63
1766863945.878506,206265.000,31788,1,B%,1,100,63
1766863950.887589,211271.000,32630,1,B%,1,100,63
1766863955.896673,216277.000,33459,1,B%,1,100,62
1766863960.899753,221277.000,34284,1,B%,1,100,62
1766863965.901832,226276.000,35103,1,B%,1,100,62
1766863970.910915,231282.000,35925,1,B%,1,100,62
1766863975.919998,236288.000,36740,1,B%,1,100,62
1766863980.936086,241301.000,37560,1,B%,1,100,62
1766863985.939166,246301.000,38361,1,B%,1,100,62
1766863990.941245,251300.000,39180,1,B%,1,100,62
1766863995.957333,256313.000,39988,1,B%,1,100,61
1766864000.960412,261313.000,40799,1,B%,1,100,62
1766864005.962491,266312.000,41612,1,B%,1,100,61
1766864010.965571,271312.000,42421,1,B%,1,100,61
1766864015.967650,276311.000,43249,1,B%,1,100,61
1766864020.970730,281311.000,44062,1,B%,1,100,61
1766864025.972809,286310.000,44874,1,B%,1,100,61
1766864030.981892,291316.000,45699,1,B%,1,100,61
1766864035.990976,296322.000,46508,1,B%,1,100,62
1766864040.994055,301322.000,47315,1,B%,1,100,61
1766864045.996134,306321.000,48118,1,B%,1,100,61
1766864050.999214,311321.000,48921,1,B%,1,100,61
1766864056.001293,316320.000,49744,1,B%,1,100,62
1766864061.004373,321320.000,50530,1,B%,1,100,61
1766864066.007452,326320.000,51351,1,B%,1,100,61
1766864071.009531,331319.000,52156,1,B%,1,100,61
1766864076.011611,336318.000,52961,1,B%,1,100,61
1766864081.014690,341318.000,53770,1,B%,1,100,61
1766864086.017770,346318.000,54578,1,B%,1,100,60
1766864091.019849,351317.000,55403,1,B%,1,100,61
1766864096.028932,356323.000,56209,1,B%,1,100,60
1766864101.052024,361343.000,57021,1,B%,1,100,60
1766864106.054103,366342.000,57852,1,B%,1,100,60
1766864111.070191,371355.000,58671,1,B%,1,100,60
1766864116.079274,376361.000,59476,1,B%,1,100,60
1766864121.088358,381367.000,60291,1,B%,1,100,61
1766864126.097441,386373.000,61124,1,B%,1,100,60
1766864131.100521,391373.000,61944,1,B%,1,100,60
1766864136.102600,396372.000,62758,1,B%,1,100,60
1766864141.125692,401392.000,63570,1,B%,1,100,60
1766864146.134775,406398.000,64409,1,B%,1,100,60
1766864151.137855,411398.000,65216,1,B%,1,100,60
1766864156.139934,416397.000,493,1,B%,1,100,59
1766864161.143014,421397.000,1310,1,B%,1,100,59
1766864166.145093,426396.000,2145,1,B%,1,100,60
1766864171.148172,431396.000,2963,1,B%,1,100,60
1766864176.157256,436402.000,3785,1,B%,1,100,59
1766864181.166339,441408.000,4606,1,B%,1,100,59
1766864186.168418,446407.000,5437,1,B%,1,100,59
1766864191.171498,451407.000,6264,1,B%,1,100,59
1766864196.173577,456406.000,7082,1,B%,1,100,59
1766864201.183661,461413.000,7895,1,B%,1,100,59
1766864206.185740,466412.000,8704,1,B%,1,100,59
1766864211.188820,471412.000,9527,1,B%,1,100,58
1766864216.203907,476424.000,10334,1,B%,1,100,58
1766864221.213991,481431.000,11152,1,B%,1,100,58
1766864226.229078,486443.000,11960,1,B%,1,100,58
1766864231.239162,491450.000,12783,1,B%,1,100,58
1766864236.248245,496456.000,13596,1,B%,1,100,58
1766864241.250324,501455.000,14414,1,B%,1,100,58
1766864246.266412,506468.000,15247,1,B%,1,100,57
1766864251.269492,511468.000,16058,1,B%,1,100,58
1766864256.271571,516467.000,16868,1,B%,1,100,57
1766864261.287658,521480.000,17678,1,B%,1,100,57
1766864266.289737,526479.000,18514,1,B%,1,100,58
1766864271.299821,531486.000,19328,1,B%,1,100,57
1766864276.308905,536492.000,20138,1,B%,1,100,57
1766864281.317988,541498.000,20957,1,B%,1,100,57
1766864286.320067,546497.000,21768,1,B%,1,100,57
1766864291.330151,551504.000,22603,1,B%,1,100,56
1766864296.332230,556503.000,23420,1,B%,1,100,56
1766864301.348318,561516.000,24234,1,B%,1,100,57
1766864306.357401,566522.000,25056,1,B%,1,100,56
1766864311.360481,571522.000,25885,1,B%,1,100,57
1766864316.369564,576528.000,26701,1,B%,1,100,57
1766864321.385652,581541.000,27506,1,B%,1,100,56
1766864326.394735,586547.000,28338,1,B%,1,100,56
1766864331.410823,591560.000,29154,1,B%,1,100,56
1766864336.419906,596566.000,29964,1,B%,1,100,56
1766864341.421986,601565.000,30777,1,B%,1,100,56
1766864346.431069,606571.000,31612,1,B%,1,100,56
1766864351.441153,611578.000,32430,1,B%,1,100,56
1766864356.443232,616577.000,33241,1,B%,1,100,56
1766864361.459320,621590.000,34057,1,B%,1,100,56
1766864366.461399,626589.000,34862,1,B%,1,100,56
1766864371.464478,631589.000,35695,1,B%,1,100,56
1766864376.480566,636602.000,36509,1,B%,1,100,56
1766864381.482645,641601.000,37326,1,B%,1,100,56
1766864386.485725,646601.000,38140,1,B%,1,100,56
1766864391.494808,651607.000,38963,1,B%,1,100,56
1766864396.496887,656606.000,39765,1,B%,1,100,56
1766864401.506971,661613.000,40577,1,B%,1,100,56
1766864406.509050,666612.000,41399,1,B%,1,100,56
1766864411.512130,671612.000,42236,1,B%,1,100,56
1766864416.514209,676611.000,43058,1,B%,1,100,56
1766864421.530297,681624.000,43866,1,B%,1,100,55
1766864426.539380,686630.000,44672,1,B%,1,100,55
1766864431.542460,691630.000,45497,1,B%,1,100,55
1766864436.544539,696629.000,46305,1,B%,1,100,55
1766864441.547619,701629.000,47119,1,B%,1,100,55
1766864446.549698,706628.000,47926,1,B%,1,100,55
1766864451.552777,711628.000,48739,1,B%,1,100,54
1766864456.554856,716627.000,49570,1,B%,1,100,54
1766864461.557936,721627.000,50387,1,B%,1,100,54
1766864466.560015,726626.000,51195,1,B%,1,100,54
1766864471.562094,731625.000,52006,1,B%,1,100,54
1766864476.572178,736632.000,52811,1,B%,1,100,54
1766864481.574257,741631.000,53614,1,B%,1,100,53
1766864486.583341,746637.000,54447,1,B%,1,100,54
1766864491.593425,751644.000,55255,1,B%,1,100,53
1766864496.595504,756643.000,56065,1,B%,1,100,52
1766864501.604587,761649.000,56871,1,B%,1,100,52
1766864506.607667,766649.000,57698,1,B%,1,100,52
1766864511.609746,771648.000,58503,1,B%,1,100,52
1766864516.618829,776654.000,59314,1,B%,1,100,52
1766864521.634917,781667.000,60130,1,B%,1,100,51
1766864526.644000,786673.000,60953,1,B%,1,100,51
1766864531.647080,791673.000,61766,1,B%,1,100,51
1766864536.649159,796672.000,62571,1,B%,1,100,52
1766864541.652239,801672.000,63385,1,B%,1,100,52
1766864546.668326,806685.000,64211,1,B%,1,100,52
1766864551.677410,811691.000,65025,1,B%,1,100,52
1766864556.686493,816697.000,305,1,B%,1,100,52
1766864561.695576,821703.000,1109,1,B%,1,100,52
1766864566.698656,826703.000,1938,1,B%,1,100,51
1766864571.700735,831702.000,2751,1,B%,1,100,51
1766864576.709818,836708.000,3558,1,B%,1,100,51
1766864581.712898,841708.000,4372,1,B%,1,100,51
1766864586.721982,846714.000,5199,1,B%,1,100,51
1766864591.724061,851713.000,6013,1,B%,1,100,51
1766864596.727140,856713.000,6823,1,B%,1,100,51
1766864601.736224,861719.000,7633,1,B%,1,100,51
1766864606.739303,866719.000,8447,1,B%,1,100,51
1766864611.741382,871718.000,9278,1,B%,1,100,51
1766864616.744462,876718.000,10092,1,B%,1,100,51
1766864621.759549,881730.000,10907,1,B%,1,100,51
1766864626.762629,886730.000,11720,1,B%,1,100,51
1766864631.778717,891743.000,12547,1,B%,1,100,51
1766864636.787800,896749.000,13356,1,B%,1,100,50
1766864641.790879,901749.000,14164,1,B%,1,100,51
1766864646.799963,906755.000,14975,1,B%,1,100,50
1766864651.802042,911754.000,15804,1,B%,1,100,50
1766864656.811125,916760.000,16613,1,B%,1,100,51
1766864661.827213,921773.000,17423,1,B%,1,100,50
1766864666.830293,926773.000,18228,1,B%,1,100,50
1766864671.832372,931772.000,19055,1,B%,1,100,50
1766864676.835451,936772.000,19862,1,B%,1,100,50
1766864681.837531,941771.000,20676,1,B%,1,100,50
1766864686.846614,946777.000,21487,1,B%,1,100,50
1766864691.855697,951783.000,22298,1,B%,1,100,50
1766864696.858777,956783.000,23125,1,B%,1,100,50
1766864701.874865,961796.000,23936,1,B%,1,100,50
1766864706.890952,966809.000,24742,1,B%,1,100,50
1766864711.893031,971808.000,25550,1,B%,1,100,49
1766864716.909119,976821.000,26375,1,B%,1,100,50
1766864721.931211,981840.000,27189,1,B%,1,100,50
1766864726.934290,986840.000,27999,1,B%,1,100,49
1766864731.943373,991846.000,28832,1,B%,1,100,49
1766864736.959461,996859.000,29640,1,B%,1,100,49
1766864741.975549,1001872.000,30451,1,B%,1,100,50
1766864746.977628,1006871.000,31258,1,B%,1,100,50
1766864751.980708,1011871.000,32085,1,B%,1,100,49
1766864756.989791,1016877.000,32900,1,B%,1,100,49
1766864761.998874,1021883.000,33710,1,B%,1,100,49
1766864767.001954,1026883.000,34523,1,B%,1,100,49
1766864772.004033,1031882.000,35330,1,B%,1,100,48
