LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1766863766.368007,26865,2433,1,HR,1,100,122.57
1766863766.728229,27225,2503,1,HR,1,100,132.37
1766863769.222765,29718,2899,1,HR,1,100,108.33
1766863770.263405,30758,3079,1,HR,1,100,97.08
1766863771.984465,32478,3361,1,HR,1,100,83.25
1766863772.624859,33118,3462,1,HR,1,100,85.59
1766863775.319518,35811,3894,1,HR,1,100,71.54
1766863777.080601,37571,4191,1,HR,1,100,63.22
1766863777.841070,38331,4308,1,HR,1,100,66.71
1766863783.176354,43663,5187,1,HR,1,100,54.39
1766863784.390101,44876,5387,1,HR,1,100,53.42
1766863785.150569,45636,5502,1,HR,1,100,59.09
1766863785.992087,46477,5638,1,HR,1,100,61.83
1766863786.591456,47076,5737,1,HR,1,100,70.32
1766863787.952294,48436,5968,1,HR,1,100,64.49
1766863789.126016,49609,6155,1,HR,1,100,61.66
1766863790.686977,51169,6401,1,HR,1,100,56.50
1766863792.327987,52809,6668,1,HR,1,100,52.08
1766863794.902572,55382,7066,1,HR,1,100,45.71
1766863795.582991,56062,7185,1,HR,1,100,55.16
1766863796.503557,56982,7336,1,HR,1,100,57.40
1766863797.189980,57668,7452,1,HR,1,100,64.25
1766863799.351310,59828,7800,1,HR,1,100,56.14
1766863799.871631,60348,7887,1,HR,1,100,69.31
1766863800.552050,61028,8002,1,HR,1,100,73.52
1766863801.285501,61761,8120,1,HR,1,100,75.70
1766863803.086610,63561,8419,1,HR,1,100,66.28
1766863803.326758,63801,8454,1,HR,1,100,107.11
1766863805.648186,66121,8834,1,HR,1,100,89.05
1766863806.821909,67294,9038,1,HR,1,100,80.76
1766863807.662426,68134,9172,1,HR,1,100,78.69
1766863814.445602,74913,10279,1,HR,1,100,63.17
1766863817.767647,78233,10806,1,HR,1,100,53.15
1766863819.181517,79646,11041,1,HR,1,100,50.86
1766863820.629408,81093,11271,1,HR,1,100,48.82
1766863822.390492,82853,11573,1,HR,1,100,45.55
1766863824.070527,84532,11838,1,HR,1,100,43.36
1766863825.045126,85506,12008,1,HR,1,100,47.61
1766863825.405348,85866,12058,1,HR,1,100,74.07
1766863826.125792,86586,12197,1,HR,1,100,76.13
1766863826.486013,86946,12248,1,HR,1,100,96.25
1766863827.126408,87586,12350,1,HR,1,100,95.69
1766863827.565678,88025,12438,1,HR,1,100,104.73
1766863828.085998,88545,12522,1,HR,1,100,107.10
1766863828.646343,89105,12608,1,HR,1,100,107.11
1766863829.168665,89627,12695,1,HR,1,100,108.95
1766863829.861091,90319,12810,1,HR,1,100,104.35
1766863830.540509,90998,12928,1,HR,1,100,100.77
1766863831.421051,91878,13079,1,HR,1,100,93.52
1766863834.910199,95365,13638,1,HR,1,100,76.57
1766863835.430519,95885,13721,1,HR,1,100,85.20
1766863837.204611,97658,14010,1,HR,1,100,73.84
1766863839.892266,100344,14458,1,HR,1,100,62.41
1766863841.373177,101824,14693,1,HR,1,100,57.55
1766863841.733399,102184,14760,1,HR,1,100,81.80
1766863842.613941,103064,14909,1,HR,1,100,78.77
1766863842.934138,103384,14962,1,HR,1,100,102.93
1766863844.548132,104997,15227,1,HR,1,100,88.39
1766863845.308600,105757,15342,1,HR,1,100,86.29
1766863845.628797,106077,15395,1,HR,1,100,108.78
1766863846.429290,106877,15529,1,HR,1,100,101.28
1766863846.831537,107279,15597,1,HR,1,100,112.10
1766863846.956614,107404,15613,1,HR,1,100,198.31
1766863848.356476,108803,15848,1,HR,1,100,163.76
1766863848.836771,109283,15933,1,HR,1,100,155.15
1766863850.084540,110530,16134,1,HR,1,100,131.42
1766863850.804983,111250,16251,1,HR,1,100,120.73
1766863851.165205,111610,16321,1,HR,1,100,130.94
1766863851.845624,112290,16421,1,HR,1,100,121.45
1766863852.285895,112730,16506,1,HR,1,100,124.77
1766863852.926289,113370,16605,1,HR,1,100,117.87
1766863853.526659,113970,16706,1,HR,1,100,113.90
1766863854.900504,115343,16920,1,HR,1,100,98.39
1766863855.500874,115943,17023,1,HR,1,100,98.75
1766863856.701613,117143,17222,1,HR,1,100,87.92
1766863857.341006,117782,17321,1,HR,1,100,89.21
1766863858.715853,119156,17552,1,HR,1,100,79.19
1766863858.996025,119436,17603,1,HR,1,100,109.21
1766863859.476321,119916,17670,1,HR,1,100,112.72
1766863859.869563,120309,17740,1,HR,1,100,121.01
1766863861.083310,121522,17939,1,HR,1,100,105.23
1766863862.437143,122875,18155,1,HR,1,100,91.65
1766863863.237636,123675,18288,1,HR,1,100,87.95
1766863864.011112,124448,18420,1,HR,1,100,85.95
1766863865.331925,125768,18637,1,HR,1,100,76.95
1766863865.772196,126208,18704,1,HR,1,100,90.15
1766863867.012960,127448,18922,1,HR,1,100,80.87
1766863867.813453,128248,19038,1,HR,1,100,79.57
1766863868.987175,129421,19240,1,HR,1,100,73.38
1766863869.387422,129821,19307,1,HR,1,100,90.41
1766863869.941763,130375,19389,1,HR,1,100,94.13
1766863876.331696,136761,20430,1,HR,1,100,75.30
1766863876.571844,137001,20464,1,HR,1,100,114.13
1766863877.618488,138047,20645,1,HR,1,100,101.59
1766863879.899893,140327,21007,1,HR,1,100,84.86
1766863881.260730,141687,21242,1,HR,1,100,75.80
1766863882.181297,142607,21393,1,HR,1,100,73.45
1766863883.635192,144060,21624,1,HR,1,100,66.39
1766863884.555758,144980,21774,1,HR,1,100,66.13
1766863885.802526,146226,21971,1,HR,1,100,62.19
1766863887.323462,147746,22223,1,HR,1,100,57.14
1766863888.163980,148586,22371,1,HR,1,100,60.31
1766863888.524201,148946,22422,1,HR,1,100,83.95
1766863889.444768,149866,22572,1,HR,1,100,79.79
1766863890.378343,150799,22720,1,HR,1,100,76.55
1766863891.579082,151999,22921,1,HR,1,100,70.65
1766863894.473864,154892,23398,1,HR,1,100,59.58
1766863896.034825,156452,23647,1,HR,1,100,54.89
1766863896.555145,156972,23733,1,HR,1,100,68.33
1766863899.442923,159858,24195,1,HR,1,100,57.77
1766863900.683686,161098,24396,1,HR,1,100,55.69
1766863902.137581,162551,24645,1,HR,1,100,52.57
1766863903.058148,163471,24794,1,HR,1,100,55.38
1766863903.378345,163791,24845,1,HR,1,100,84.74
1766863903.698542,164111,24895,1,HR,1,100,107.58
1766863904.579084,164991,25045,1,HR,1,100,98.82
1766863912.209781,172617,26282,1,HR,1,100,78.62
1766863913.010274,173417,26417,1,HR,1,100,77.81
1766863913.890816,174297,26569,1,HR,1,100,75.67
1766863914.331087,174737,26638,1,HR,1,100,89.16
1766863919.553302,179956,27476,1,HR,1,100,71.91
1766863920.273745,180676,27593,1,HR,1,100,74.45
1766863920.914139,181316,27695,1,HR,1,100,78.74
1766863922.835322,183236,28009,1,HR,1,100,68.18
1766863928.978103,189375,29016,1,HR,1,100,55.21
1766863929.378349,189775,29085,1,HR,1,100,76.28
1766863931.032367,191428,29350,1,HR,1,100,67.46
1766863931.792836,192188,29482,1,HR,1,100,70.01
1766863936.808923,197201,30302,1,HR,1,100,57.12
1766863942.178228,202567,31174,1,HR,1,100,46.91
1766863943.352952,203741,31356,1,HR,1,100,47.98
1766863944.272518,204660,31504,1,HR,1,100,51.81
1766863945.233109,205620,31670,1,HR,1,100,54.19
1766863946.193700,206580,31824,1,HR,1,100,56.03
1766863947.034218,207420,31971,1,HR,1,100,59.46
1766863948.047842,208433,32137,1,HR,1,100,59.58
1766863948.808310,209193,32257,1,HR,1,100,63.88
1766863949.848950,210233,32427,1,HR,1,100,62.51
1766863950.776521,211160,32580,1,HR,1,100,63.11
1766863951.897211,212280,32767,1,HR,1,100,60.99
1766863952.777753,213160,32918,1,HR,1,100,62.59
1766863953.618270,214000,33054,1,HR,1,100,64.55
1766863954.457787,214839,33204,1,HR,1,100,66.08
1766863954.591870,214973,33222,1,HR,1,100,162.51
1766863955.358341,215739,33358,1,HR,1,100,143.94
1766863956.546073,216926,33542,1,HR,1,100,123.06
1766863957.599721,217979,33710,1,HR,1,100,108.54
1766863958.840485,219219,33927,1,HR,1,100,95.17
1766863959.721027,220099,34064,1,HR,1,100,89.17
1766863960.281372,220659,34162,1,HR,1,100,93.17
1766863961.241963,221619,34319,1,HR,1,100,86.35
1766863961.935390,222312,34439,1,HR,1,100,86.77
1766863962.855957,223232,34588,1,HR,1,100,81.98
1766863964.336868,224712,34837,1,HR,1,100,72.77
1766863964.777139,225152,34904,1,HR,1,100,86.90
1766863965.097337,225472,34954,1,HR,1,100,109.26
1766863991.470571,251829,39247,1,HR,1,100,85.49
1766863996.766831,257122,40106,1,HR,1,100,69.01
1766864009.573714,269921,42193,1,HR,1,100,54.72
1766864011.975193,272321,42571,1,HR,1,100,48.12
1766864013.134906,273480,42769,1,HR,1,100,48.92
1766864013.469112,273814,42821,1,HR,1,100,79.72
1766864015.309245,275653,43116,1,HR,1,100,69.25
1766864017.030304,277373,43397,1,HR,1,100,61.61
1766864017.430551,277773,43465,1,HR,1,100,81.25
1766864018.164002,278506,43585,1,HR,1,100,81.72
1766864076.795093,337101,53082,1,HR,1,100,63.78
1766864097.945112,358238,56507,1,HR,1,100,50.24
1766864098.519465,358812,56593,1,HR,1,100,62.89
1766864100.113446,360405,56855,1,HR,1,100,57.25
1766864100.726824,361018,56954,1,HR,1,100,66.75
1766864101.727440,362018,57124,1,HR,1,100,65.25
1766864102.407859,362698,57242,1,HR,1,100,70.36
1766864104.769312,365058,57620,1,HR,1,100,60.37
1766864106.256228,366544,57871,1,HR,1,100,55.96
1766864107.456967,367744,58052,1,HR,1,100,54.64
1766864109.145006,369431,58331,1,HR,1,100,50.43
1766864109.838433,370124,58451,1,HR,1,100,58.83
1766864110.398778,370684,58537,1,HR,1,100,69.57
1766864110.999147,371284,58636,1,HR,1,100,76.33
1766864111.599517,371884,58739,1,HR,1,100,81.59
1766864112.800256,373084,58936,1,HR,1,100,74.57
1766864116.535555,376817,59527,1,HR,1,100,61.58
1766864117.215974,377497,59645,1,HR,1,100,67.51
1766864117.895392,378176,59761,1,HR,1,100,72.11
1766864118.695885,378976,59897,1,HR,1,100,72.75
1766864119.910633,380190,60095,1,HR,1,100,67.70
1766864122.278090,382556,60475,1,HR,1,100,58.30
1766864122.838435,383116,60574,1,HR,1,100,69.16
1766864123.438805,383716,60674,1,HR,1,100,76.01
1766864124.279322,384556,60809,1,HR,1,100,74.99
1766864125.600135,385876,61024,1,HR,1,100,68.43
1766864126.080431,386356,61091,1,HR,1,100,81.00
1766864126.653784,386929,61192,1,HR,1,100,86.81
1766864127.134079,387409,61275,1,HR,1,100,95.30
1766864127.774473,388049,61376,1,HR,1,100,94.95
1766864128.014621,388289,61427,1,HR,1,100,129.41
1766864128.975213,389249,61576,1,HR,1,100,114.54
1766864130.015853,390289,61744,1,HR,1,100,101.91
1766864131.669871,391942,62027,1,HR,1,100,87.39
1766864132.950660,393222,62228,1,HR,1,100,78.39
1766864134.110373,394381,62425,1,HR,1,100,72.46
1766864134.550645,394821,62493,1,HR,1,100,86.66
1766864134.990916,395261,62560,1,HR,1,100,97.71
1766864135.391162,395661,62627,1,HR,1,100,109.33
1766864137.205279,397474,62926,1,HR,1,100,92.44
1766864139.213515,399481,63254,1,HR,1,100,78.56
1766864139.733835,400001,63337,1,HR,1,100,86.75
1766864140.294180,400561,63420,1,HR,1,100,91.28
1766864140.814500,401081,63503,1,HR,1,100,96.64
1766864141.334821,401601,63590,1,HR,1,100,100.80
1766864142.095289,402361,63722,1,HR,1,100,95.95
1766864144.662869,404927,64140,1,HR,1,100,79.83
1766864145.236222,405500,64241,1,HR,1,100,85.90
1766864145.996690,406260,64357,1,HR,1,100,84.36
1766864148.158021,408420,64722,1,HR,1,100,71.78
1766864151.613147,411873,65286,1,HR,1,100,59.71
1766864153.654404,413913,80,1,HR,1,100,52.97
1766864156.028866,416286,458,1,HR,1,100,46.85
1766864156.629235,416886,561,1,HR,1,100,58.66
1766864157.389703,417646,677,1,HR,1,100,63.17
1766864158.750541,419006,908,1,HR,1,100,58.94
1766864159.524017,419779,1023,1,HR,1,100,63.38
1766864159.884239,420139,1093,1,HR,1,100,86.34
1766864160.964904,421219,1276,1,HR,1,100,79.50
1766864161.205052,421459,1313,1,HR,1,100,117.39
1766864162.085594,422339,1462,1,HR,1,100,106.45
1766864163.086210,423339,1628,1,HR,1,100,96.13
1766864164.179883,424432,1794,1,HR,1,100,87.11
1766864164.980376,425232,1930,1,HR,1,100,84.42
1766864166.381238,426632,2164,1,HR,1,100,75.18
1766864167.500927,427751,2349,1,HR,1,100,70.38
1766864169.035872,429285,2597,1,HR,1,100,63.51
1766864169.636242,429885,2697,1,HR,1,100,71.62
1766864170.236611,430485,2797,1,HR,1,100,77.93
