LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1766863767.840914,28337.000,2683,1,TL,1,100,2025-12-27_11-29-27-834414
1766863772.940053,33433.000,3511,1,TL,1,100,2025-12-27_11-29-27-944627
1766863772.961066,33454.000,3514,1,TL,1,100,2025-12-27_11-29-32-951761
1766863778.051199,38541.000,4340,1,TL,1,100,2025-12-27_11-29-33-011579
1766863778.068209,38558.000,4343,1,TL,1,100,2025-12-27_11-29-38-055355
1766863783.178355,43665.000,5180,1,TL,1,100,2025-12-27_11-29-38-097414
1766863783.217379,43704.000,5183,1,TL,1,100,2025-12-27_11-29-43-198879
1766863788.288501,48772.000,6018,1,TL,1,100,2025-12-27_11-29-43-261060
