LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1766633906.562683,44432.000,5157,1,TH,1,100,24.222
1766633906.696672,44566.000,5174,1,TH,1,100,24.262
1766633906.829661,44699.000,5190,1,TH,1,100,24.269
1766633906.962650,44832.000,5222,1,TH,1,100,24.266
1766633907.095639,44965.000,5239,1,TH,1,100,24.280
1766633907.229629,45099.000,5256,1,TH,1,100,24.203
1766633907.362618,45232.000,5287,1,TH,1,100,24.210
1766633907.495607,45365.000,5304,1,TH,1,100,24.254
1766633907.629596,45499.000,5321,1,TH,1,100,24.260
1766633907.762585,45632.000,5352,1,TH,1,100,24.296
1766633907.896575,45766.000,5370,1,TH,1,100,24.309
1766633908.029564,45899.000,5386,1,TH,1,100,24.279
1766633908.162553,46032.000,5418,1,TH,1,100,24.285
1766633908.295542,46165.000,5435,1,TH,1,100,24.081
1766633908.429532,46299.000,5451,1,TH,1,100,24.102
1766633908.562521,46432.000,5469,1,TH,1,100,24.140
1766633908.695510,46565.000,5500,1,TH,1,100,24.153
1766633908.829499,46699.000,5516,1,TH,1,100,24.143
1766633908.962488,46832.000,5536,1,TH,1,100,24.156
1766633909.095478,46965.000,5567,1,TH,1,100,24.165
1766633909.229467,47099.000,5584,1,TH,1,100,24.172
1766633909.362456,47232.000,5601,1,TH,1,100,24.119
1766633909.495445,47365.000,5633,1,TH,1,100,24.132
1766633909.629435,47499.000,5649,1,TH,1,100,24.144
1766633909.762424,47632.000,5666,1,TH,1,100,24.150
1766633909.895413,47765.000,5698,1,TH,1,100,24.137
1766633910.029402,47899.000,5714,1,TH,1,100,24.144
1766633910.162391,48032.000,5731,1,TH,1,100,24.068
1766633910.295381,48165.000,5763,1,TH,1,100,24.082
1766633910.429370,48299.000,5779,1,TH,1,100,24.038
1766633910.562359,48432.000,5797,1,TH,1,100,24.045
1766633910.695348,48565.000,5813,1,TH,1,100,24.165
1766633910.828338,48698.000,5845,1,TH,1,100,24.171
1766633910.962327,48832.000,5862,1,TH,1,100,24.038
1766633911.095316,48965.000,5878,1,TH,1,100,24.045
1766633911.228305,49098.000,5910,1,TH,1,100,24.065
1766633911.362294,49232.000,5927,1,TH,1,100,24.072
1766633911.495284,49365.000,5943,1,TH,1,100,24.062
1766633911.628273,49498.000,5975,1,TH,1,100,24.069
1766633911.762262,49632.000,5997,1,TH,1,100,24.076
1766633911.895251,49765.000,6014,1,TH,1,100,24.083
1766633912.028240,49898.000,6045,1,TH,1,100,24.086
1766633912.162230,50032.000,6062,1,TH,1,100,24.093
1766633912.295219,50165.000,6079,1,TH,1,100,24.093
1766633912.428208,50298.000,6110,1,TH,1,100,24.093
1766633912.562197,50432.000,6128,1,TH,1,100,24.021
1766633912.695187,50565.000,6144,1,TH,1,100,24.028
1766633912.828176,50698.000,6176,1,TH,1,100,24.002
1766633912.962165,50832.000,6193,1,TH,1,100,24.009
1766633913.095154,50965.000,6209,1,TH,1,100,24.123
1766633913.228143,51098.000,6241,1,TH,1,100,24.129
1766633913.362133,51232.000,6258,1,TH,1,100,24.024
1766633913.495122,51365.000,6274,1,TH,1,100,24.024
1766633913.628111,51498.000,6292,1,TH,1,100,23.992
1766633913.762100,51632.000,6323,1,TH,1,100,23.999
1766633913.895090,51765.000,6340,1,TH,1,100,24.034
1766633914.028079,51898.000,6359,1,TH,1,100,24.041
1766633914.161068,52031.000,6391,1,TH,1,100,24.024
1766633914.295057,52165.000,6407,1,TH,1,100,24.031
1766633914.428046,52298.000,6424,1,TH,1,100,23.976
1766633914.562036,52432.000,6456,1,TH,1,100,23.983
1766633914.695025,52565.000,6472,1,TH,1,100,23.981
1766633914.828014,52698.000,6489,1,TH,1,100,23.988
1766633914.962003,52832.000,6521,1,TH,1,100,24.027
1766633915.094993,52965.000,6537,1,TH,1,100,24.027
1766633915.227982,53098.000,6555,1,TH,1,100,23.978
1766633915.360971,53231.000,6586,1,TH,1,100,23.985
1766633915.494960,53365.000,6603,1,TH,1,100,24.110
1766633915.627949,53498.000,6620,1,TH,1,100,24.116
1766633915.760939,53631.000,6636,1,TH,1,100,24.157
1766633915.894928,53765.000,6668,1,TH,1,100,24.164
1766633916.027917,53898.000,6685,1,TH,1,100,23.986
1766633916.160906,54031.000,6701,1,TH,1,100,23.993
1766633916.294895,54165.000,6733,1,TH,1,100,24.056
1766633916.427885,54298.000,6752,1,TH,1,100,24.056
1766633916.560874,54431.000,6769,1,TH,1,100,23.996
1766633916.694863,54565.000,6800,1,TH,1,100,24.003
1766633916.827852,54698.000,6824,1,TH,1,100,24.066
1766633916.960842,54831.000,6841,1,TH,1,100,24.073
