LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1766883176.181607,51125.000,6412,1,BV,1,100,4.02
1766876048.298637,56125.000,7243,1,BV,1,100,4.01
1766868921.841243,61124.000,8059,1,BV,1,100,4.01
1766861793.958273,66124.000,8858,1,BV,1,100,4.00
1766854667.500879,71123.000,9675,1,BV,1,100,4.00
1766847539.617909,76123.000,10491,1,BV,1,100,3.98
1766840394.628020,81135.000,11293,1,BV,1,100,3.98
1766833248.212554,86148.000,12125,1,BV,1,100,4.00
1766826120.329584,91148.000,12930,1,BV,1,100,4.00
1766818993.872190,96147.000,13743,1,BV,1,100,4.00
1766811847.456724,101160.000,14551,1,BV,1,100,4.00
1766804720.999331,106159.000,15358,1,BV,1,100,4.00
1766797583.137325,111166.000,16189,1,BV,1,100,4.00
1766790456.679931,116165.000,17003,1,BV,1,100,3.99
1766783328.796961,121165.000,17824,1,BV,1,100,4.00
1766776192.360531,126171.000,18643,1,BV,1,100,3.99
1766769065.903137,131170.000,19476,1,BV,1,100,3.99
1766761938.020167,136170.000,20289,1,BV,1,100,3.99
1766754783.051242,141189.000,21105,1,BV,1,100,4.00
1766747646.614812,146195.000,21942,1,BV,1,100,3.99
1766740518.731842,151195.000,22754,1,BV,1,100,3.99
1766733392.274448,156194.000,23575,1,BV,1,100,3.99
1766726264.391478,161194.000,24397,1,BV,1,100,3.99
1766719137.934085,166193.000,25212,1,BV,1,100,3.99
1766712010.051115,171193.000,26053,1,BV,1,100,3.99
1766704883.593721,176192.000,26870,1,BV,1,100,3.99
1766697755.710751,181192.000,27684,1,BV,1,100,3.99
1766690619.274321,186198.000,28500,1,BV,1,100,3.99
1766683491.391351,191198.000,29316,1,BV,1,100,3.99
1766676354.954921,196204.000,30145,1,BV,1,100,3.99
1766669208.539455,201217.000,30960,1,BV,1,100,3.98
1766662082.082062,206216.000,31771,1,BV,1,100,3.99
1766654945.645632,211222.000,32600,1,BV,1,100,3.98
