LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1766865079.080056,1338769.000,20154,2,DC,2,100,GY
1766865079.080056,1338769.000,20154,2,DC,2,100,1
1766868012.371162,4270254.500,305,2,DC,2,100,GX
1766870945.662268,7201740.000,305,2,DC,2,100,1
