LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1766887783.645159,47893,5931,1,SR,1,100,0.266667
1766871246.956668,59493,7807,1,SR,1,100,0.200000
1766870772.239662,59826,7860,1,SR,1,100,0.133333
1766856044.607869,70157,9544,1,SR,1,100,0.133333
1766852242.595093,72824,9981,1,SR,1,100,0.133333
1766847301.546618,76290,10529,1,SR,1,100,0.133333
1766839298.359619,81904,11447,1,SR,1,100,0.133333
1766836153.537653,84110,11794,1,SR,1,100,0.133333
1766835098.610973,84850,11914,1,SR,1,100,0.066667
1766822080.245516,93982,13426,1,SR,1,100,0.266667
1766819324.605960,95915,13726,1,SR,1,100,0.133333
1766812652.907500,100595,14485,1,SR,1,100,0.200000
1766808947.833932,103194,14916,1,SR,1,100,0.200000
1766803055.925869,107327,15871,1,SR,1,100,2.000000
1766799434.961320,109867,16005,1,SR,1,100,0.266667
1766798484.101732,110534,16171,1,SR,1,100,0.533333
1766797534.667720,111200,16243,1,SR,1,100,0.333333
1766796298.692813,112067,16358,1,SR,1,100,0.133333
1766794779.028164,113133,16575,1,SR,1,100,0.400000
1766787176.428188,118466,17385,1,SR,1,100,0.066667
1766785465.736275,119666,17604,1,SR,1,100,0.133333
1766784516.302264,120332,17705,1,SR,1,100,0.133333
1766783280.327357,121199,17842,1,SR,1,100,0.133333
1766780325.107077,123272,18193,1,SR,1,100,0.133333
1766778612.989588,124473,18380,1,SR,1,100,0.066667
1766774146.658119,127606,18895,1,SR,1,100,0.066667
1766759608.628013,137804,20574,1,SR,1,100,0.133333
1766759227.999062,138071,20625,1,SR,1,100,0.133333
1766758468.166738,138604,20692,1,SR,1,100,0.066667
1766751598.313131,143423,21489,1,SR,1,100,0.133333
1766736477.222198,154030,23240,1,SR,1,100,0.133333
1766729352.190381,159028,24045,1,SR,1,100,0.066667
1766718708.835530,166494,25300,1,SR,1,100,0.200000
1766718232.692948,166828,25334,1,SR,1,100,0.066667
1766624193.107346,232794,36170,1,SR,1,100,0.266667
1766623242.247757,233461,36254,1,SR,1,100,0.133333
1766518681.906892,306807,48250,1,SR,1,100,0.066667
1766517445.931985,307674,48401,1,SR,1,100,0.066667
1766398869.322046,390852,61992,1,SR,1,100,0.066667
1766246177.238636,497961,13899,1,SR,1,100,0.200000
1766239990.236218,502301,14591,1,SR,1,100,0.133333
1766179532.958442,544710,21473,1,SR,1,100,0.066667
1766179046.836823,545051,21524,1,SR,1,100,0.066667
1766175341.763255,547650,21960,1,SR,1,100,0.066667
1766174865.620673,547984,22028,1,SR,1,100,0.133333
1766167359.959905,553249,22870,1,SR,1,100,0.133333
1766164889.435668,554982,23155,1,SR,1,100,0.133333
1765938054.539179,714100,49037,1,SR,1,100,0.066667
1765692470.459325,886370,11598,1,SR,1,100,0.066667
1765594410.747728,955156,22871,1,SR,1,100,0.266667
1765456001.516213,1052246,38665,1,SR,1,100,0.266667
1765402937.278654,1089469,44645,1,SR,1,100,0.066667
1765139962.589929,1273938,9213,1,SR,1,100,0.533333
1765137303.889581,1275803,9463,1,SR,1,100,0.266667
1765127229.339791,1282870,10613,1,SR,1,100,0.133333
1765126659.109154,1283270,10681,1,SR,1,100,0.200000
1764754468.146407,1544351,53244,1,SR,1,100,0.200000
1764753803.827714,1544817,53377,1,SR,1,100,0.533333
1764747998.879823,1548889,53964,1,SR,1,100,0.066667
1764733172.883246,1559289,55687,1,SR,1,100,0.133333
1764721759.717034,1567295,57021,1,SR,1,100,0.266667
1764720810.283022,1567961,57122,1,SR,1,100,0.200000
1764717836.530247,1570047,57454,1,SR,1,100,0.200000
1764712608.940877,1573714,58057,1,SR,1,100,0.200000
1764708523.238358,1576580,58505,1,SR,1,100,0.066667
1764704912.252846,1579113,58969,1,SR,1,100,0.333333
1764703676.277939,1579980,59070,1,SR,1,100,0.066667
1764703011.959246,1580446,59171,1,SR,1,100,0.266667
1764691588.813998,1588459,60496,1,SR,1,100,0.333333
1764689593.006766,1589859,60682,1,SR,1,100,0.066667
1764676004.410672,1599391,62236,1,SR,1,100,0.066667
1764675719.295353,1599591,62305,1,SR,1,100,0.266667
1764658025.038668,1612003,64291,1,SR,1,100,0.066667
1764654414.053155,1614536,64736,1,SR,1,100,0.333333
1764647381.683817,1619469,24,1,SR,1,100,0.400000
