LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1766715433.058847,17115.000,717,1,PG,1,100,8346
1766715433.098847,17155.000,723,2,PG,1,100,8357
1766715433.138847,17195.000,723,2,PG,1,100,8361
1766715433.178847,17235.000,738,3,PG,1,100,8370
1766715433.218847,17275.000,738,3,PG,1,100,8386
1766715433.258847,17315.000,738,3,PG,1,100,8385
1766715433.298347,17354.500,756,2,PG,1,100,8384
1766715433.337847,17394.000,756,2,PG,1,100,8379
1766715433.377847,17434.000,774,3,PG,1,100,8402
1766715433.417847,17474.000,774,3,PG,1,100,8415
1766715433.457847,17514.000,774,3,PG,1,100,8410
1766715433.498347,17554.500,790,2,PG,1,100,8407
1766715433.538847,17595.000,790,2,PG,1,100,8443
1766715433.578514,17634.667,805,3,PG,1,100,8443
1766715433.618181,17674.333,805,3,PG,1,100,8464
1766715433.657847,17714.000,805,3,PG,1,100,8477
1766715433.697847,17754.000,822,2,PG,1,100,8480
1766715433.737847,17794.000,822,2,PG,1,100,8484
1766715433.777847,17834.000,839,3,PG,1,100,8500
1766715433.817847,17874.000,839,3,PG,1,100,8494
1766715433.857847,17914.000,839,3,PG,1,100,8501
1766715433.897847,17954.000,855,2,PG,1,100,8508
1766715433.937847,17994.000,855,2,PG,1,100,8527
1766715433.978180,18034.333,872,3,PG,1,100,8530
1766715434.018514,18074.667,872,3,PG,1,100,8530
1766715434.058847,18115.000,872,3,PG,1,100,8543
1766715434.098514,18154.667,887,3,PG,1,100,8557
1766715434.138180,18194.333,887,3,PG,1,100,8569
1766715434.177847,18234.000,887,3,PG,1,100,8578
1766715434.218347,18274.500,904,2,PG,1,100,8611
1766715434.258847,18315.000,904,2,PG,1,100,8617
1766715434.298514,18354.667,921,3,PG,1,100,8634
1766715434.338181,18394.333,921,3,PG,1,100,8626
1766715434.377847,18434.000,921,3,PG,1,100,8620
1766715434.417847,18474.000,938,2,PG,1,100,8579
1766715434.457847,18514.000,938,2,PG,1,100,8582
1766715434.497847,18554.000,954,3,PG,1,100,8483
1766715434.537847,18594.000,954,3,PG,1,100,8225
1766715434.577847,18634.000,954,3,PG,1,100,7999
1766715434.617847,18674.000,971,2,PG,1,100,7955
1766715434.657847,18714.000,971,2,PG,1,100,7920
1766715434.697847,18754.000,988,3,PG,1,100,7946
1766715434.737847,18794.000,988,3,PG,1,100,8011
1766715434.777847,18834.000,988,3,PG,1,100,8071
1766715434.817847,18874.000,1009,2,PG,1,100,8110
1766715434.857847,18914.000,1009,2,PG,1,100,8103
1766715434.897847,18954.000,1023,3,PG,1,100,8110
1766715434.937847,18994.000,1023,3,PG,1,100,8150
1766715434.977847,19034.000,1023,3,PG,1,100,8190
1766715435.017847,19074.000,1041,2,PG,1,100,8221
1766715435.057847,19114.000,1041,2,PG,1,100,8265
1766715435.097847,19154.000,1057,3,PG,1,100,8302
1766715435.137847,19194.000,1057,3,PG,1,100,8321
1766715435.177847,19234.000,1057,3,PG,1,100,8331
1766715435.217847,19274.000,1076,2,PG,1,100,8347
1766715435.257847,19314.000,1076,2,PG,1,100,8349
1766715435.297847,19354.000,1091,3,PG,1,100,8349
1766715435.337847,19394.000,1091,3,PG,1,100,8366
1766715435.377847,19434.000,1091,3,PG,1,100,8377
