LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1766787841.281034,115681.000,16791,1,AX,1,100,-0.122
1766787841.321034,115721.000,16805,3,AX,1,100,-0.116
1766787841.361034,115761.000,16805,3,AX,1,100,-0.121
1766787841.401034,115801.000,16805,3,AX,1,100,-0.115
1766787841.441034,115841.000,16823,2,AX,1,100,-0.124
1766787841.481034,115881.000,16823,2,AX,1,100,-0.121
1766787841.521034,115921.000,16839,3,AX,1,100,-0.120
1766787841.561034,115961.000,16839,3,AX,1,100,-0.117
1766787841.601034,116001.000,16839,3,AX,1,100,-0.116
1766787841.636701,116036.667,16856,3,AX,1,100,-0.118
1766787841.672368,116072.333,16856,3,AX,1,100,-0.117
1766787841.708034,116108.000,16856,3,AX,1,100,-0.114
1766787841.747534,116147.500,16872,2,AX,1,100,-0.114
1766787841.787034,116187.000,16872,2,AX,1,100,-0.113
1766787841.827368,116227.333,16890,3,AX,1,100,-0.120
1766787841.867701,116267.667,16890,3,AX,1,100,-0.115
1766787841.908034,116308.000,16890,3,AX,1,100,-0.122
1766787841.947534,116347.500,16906,2,AX,1,100,-0.121
1766787841.987034,116387.000,16906,2,AX,1,100,-0.117
1766787842.027034,116427.000,16924,3,AX,1,100,-0.122
1766787842.067034,116467.000,16924,3,AX,1,100,-0.131
1766787842.107034,116507.000,16924,3,AX,1,100,-0.131
1766787842.147034,116547.000,16942,2,AX,1,100,-0.127
1766787842.187034,116587.000,16942,2,AX,1,100,-0.121
1766787842.227034,116627.000,16957,3,AX,1,100,-0.119
1766787842.267034,116667.000,16957,3,AX,1,100,-0.138
1766787842.307034,116707.000,16957,3,AX,1,100,-0.141
1766787842.347034,116747.000,16974,2,AX,1,100,-0.133
1766787842.387034,116787.000,16974,2,AX,1,100,-0.123
1766787842.427367,116827.333,16991,3,AX,1,100,-0.137
1766787842.467701,116867.667,16991,3,AX,1,100,-0.129
1766787842.508034,116908.000,16991,3,AX,1,100,-0.125
1766787842.543367,116943.333,17007,3,AX,1,100,-0.140
1766787842.578701,116978.667,17007,3,AX,1,100,-0.135
1766787842.614034,117014.000,17007,3,AX,1,100,-0.126
1766787842.654034,117054.000,17022,2,AX,1,100,-0.130
1766787842.694034,117094.000,17022,2,AX,1,100,-0.124
1766787842.734034,117134.000,17041,3,AX,1,100,-0.135
1766787842.774034,117174.000,17041,3,AX,1,100,-0.113
1766787842.814034,117214.000,17041,3,AX,1,100,-0.125
1766787842.854034,117254.000,17058,2,AX,1,100,-0.145
1766787842.894034,117294.000,17058,2,AX,1,100,-0.137
1766787842.934034,117334.000,17074,3,AX,1,100,-0.133
1766787842.974034,117374.000,17074,3,AX,1,100,-0.127
1766787843.014034,117414.000,17074,3,AX,1,100,-0.125
1766787843.054034,117454.000,17092,2,AX,1,100,-0.132
1766787843.094034,117494.000,17092,2,AX,1,100,-0.129
1766787843.134034,117534.000,17108,3,AX,1,100,-0.132
1766787843.174034,117574.000,17108,3,AX,1,100,-0.137
1766787843.214034,117614.000,17108,3,AX,1,100,-0.130
1766787843.254034,117654.000,17125,3,AX,1,100,-0.136
1766787843.294034,117694.000,17125,3,AX,1,100,-0.136
1766787843.334034,117734.000,17125,3,AX,1,100,-0.143
1766787843.367534,117767.500,17144,2,AX,1,100,-0.137
1766787843.401034,117801.000,17144,2,AX,1,100,-0.142
1766787843.441034,117841.000,17159,3,AX,1,100,-0.124
1766787843.481034,117881.000,17159,3,AX,1,100,-0.138
1766787843.521034,117921.000,17159,3,AX,1,100,-0.136
1766787843.560534,117960.500,17180,2,AX,1,100,-0.140
1766787843.600034,118000.000,17180,2,AX,1,100,-0.135
1766787843.640368,118040.333,17197,3,AX,1,100,-0.116
1766787843.680701,118080.667,17197,3,AX,1,100,-0.121
1766787843.721034,118121.000,17197,3,AX,1,100,-0.144
1766787843.761034,118161.000,17214,3,AX,1,100,-0.176
1766787843.801034,118201.000,17214,3,AX,1,100,-0.142
1766787843.841034,118241.000,17214,3,AX,1,100,-0.133
1766787843.881034,118281.000,17230,2,AX,1,100,-0.139
1766787843.921034,118321.000,17230,2,AX,1,100,-0.136
1766787843.960701,118360.667,17247,3,AX,1,100,-0.134
1766787844.000367,118400.333,17247,3,AX,1,100,-0.125
1766787844.040034,118440.000,17247,3,AX,1,100,-0.131
1766787844.080034,118480.000,17267,2,AX,1,100,-0.139
1766787844.120034,118520.000,17267,2,AX,1,100,-0.127
1766787844.156034,118556.000,17283,3,AX,1,100,-0.140
1766787844.192034,118592.000,17283,3,AX,1,100,-0.131
1766787844.228034,118628.000,17283,3,AX,1,100,-0.129
1766787844.268034,118668.000,17300,3,AX,1,100,-0.127
1766787844.308034,118708.000,17300,3,AX,1,100,-0.137
1766787844.348034,118748.000,17300,3,AX,1,100,-0.147
1766787844.388034,118788.000,17315,2,AX,1,100,-0.140
1766787844.428034,118828.000,17315,2,AX,1,100,-0.142
1766787844.468034,118868.000,17334,3,AX,1,100,-0.130
1766787844.508034,118908.000,17334,3,AX,1,100,-0.120
1766787844.548034,118948.000,17334,3,AX,1,100,-0.144
1766787844.588034,118988.000,17350,2,AX,1,100,-0.140
1766787844.628034,119028.000,17350,2,AX,1,100,-0.122
1766787844.668034,119068.000,17368,3,AX,1,100,-0.126
1766787844.708034,119108.000,17368,3,AX,1,100,-0.126
1766787844.748034,119148.000,17368,3,AX,1,100,-0.123
1766787844.788034,119188.000,17384,2,AX,1,100,-0.129
1766787844.828034,119228.000,17384,2,AX,1,100,-0.126
1766787844.868034,119268.000,17401,3,AX,1,100,-0.133
1766787844.908034,119308.000,17401,3,AX,1,100,-0.134
1766787844.948034,119348.000,17401,3,AX,1,100,-0.126
1766787844.988034,119388.000,17417,2,AX,1,100,-0.124
1766787845.028034,119428.000,17417,2,AX,1,100,-0.133
1766787845.063367,119463.333,17435,3,AX,1,100,-0.133
