LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1766772422.027717,58568,7651,1,SR,1,100,0.466667
1766773887.990953,59568,7768,1,SR,1,100,0.200000
1766774377.622674,59902,7822,1,SR,1,100,0.200000
1766775647.146836,60768,8030,1,SR,1,100,0.533333
1766778382.634234,62634,8299,1,SR,1,100,0.266667
1766783171.936126,65901,8799,1,SR,1,100,0.066667
1766792455.881299,72234,9847,1,SR,1,100,0.200000
1766793139.020167,72700,9982,1,SR,1,100,0.533333
1766796755.551470,75167,10316,1,SR,1,100,0.066667
1766803985.682149,80099,11163,1,SR,1,100,0.266667
1766804768.506517,80633,11247,1,SR,1,100,0.266667
1766806038.030679,81499,11383,1,SR,1,100,0.266667
1766820304.784891,91231,13011,1,SR,1,100,0.533333
1766823628.123547,93498,13310,1,SR,1,100,0.066667
1766829686.949601,97631,13976,1,SR,1,100,0.066667
1766829980.142248,97831,14045,1,SR,1,100,0.200000
1766830859.720190,98431,14146,1,SR,1,100,0.266667
1766834573.005067,100964,14526,1,SR,1,100,0.066667
1766835159.390361,101364,14650,1,SR,1,100,0.400000
1766839067.648348,104030,15077,1,SR,1,100,0.333333
1766839947.226289,104630,15192,1,SR,1,100,0.400000
1766842097.794356,106097,15394,1,SR,1,100,0.200000
1766848743.005705,110630,16125,1,SR,1,100,0.133333
1766849134.417889,110897,16178,1,SR,1,100,0.200000
1766849621.117683,111229,16214,1,SR,1,100,0.066667
1766852847.702765,113430,16619,1,SR,1,100,0.266667
1766858416.897099,117229,17252,1,SR,1,100,0.333333
1766860762.438276,118829,17501,1,SR,1,100,0.266667
1766862716.567270,120162,17685,1,SR,1,100,0.066667
1766865257.081558,121895,18005,1,SR,1,100,0.200000
1766867602.622735,123495,18341,1,SR,1,100,0.600000
1766868873.612860,124362,18426,1,SR,1,100,0.333333
1766872000.512443,126495,18760,1,SR,1,100,0.133333
1766876103.743540,129294,19241,1,SR,1,100,0.333333
1766877179.760555,130028,19342,1,SR,1,100,0.200000
1766879916.713917,131895,19632,1,SR,1,100,0.066667
1766880306.660137,132161,19699,1,SR,1,100,0.200000
1766881479.430726,132961,19816,1,SR,1,100,0.066667
1766884116.698587,134760,20103,1,SR,1,100,0.066667
1766885877.320434,135961,20302,1,SR,1,100,0.066667
1766887929.668964,137361,20554,1,SR,1,100,0.200000
1766890078.771068,138827,20808,1,SR,1,100,0.266667
1766892032.900061,140160,21008,1,SR,1,100,0.066667
1766893498.863297,141160,21192,1,SR,1,100,0.200000
1766898873.084520,144826,21773,1,SR,1,100,0.066667
1766899166.277167,145026,21858,1,SR,1,100,0.400000
1766903367.727802,147892,22275,1,SR,1,100,0.066667
1766903857.359522,148226,22327,1,SR,1,100,0.066667
1766914705.487468,155626,23534,1,SR,1,100,0.066667
1766917147.782219,157292,23833,1,SR,1,100,0.266667
1766919981.489154,159225,24152,1,SR,1,100,0.266667
1766925453.929914,162958,24750,1,SR,1,100,0.133333
1766925843.876134,163224,24786,1,SR,1,100,0.066667
1766927114.866260,164091,24923,1,SR,1,100,0.066667
1766928580.829496,165091,25122,1,SR,1,100,0.266667
1766933270.445888,168290,25624,1,SR,1,100,0.133333
1766936788.757654,170690,26037,1,SR,1,100,0.200000
1766937278.389374,171024,26091,1,SR,1,100,0.200000
1766937961.528243,171490,26160,1,SR,1,100,0.133333
1766940112.096310,172957,26397,1,SR,1,100,0.066667
1766942359.417950,174490,26650,1,SR,1,100,0.066667
1766944508.520054,175956,26924,1,SR,1,100,0.200000
1766948321.490431,178557,27354,1,SR,1,100,0.333333
1766949199.602409,179156,27423,1,SR,1,100,0.066667
1766950763.785182,180223,27639,1,SR,1,100,0.333333
