LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1766787841.280034,115680.000,16788,1,EA,1,100,0.040097
1766787841.347034,115747.000,16803,1,EA,1,100,0.040257
1766787841.413534,115813.500,16819,2,EA,1,100,0.040226
1766787841.480034,115880.000,16819,2,EA,1,100,0.040050
1766787841.547034,115947.000,16835,1,EA,1,100,0.040046
1766787841.613534,116013.500,16852,2,EA,1,100,0.040288
1766787841.680034,116080.000,16852,2,EA,1,100,0.040338
1766787841.747034,116147.000,16869,1,EA,1,100,0.040166
1766787841.813534,116213.500,16887,2,EA,1,100,0.040215
1766787841.880034,116280.000,16887,2,EA,1,100,0.040542
1766787841.946534,116346.500,16902,2,EA,1,100,0.041034
1766787842.013034,116413.000,16902,2,EA,1,100,0.043160
1766787842.080034,116480.000,16920,1,EA,1,100,0.043506
1766787842.146534,116546.500,16938,2,EA,1,100,0.041428
1766787842.213034,116613.000,16938,2,EA,1,100,0.040412
1766787842.280034,116680.000,16955,1,EA,1,100,0.040800
1766787842.346534,116746.500,16970,2,EA,1,100,0.039707
1766787842.413034,116813.000,16970,2,EA,1,100,0.039603
1766787842.480034,116880.000,16987,1,EA,1,100,0.039533
1766787842.546534,116946.500,17003,2,EA,1,100,0.039109
1766787842.613034,117013.000,17003,2,EA,1,100,0.039262
1766787842.680034,117080.000,17020,1,EA,1,100,0.039098
1766787842.746534,117146.500,17037,2,EA,1,100,0.039031
1766787842.813034,117213.000,17037,2,EA,1,100,0.040699
1766787842.880034,117280.000,17054,1,EA,1,100,0.041931
1766787842.946534,117346.500,17070,2,EA,1,100,0.041398
1766787843.013034,117413.000,17070,2,EA,1,100,0.041270
1766787843.080034,117480.000,17090,1,EA,1,100,0.041110
1766787843.146534,117546.500,17104,2,EA,1,100,0.040635
1766787843.213034,117613.000,17104,2,EA,1,100,0.041321
1766787843.280034,117680.000,17121,1,EA,1,100,0.042751
1766787843.346534,117746.500,17140,2,EA,1,100,0.040491
1766787843.413034,117813.000,17140,2,EA,1,100,0.039528
1766787843.480034,117880.000,17157,1,EA,1,100,0.039603
1766787843.546534,117946.500,17176,2,EA,1,100,0.039720
1766787843.613034,118013.000,17176,2,EA,1,100,0.039746
1766787843.680034,118080.000,17193,1,EA,1,100,0.039667
1766787843.746534,118146.500,17210,2,EA,1,100,0.040255
1766787843.813034,118213.000,17210,2,EA,1,100,0.042276
1766787843.880034,118280.000,17227,1,EA,1,100,0.043233
1766787843.946534,118346.500,17244,2,EA,1,100,0.042917
1766787844.013034,118413.000,17244,2,EA,1,100,0.042427
1766787844.080034,118480.000,17263,1,EA,1,100,0.041720
1766787844.146534,118546.500,17279,2,EA,1,100,0.041078
1766787844.213034,118613.000,17279,2,EA,1,100,0.040610
1766787844.279534,118679.500,17296,2,EA,1,100,0.039839
1766787844.346034,118746.000,17296,2,EA,1,100,0.039780
1766787844.413034,118813.000,17313,1,EA,1,100,0.039966
1766787844.479534,118879.500,17330,2,EA,1,100,0.039639
1766787844.546034,118946.000,17330,2,EA,1,100,0.039799
1766787844.613034,119013.000,17346,1,EA,1,100,0.040535
1766787844.679534,119079.500,17364,2,EA,1,100,0.042446
1766787844.746034,119146.000,17364,2,EA,1,100,0.042858
1766787844.813034,119213.000,17382,1,EA,1,100,0.042161
1766787844.879534,119279.500,17397,2,EA,1,100,0.042169
1766787844.946034,119346.000,17397,2,EA,1,100,0.042282
1766787845.013034,119413.000,17413,1,EA,1,100,0.041959
1766787845.079534,119479.500,17431,2,EA,1,100,0.041749
1766787845.146034,119546.000,17431,2,EA,1,100,0.041639
1766787845.213034,119613.000,17447,1,EA,1,100,0.041651
1766787845.279534,119679.500,17462,2,EA,1,100,0.041708
