LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1766787841.880034,116280,16933,1,SA,1,100,0.002964
1766787843.147034,117547,17134,1,SA,1,100,0.002117
1766787843.813034,118213,17257,1,SA,1,100,0.000151
1766787845.746034,120146,17560,1,SA,1,100,0.001686
1766787847.346034,121746,17829,1,SA,1,100,0.000142
1766787850.213034,124613,18282,1,SA,1,100,0.001261
1766787850.879034,125279,18383,1,SA,1,100,0.000532
1766787851.212034,125612,18467,1,SA,1,100,0.001651
1766787859.478034,133878,19859,1,SA,1,100,0.002196
1766787860.345034,134745,19958,1,SA,1,100,0.002395
1766787862.211034,136611,20278,1,SA,1,100,0.009757
1766787865.878034,140278,20858,1,SA,1,100,0.011481
1766787866.212034,140612,20891,1,SA,1,100,0.000040
1766787867.811034,142211,21179,1,SA,1,100,0.003356
1766787869.877034,144277,21495,1,SA,1,100,0.000312
1766787871.278034,145678,21780,1,SA,1,100,0.000458
1766787872.677034,147077,22002,1,SA,1,100,0.000640
1766787875.344034,149744,22467,1,SA,1,100,0.000717
1766787878.477034,152877,22933,1,SA,1,100,0.000411
1766787880.076034,154476,23220,1,SA,1,100,0.000927
1766787882.943034,157343,23668,1,SA,1,100,0.000103
1766787883.343034,157743,23753,1,SA,1,100,0.000477
1766787888.343034,162743,24550,1,SA,1,100,0.000030
1766787888.809034,163209,24682,1,SA,1,100,0.000336
1766787889.409034,163809,24784,1,SA,1,100,0.000520
1766787890.276034,164676,24854,1,SA,1,100,0.000109
1766787892.008034,166408,25190,1,SA,1,100,0.000277
1766787893.275034,167675,25390,1,SA,1,100,0.000045
1766787894.209034,168609,25543,1,SA,1,100,0.000203
1766787894.809034,169209,25644,1,SA,1,100,0.000215
1766787902.941034,177341,26958,1,SA,1,100,0.017738
1766787904.207034,178607,27174,1,SA,1,100,0.011995
1766787906.608034,181008,27592,1,SA,1,100,0.002923
1766787907.540034,181940,27743,1,SA,1,100,0.001513
1766787911.206034,185606,28340,1,SA,1,100,0.014422
1766787917.806034,192206,29372,1,SA,1,100,0.007608
1766787918.139034,192539,29439,1,SA,1,100,0.000828
1766787921.472034,195872,30023,1,SA,1,100,0.000226
1766787923.605034,198005,30371,1,SA,1,100,0.002142
1766787924.472034,198872,30471,1,SA,1,100,0.010793
1766787924.672034,199072,30556,1,SA,1,100,0.044816
1766787925.805034,200205,30736,1,SA,1,100,0.006042
1766787928.005034,202405,31052,1,SA,1,100,0.001372
1766787928.871034,203271,31203,1,SA,1,100,0.030333
1766787930.604034,205004,31505,1,SA,1,100,0.000562
1766787930.938034,205338,31557,1,SA,1,100,0.000177
1766787931.338034,205738,31641,1,SA,1,100,0.036361
1766787932.872034,207272,31879,1,SA,1,100,0.011558
1766787934.671034,209071,32181,1,SA,1,100,0.006972
1766787937.004034,211404,32545,1,SA,1,100,0.008050
1766787939.471034,213871,32946,1,SA,1,100,0.017720
1766787940.404034,214804,33098,1,SA,1,100,0.007312
1766787941.070034,215470,33215,1,SA,1,100,0.004093
1766787943.403034,217803,33600,1,SA,1,100,0.009887
1766787945.336034,219736,33902,1,SA,1,100,0.015196
