LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1766633906.608679,44478.000,5165,3,MY,1,100,37
1766633906.608679,44478.000,5165,3,MY,1,100,37
1766633906.608679,44478.000,5165,3,MY,1,100,38
1766633906.648675,44518.000,5182,2,MY,1,100,38
1766633906.688672,44558.000,5182,2,MY,1,100,38
1766633906.728669,44598.000,5198,3,MY,1,100,38
1766633906.768666,44638.000,5198,3,MY,1,100,38
1766633906.808663,44678.000,5198,3,MY,1,100,37
1766633906.848659,44718.000,5214,2,MY,1,100,38
1766633906.888656,44758.000,5214,2,MY,1,100,38
1766633906.924320,44793.667,5230,3,MY,1,100,38
1766633906.959984,44829.333,5230,3,MY,1,100,37
1766633906.995647,44865.000,5230,3,MY,1,100,38
1766633907.035644,44905.000,5247,3,MY,1,100,38
1766633907.075641,44945.000,5247,3,MY,1,100,38
1766633907.115638,44985.000,5247,3,MY,1,100,38
1766633907.155635,45025.000,5264,3,MY,1,100,38
1766633907.195631,45065.000,5264,3,MY,1,100,39
1766633907.235628,45105.000,5264,3,MY,1,100,38
1766633907.275625,45145.000,5279,2,MY,1,100,37
1766633907.315622,45185.000,5279,2,MY,1,100,38
1766633907.355618,45225.000,5295,3,MY,1,100,38
1766633907.395615,45265.000,5295,3,MY,1,100,38
1766633907.435612,45305.000,5295,3,MY,1,100,38
1766633907.475609,45345.000,5312,2,MY,1,100,37
1766633907.515605,45385.000,5312,2,MY,1,100,37
1766633907.555602,45425.000,5329,3,MY,1,100,38
1766633907.595599,45465.000,5329,3,MY,1,100,38
1766633907.635596,45505.000,5329,3,MY,1,100,39
1766633907.675592,45545.000,5344,2,MY,1,100,40
1766633907.715589,45585.000,5344,2,MY,1,100,38
1766633907.751253,45620.667,5360,3,MY,1,100,38
1766633907.786917,45656.333,5360,3,MY,1,100,38
1766633907.822581,45692.000,5360,3,MY,1,100,38
1766633907.862577,45732.000,5378,3,MY,1,100,38
1766633907.902574,45772.000,5378,3,MY,1,100,38
1766633907.942571,45812.000,5378,3,MY,1,100,38
1766633907.982568,45852.000,5394,2,MY,1,100,38
1766633908.022564,45892.000,5394,2,MY,1,100,38
1766633908.062895,45932.333,5410,3,MY,1,100,39
1766633908.103225,45972.667,5410,3,MY,1,100,38
1766633908.143555,46013.000,5410,3,MY,1,100,38
1766633908.183052,46052.500,5426,2,MY,1,100,38
1766633908.222548,46092.000,5426,2,MY,1,100,37
1766633908.262545,46132.000,5443,3,MY,1,100,38
1766633908.302542,46172.000,5443,3,MY,1,100,37
1766633908.342539,46212.000,5443,3,MY,1,100,38
1766633908.382535,46252.000,5459,2,MY,1,100,38
1766633908.422532,46292.000,5459,2,MY,1,100,38
1766633908.462529,46332.000,5477,3,MY,1,100,37
1766633908.502526,46372.000,5477,3,MY,1,100,37
1766633908.542522,46412.000,5477,3,MY,1,100,37
1766633908.582519,46452.000,5491,2,MY,1,100,38
1766633908.622516,46492.000,5491,2,MY,1,100,38
1766633908.657846,46527.333,5508,3,MY,1,100,38
1766633908.693177,46562.667,5508,3,MY,1,100,38
1766633908.728507,46598.000,5508,3,MY,1,100,38
1766633908.768504,46638.000,5524,3,MY,1,100,37
1766633908.808501,46678.000,5524,3,MY,1,100,37
1766633908.848498,46718.000,5524,3,MY,1,100,37
1766633908.888494,46758.000,5544,2,MY,1,100,38
1766633908.928491,46798.000,5544,2,MY,1,100,37
1766633908.968488,46838.000,5558,3,MY,1,100,38
1766633909.008485,46878.000,5558,3,MY,1,100,38
1766633909.048481,46918.000,5558,3,MY,1,100,36
1766633909.088478,46958.000,5575,3,MY,1,100,37
1766633909.128475,46998.000,5575,3,MY,1,100,37
1766633909.168472,47038.000,5575,3,MY,1,100,37
1766633909.208468,47078.000,5592,2,MY,1,100,37
1766633909.248465,47118.000,5592,2,MY,1,100,37
1766633909.288462,47158.000,5609,3,MY,1,100,37
1766633909.328459,47198.000,5609,3,MY,1,100,37
1766633909.368456,47238.000,5609,3,MY,1,100,36
1766633909.408452,47278.000,5623,2,MY,1,100,37
1766633909.448449,47318.000,5623,2,MY,1,100,37
1766633909.484113,47353.667,5641,3,MY,1,100,37
1766633909.519777,47389.333,5641,3,MY,1,100,36
1766633909.555440,47425.000,5641,3,MY,1,100,37
1766633909.595437,47465.000,5657,3,MY,1,100,37
1766633909.635434,47505.000,5657,3,MY,1,100,37
1766633909.675431,47545.000,5657,3,MY,1,100,36
1766633909.715428,47585.000,5674,2,MY,1,100,36
1766633909.755424,47625.000,5674,2,MY,1,100,36
1766633909.795421,47665.000,5688,2,MY,1,100,36
1766633909.835418,47705.000,5688,2,MY,1,100,36
1766633909.875415,47745.000,5706,3,MY,1,100,37
1766633909.915411,47785.000,5706,3,MY,1,100,36
1766633909.955408,47825.000,5706,3,MY,1,100,36
1766633909.995405,47865.000,5722,3,MY,1,100,37
1766633910.035402,47905.000,5722,3,MY,1,100,36
1766633910.075398,47945.000,5722,3,MY,1,100,37
1766633910.115395,47985.000,5739,2,MY,1,100,36
1766633910.155392,48025.000,5739,2,MY,1,100,36
1766633910.195389,48065.000,5755,3,MY,1,100,36
1766633910.235385,48105.000,5755,3,MY,1,100,36
1766633910.275382,48145.000,5755,3,MY,1,100,36
1766633910.310713,48180.333,5771,3,MY,1,100,36
1766633910.346043,48215.667,5771,3,MY,1,100,36
1766633910.381374,48251.000,5771,3,MY,1,100,35
1766633910.421371,48291.000,5787,2,MY,1,100,37
1766633910.461367,48331.000,5787,2,MY,1,100,36
1766633910.501364,48371.000,5805,3,MY,1,100,37
1766633910.541361,48411.000,5805,3,MY,1,100,36
1766633910.581357,48451.000,5805,3,MY,1,100,36
1766633910.621354,48491.000,5821,2,MY,1,100,36
1766633910.661351,48531.000,5821,2,MY,1,100,35
1766633910.701348,48571.000,5836,3,MY,1,100,36
1766633910.741345,48611.000,5836,3,MY,1,100,36
1766633910.781341,48651.000,5836,3,MY,1,100,34
1766633910.821338,48691.000,5853,2,MY,1,100,35
1766633910.861335,48731.000,5853,2,MY,1,100,36
1766633910.901332,48771.000,5870,3,MY,1,100,36
1766633910.941329,48811.000,5870,3,MY,1,100,36
1766633910.981325,48851.000,5870,3,MY,1,100,36
1766633911.021322,48891.000,5886,2,MY,1,100,36
1766633911.061319,48931.000,5886,2,MY,1,100,36
1766633911.096982,48966.667,5901,3,MY,1,100,35
1766633911.132646,49002.333,5901,3,MY,1,100,35
1766633911.168310,49038.000,5901,3,MY,1,100,36
1766633911.208307,49078.000,5918,3,MY,1,100,36
1766633911.248304,49118.000,5918,3,MY,1,100,36
1766633911.288300,49158.000,5918,3,MY,1,100,35
1766633911.328297,49198.000,5935,2,MY,1,100,35
1766633911.368294,49238.000,5935,2,MY,1,100,36
1766633911.408291,49278.000,5951,3,MY,1,100,35
1766633911.448287,49318.000,5951,3,MY,1,100,36
1766633911.488284,49358.000,5951,3,MY,1,100,36
1766633911.528281,49398.000,5967,2,MY,1,100,36
1766633911.568278,49438.000,5967,2,MY,1,100,35
1766633911.608274,49478.000,5983,3,MY,1,100,36
1766633911.648271,49518.000,5983,3,MY,1,100,36
1766633911.688268,49558.000,5983,3,MY,1,100,35
1766633911.728265,49598.000,6005,2,MY,1,100,36
1766633911.768262,49638.000,6005,2,MY,1,100,35
1766633911.808258,49678.000,6022,3,MY,1,100,35
1766633911.848255,49718.000,6022,3,MY,1,100,36
1766633911.888252,49758.000,6022,3,MY,1,100,35
1766633911.923916,49793.667,6037,3,MY,1,100,35
1766633911.959579,49829.333,6037,3,MY,1,100,34
1766633911.995243,49865.000,6037,3,MY,1,100,34
1766633912.035240,49905.000,6053,2,MY,1,100,35
1766633912.075237,49945.000,6053,2,MY,1,100,35
1766633912.115233,49985.000,6070,3,MY,1,100,34
1766633912.155230,50025.000,6070,3,MY,1,100,34
1766633912.195227,50065.000,6070,3,MY,1,100,35
1766633912.235224,50105.000,6087,2,MY,1,100,35
1766633912.275221,50145.000,6087,2,MY,1,100,35
1766633912.315217,50185.000,6102,3,MY,1,100,35
1766633912.355214,50225.000,6102,3,MY,1,100,35
1766633912.395211,50265.000,6102,3,MY,1,100,35
1766633912.435208,50305.000,6118,2,MY,1,100,35
1766633912.475204,50345.000,6118,2,MY,1,100,35
1766633912.515201,50385.000,6136,3,MY,1,100,36
1766633912.555198,50425.000,6136,3,MY,1,100,34
1766633912.595195,50465.000,6136,3,MY,1,100,34
1766633912.635191,50505.000,6152,3,MY,1,100,35
1766633912.675188,50545.000,6152,3,MY,1,100,34
1766633912.715185,50585.000,6152,3,MY,1,100,35
1766633912.755182,50625.000,6168,2,MY,1,100,34
1766633912.795178,50665.000,6168,2,MY,1,100,35
1766633912.830509,50700.333,6184,3,MY,1,100,35
1766633912.865839,50735.667,6184,3,MY,1,100,34
1766633912.901170,50771.000,6184,3,MY,1,100,35
1766633912.941167,50811.000,6201,2,MY,1,100,35
1766633912.981164,50851.000,6201,2,MY,1,100,34
1766633913.021160,50891.000,6217,3,MY,1,100,34
1766633913.061157,50931.000,6217,3,MY,1,100,33
1766633913.101154,50971.000,6217,3,MY,1,100,32
1766633913.141150,51011.000,6233,2,MY,1,100,34
1766633913.181147,51051.000,6233,2,MY,1,100,33
1766633913.221144,51091.000,6249,3,MY,1,100,33
1766633913.261141,51131.000,6249,3,MY,1,100,34
1766633913.301138,51171.000,6249,3,MY,1,100,33
1766633913.341134,51211.000,6266,3,MY,1,100,33
1766633913.381131,51251.000,6266,3,MY,1,100,34
1766633913.421128,51291.000,6266,3,MY,1,100,33
1766633913.461125,51331.000,6282,2,MY,1,100,34
1766633913.501122,51371.000,6282,2,MY,1,100,33
1766633913.541118,51411.000,6300,3,MY,1,100,33
1766633913.581115,51451.000,6300,3,MY,1,100,34
1766633913.621112,51491.000,6300,3,MY,1,100,34
1766633913.656775,51526.667,6314,3,MY,1,100,33
1766633913.692439,51562.333,6314,3,MY,1,100,33
1766633913.728103,51598.000,6314,3,MY,1,100,33
1766633913.768100,51638.000,6331,2,MY,1,100,33
1766633913.808097,51678.000,6331,2,MY,1,100,33
