LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1766863767.841915,28338.000,2684,2,AK,1,100,2682
1766863767.841915,28338.000,2684,2,AK,1,100,RD
1766863770.391484,30886.000,3512,2,AK,1,100,2682
1766863772.941053,33434.000,3512,2,AK,1,100,RD
1766863772.951560,33444.500,3515,2,AK,1,100,3513
1766863772.962066,33455.000,3515,2,AK,1,100,RD
1766863775.509134,36000.500,4341,2,AK,1,100,3513
1766863778.056202,38546.000,4341,2,AK,1,100,RD
1766863778.062706,38552.500,4344,2,AK,1,100,4342
1766863778.069210,38559.000,4344,2,AK,1,100,RD
1766863780.624783,41113.000,5181,2,AK,1,100,4342
1766863783.180356,43667.000,5181,2,AK,1,100,RD
1766863783.199868,43686.500,5184,2,AK,1,100,5182
1766863783.219380,43706.000,5184,2,AK,1,100,RD
1766863785.754441,46239.500,6019,2,AK,1,100,5182
1766863788.289501,48773.000,6019,2,AK,1,100,RD
