LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1766633906.622678,44492.000,5151,3,PI,1,100,149065
1766633906.622678,44492.000,5151,3,PI,1,100,148935
1766633906.622678,44492.000,5151,3,PI,1,100,148887
1766633906.662674,44532.000,5168,2,PI,1,100,149075
1766633906.702671,44572.000,5168,2,PI,1,100,149253
1766633906.742668,44612.000,5184,3,PI,1,100,149447
1766633906.782665,44652.000,5184,3,PI,1,100,149411
1766633906.822661,44692.000,5184,3,PI,1,100,149287
1766633906.862658,44732.000,5202,2,PI,1,100,149287
1766633906.902655,44772.000,5202,2,PI,1,100,149382
1766633906.942652,44812.000,5216,3,PI,1,100,149548
1766633906.982649,44852.000,5216,3,PI,1,100,149700
1766633907.022645,44892.000,5216,3,PI,1,100,150066
1766633907.062642,44932.000,5233,2,PI,1,100,150480
1766633907.102639,44972.000,5233,2,PI,1,100,150810
1766633907.142636,45012.000,5250,3,PI,1,100,150916
1766633907.182632,45052.000,5250,3,PI,1,100,151039
1766633907.222629,45092.000,5250,3,PI,1,100,151099
1766633907.262626,45132.000,5267,2,PI,1,100,151202
1766633907.302623,45172.000,5267,2,PI,1,100,151473
1766633907.342619,45212.000,5281,3,PI,1,100,151639
1766633907.382616,45252.000,5281,3,PI,1,100,151937
1766633907.422613,45292.000,5281,3,PI,1,100,152259
1766633907.462610,45332.000,5298,3,PI,1,100,152575
1766633907.502606,45372.000,5298,3,PI,1,100,152722
1766633907.542603,45412.000,5298,3,PI,1,100,152809
1766633907.582600,45452.000,5315,2,PI,1,100,153302
1766633907.622597,45492.000,5315,2,PI,1,100,153921
1766633907.662594,45532.000,5332,3,PI,1,100,154350
1766633907.702590,45572.000,5332,3,PI,1,100,154717
1766633907.742587,45612.000,5332,3,PI,1,100,155052
1766633907.782584,45652.000,5346,2,PI,1,100,155507
1766633907.822581,45692.000,5346,2,PI,1,100,156002
1766633907.862577,45732.000,5364,3,PI,1,100,156346
1766633907.902574,45772.000,5364,3,PI,1,100,156636
1766633907.942571,45812.000,5364,3,PI,1,100,156954
1766633907.982568,45852.000,5380,2,PI,1,100,157234
1766633908.022564,45892.000,5380,2,PI,1,100,157472
1766633908.062895,45932.333,5397,3,PI,1,100,157726
1766633908.103225,45972.667,5397,3,PI,1,100,157971
1766633908.143555,46013.000,5397,3,PI,1,100,158392
1766633908.183052,46052.500,5413,2,PI,1,100,158831
1766633908.222548,46092.000,5413,2,PI,1,100,158990
1766633908.262545,46132.000,5429,3,PI,1,100,158943
1766633908.302542,46172.000,5429,3,PI,1,100,158845
1766633908.342539,46212.000,5429,3,PI,1,100,158867
1766633908.382535,46252.000,5445,2,PI,1,100,159137
1766633908.422532,46292.000,5445,2,PI,1,100,159537
1766633908.462529,46332.000,5463,3,PI,1,100,159911
1766633908.502526,46372.000,5463,3,PI,1,100,160209
1766633908.542522,46412.000,5463,3,PI,1,100,160462
1766633908.582519,46452.000,5479,2,PI,1,100,160733
1766633908.622516,46492.000,5479,2,PI,1,100,160952
1766633908.662513,46532.000,5494,3,PI,1,100,161088
1766633908.702509,46572.000,5494,3,PI,1,100,161262
1766633908.742506,46612.000,5494,3,PI,1,100,161444
1766633908.782503,46652.000,5510,3,PI,1,100,161625
1766633908.822500,46692.000,5510,3,PI,1,100,161713
1766633908.862497,46732.000,5510,3,PI,1,100,161898
1766633908.902493,46772.000,5530,2,PI,1,100,162049
1766633908.942490,46812.000,5530,2,PI,1,100,162133
1766633908.982487,46852.000,5546,3,PI,1,100,162155
1766633909.022484,46892.000,5546,3,PI,1,100,162113
1766633909.062480,46932.000,5546,3,PI,1,100,162101
1766633909.102477,46972.000,5561,2,PI,1,100,162217
1766633909.142474,47012.000,5561,2,PI,1,100,162310
1766633909.188970,47058.500,5578,2,PI,1,100,162370
1766633909.235466,47105.000,5578,2,PI,1,100,162445
1766633909.275463,47145.000,5595,3,PI,1,100,162553
1766633909.315460,47185.000,5595,3,PI,1,100,162586
1766633909.355457,47225.000,5595,3,PI,1,100,162616
1766633909.395453,47265.000,5611,2,PI,1,100,162699
1766633909.435450,47305.000,5611,2,PI,1,100,162715
1766633909.475447,47345.000,5627,3,PI,1,100,162763
1766633909.515444,47385.000,5627,3,PI,1,100,162658
1766633909.555440,47425.000,5627,3,PI,1,100,162394
1766633909.595937,47465.500,5643,2,PI,1,100,162341
1766633909.636434,47506.000,5643,2,PI,1,100,162543
1766633909.676097,47545.667,5660,3,PI,1,100,162893
1766633909.715761,47585.333,5660,3,PI,1,100,163117
1766633909.755424,47625.000,5660,3,PI,1,100,163248
1766633909.795421,47665.000,5676,3,PI,1,100,163448
1766633909.835418,47705.000,5676,3,PI,1,100,163542
1766633909.875415,47745.000,5676,3,PI,1,100,163254
1766633909.915411,47785.000,5692,2,PI,1,100,162948
1766633909.955408,47825.000,5692,2,PI,1,100,162571
1766633909.995405,47865.000,5708,3,PI,1,100,162516
1766633910.035402,47905.000,5708,3,PI,1,100,162661
1766633910.075398,47945.000,5708,3,PI,1,100,163003
1766633910.115395,47985.000,5725,2,PI,1,100,163287
1766633910.155392,48025.000,5725,2,PI,1,100,163558
1766633910.195389,48065.000,5742,3,PI,1,100,163649
1766633910.235385,48105.000,5742,3,PI,1,100,163736
1766633910.275382,48145.000,5742,3,PI,1,100,164160
1766633910.315379,48185.000,5758,2,PI,1,100,164589
1766633910.355376,48225.000,5758,2,PI,1,100,164724
1766633910.395373,48265.000,5773,3,PI,1,100,164883
1766633910.435369,48305.000,5773,3,PI,1,100,165054
1766633910.475366,48345.000,5773,3,PI,1,100,164947
1766633910.515363,48385.000,5791,2,PI,1,100,164649
1766633910.555360,48425.000,5791,2,PI,1,100,164547
1766633910.595356,48465.000,5807,3,PI,1,100,164883
1766633910.635353,48505.000,5807,3,PI,1,100,165325
1766633910.675350,48545.000,5807,3,PI,1,100,165616
1766633910.715347,48585.000,5824,2,PI,1,100,165699
1766633910.755343,48625.000,5824,2,PI,1,100,165804
1766633910.795340,48665.000,5839,3,PI,1,100,166105
1766633910.835337,48705.000,5839,3,PI,1,100,166458
1766633910.875334,48745.000,5839,3,PI,1,100,166709
1766633910.915330,48785.000,5856,2,PI,1,100,166887
1766633910.955327,48825.000,5856,2,PI,1,100,166979
1766633910.995324,48865.000,5872,3,PI,1,100,166752
1766633911.035321,48905.000,5872,3,PI,1,100,166418
1766633911.075318,48945.000,5872,3,PI,1,100,166356
1766633911.115314,48985.000,5889,2,PI,1,100,166474
1766633911.155311,49025.000,5889,2,PI,1,100,166523
1766633911.195308,49065.000,5904,3,PI,1,100,166612
1766633911.235305,49105.000,5904,3,PI,1,100,166637
1766633911.275301,49145.000,5904,3,PI,1,100,166685
1766633911.315298,49185.000,5921,3,PI,1,100,166737
1766633911.355295,49225.000,5921,3,PI,1,100,166876
1766633911.395292,49265.000,5921,3,PI,1,100,167049
1766633911.435288,49305.000,5937,2,PI,1,100,167214
1766633911.475285,49345.000,5937,2,PI,1,100,167220
1766633911.515282,49385.000,5955,3,PI,1,100,167237
1766633911.555279,49425.000,5955,3,PI,1,100,167293
1766633911.595276,49465.000,5955,3,PI,1,100,167382
1766633911.635272,49505.000,5969,2,PI,1,100,167438
1766633911.675269,49545.000,5969,2,PI,1,100,167564
1766633911.715266,49585.000,5991,3,PI,1,100,167589
1766633911.755263,49625.000,5991,3,PI,1,100,167511
1766633911.795259,49665.000,5991,3,PI,1,100,167192
1766633911.835256,49705.000,6008,2,PI,1,100,166822
1766633911.875253,49745.000,6008,2,PI,1,100,166706
1766633911.915250,49785.000,6025,3,PI,1,100,166802
1766633911.955246,49825.000,6025,3,PI,1,100,166841
1766633911.995243,49865.000,6025,3,PI,1,100,166811
1766633912.035240,49905.000,6039,2,PI,1,100,166901
1766633912.075237,49945.000,6039,2,PI,1,100,167051
1766633912.115233,49985.000,6056,3,PI,1,100,167083
1766633912.155230,50025.000,6056,3,PI,1,100,167063
1766633912.195227,50065.000,6056,3,PI,1,100,167068
1766633912.235224,50105.000,6073,2,PI,1,100,167138
1766633912.275221,50145.000,6073,2,PI,1,100,167170
1766633912.315217,50185.000,6090,3,PI,1,100,167222
1766633912.355214,50225.000,6090,3,PI,1,100,167326
1766633912.395211,50265.000,6090,3,PI,1,100,167319
1766633912.435208,50305.000,6104,2,PI,1,100,167365
1766633912.475204,50345.000,6104,2,PI,1,100,167445
1766633912.515201,50385.000,6122,3,PI,1,100,167539
1766633912.555198,50425.000,6122,3,PI,1,100,167682
1766633912.595195,50465.000,6122,3,PI,1,100,167850
1766633912.635191,50505.000,6138,2,PI,1,100,168016
1766633912.675188,50545.000,6138,2,PI,1,100,168103
1766633912.715185,50585.000,6155,3,PI,1,100,168195
1766633912.755182,50625.000,6155,3,PI,1,100,168250
1766633912.795178,50665.000,6155,3,PI,1,100,168193
1766633912.835175,50705.000,6171,3,PI,1,100,167980
1766633912.875172,50745.000,6171,3,PI,1,100,167707
1766633912.915169,50785.000,6171,3,PI,1,100,167484
1766633912.955166,50825.000,6187,2,PI,1,100,167323
1766633912.995162,50865.000,6187,2,PI,1,100,167408
1766633913.035159,50905.000,6203,3,PI,1,100,167561
1766633913.075156,50945.000,6203,3,PI,1,100,167667
