LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1766715437.681847,21738.000,1489,1,BV,1,100,4.08
1766715442.681847,26738.000,2296,1,BV,1,100,4.07
1766715447.680847,31737.000,3107,1,BV,1,100,4.07
1766715452.680847,36737.000,3934,1,BV,1,100,4.07
1766715457.679847,41736.000,4747,1,BV,1,100,4.07
1766715462.679847,46736.000,5565,1,BV,1,100,4.06
1766715467.678847,51735.000,6379,1,BV,1,100,4.06
1766715472.678847,56735.000,7208,1,BV,1,100,4.06
1766715477.677847,61734.000,8028,1,BV,1,100,4.06
1766715482.677847,66734.000,8844,1,BV,1,100,4.06
1766715487.676847,71733.000,9677,1,BV,1,100,4.06
1766715492.676847,76733.000,10497,1,BV,1,100,4.06
1766715497.675847,81732.000,11308,1,BV,1,100,4.06
1766715502.675847,86732.000,12123,1,BV,1,100,4.06
1766715507.674847,91731.000,12954,1,BV,1,100,4.05
1766715512.674847,96731.000,13763,1,BV,1,100,4.05
1766715517.673847,101730.000,14575,1,BV,1,100,4.05
1766715522.673847,106730.000,15387,1,BV,1,100,4.05
1766715527.672847,111729.000,16218,1,BV,1,100,4.05
1766715532.672847,116729.000,17028,1,BV,1,100,4.05
1766715537.671847,121728.000,17837,1,BV,1,100,4.05
1766715542.671847,126728.000,18648,1,BV,1,100,4.05
1766715547.670847,131727.000,19475,1,BV,1,100,4.05
1766715552.670847,136727.000,20286,1,BV,1,100,4.05
1766715557.669847,141726.000,21100,1,BV,1,100,4.05
1766715562.669847,146726.000,21916,1,BV,1,100,4.05
1766715567.668847,151725.000,22728,1,BV,1,100,4.04
1766715572.668847,156725.000,23555,1,BV,1,100,4.04
1766715577.667847,161724.000,24365,1,BV,1,100,4.04
1766715582.667847,166724.000,25178,1,BV,1,100,4.04
1766715587.673847,171730.000,25983,1,BV,1,100,4.04
1766715592.673847,176730.000,26813,1,BV,1,100,4.04
1766715597.685847,181742.000,27609,1,BV,1,100,4.04
1766715602.692847,186749.000,28434,1,BV,1,100,4.04
1766715607.691847,191748.000,29240,1,BV,1,100,4.04
1766715612.691847,196748.000,30050,1,BV,1,100,4.04
1766715617.697847,201754.000,30860,1,BV,1,100,4.03
1766715622.710847,206767.000,31689,1,BV,1,100,4.03
1766715627.709847,211766.000,32498,1,BV,1,100,4.04
1766715632.715847,216772.000,33307,1,BV,1,100,4.03
1766715637.721847,221778.000,34136,1,BV,1,100,4.04
1766715642.734847,226791.000,34941,1,BV,1,100,4.03
1766715647.734847,231791.000,35751,1,BV,1,100,4.03
1766715652.740847,236797.000,36571,1,BV,1,100,4.03
1766715657.753847,241810.000,37397,1,BV,1,100,4.03
1766715662.752847,246809.000,38182,1,BV,1,100,4.03
1766715667.758847,251815.000,38990,1,BV,1,100,4.03
1766715672.758847,256815.000,39817,1,BV,1,100,4.03
1766715677.764847,261821.000,40631,1,BV,1,100,4.03
1766715682.770847,266827.000,41443,1,BV,1,100,4.03
1766715687.770847,271827.000,42249,1,BV,1,100,4.03
1766715692.769847,276826.000,43079,1,BV,1,100,4.02
1766715697.775847,281832.000,43888,1,BV,1,100,4.03
1766715702.782847,286839.000,44696,1,BV,1,100,4.03
1766715707.788847,291845.000,45510,1,BV,1,100,4.03
1766715712.787847,296844.000,46324,1,BV,1,100,4.02
1766715717.787847,301844.000,47149,1,BV,1,100,4.03
1766715722.786847,306843.000,47956,1,BV,1,100,4.02
1766715727.786847,311843.000,48770,1,BV,1,100,4.02
1766715732.785847,316842.000,49588,1,BV,1,100,4.02
1766715737.785847,321842.000,50400,1,BV,1,100,4.02
1766715742.798847,326855.000,51239,1,BV,1,100,4.02
1766715747.797847,331854.000,52058,1,BV,1,100,4.02
1766715752.797847,336854.000,52879,1,BV,1,100,4.02
1766715757.803847,341860.000,53720,1,BV,1,100,4.02
1766715762.809847,346866.000,54535,1,BV,1,100,4.02
1766715767.808847,351865.000,55357,1,BV,1,100,4.02
1766715772.808847,356865.000,56175,1,BV,1,100,4.02
1766715777.807847,361864.000,57014,1,BV,1,100,4.02
1766715782.807847,366864.000,57818,1,BV,1,100,4.02
1766715787.806847,371863.000,58651,1,BV,1,100,4.01
1766715792.813847,376870.000,59475,1,BV,1,100,4.01
1766715797.812847,381869.000,60285,1,BV,1,100,4.02
1766715802.825847,386882.000,61107,1,BV,1,100,4.02
1766715807.824847,391881.000,61952,1,BV,1,100,4.01
1766715812.824847,396881.000,62779,1,BV,1,100,4.01
1766715817.823847,401880.000,63603,1,BV,1,100,4.01
1766715822.830847,406887.000,64420,1,BV,1,100,4.02
1766715827.829847,411886.000,65237,1,BV,1,100,4.02
1766715832.835847,416892.000,524,1,BV,1,100,4.01
1766715837.835847,421892.000,1333,1,BV,1,100,4.01
1766715842.868847,426925.000,2134,1,BV,1,100,4.01
1766715847.874847,431931.000,2957,1,BV,1,100,4.01
1766715852.873847,436930.000,3768,1,BV,1,100,4.01
1766715857.879847,441936.000,4579,1,BV,1,100,4.00
1766715862.886847,446943.000,5393,1,BV,1,100,4.01
1766715867.885847,451942.000,6228,1,BV,1,100,4.01
1766715872.898847,456955.000,7039,1,BV,1,100,4.00
1766715877.904847,461961.000,7846,1,BV,1,100,4.01
1766715882.904847,466961.000,8666,1,BV,1,100,4.00
1766715887.903847,471960.000,9491,1,BV,1,100,4.00
1766715892.903847,476960.000,10302,1,BV,1,100,4.00
1766715897.902847,481959.000,11119,1,BV,1,100,4.00
1766715902.908847,486965.000,11932,1,BV,1,100,4.00
1766715907.908847,491965.000,12755,1,BV,1,100,4.00
1766715912.907847,496964.000,13567,1,BV,1,100,4.00
1766715917.907847,501964.000,14378,1,BV,1,100,4.00
1766715922.920847,506977.000,15185,1,BV,1,100,4.00
1766715927.919847,511976.000,15994,1,BV,1,100,4.00
1766715932.919847,516976.000,16827,1,BV,1,100,4.00
1766715937.918847,521975.000,17649,1,BV,1,100,3.99
1766715942.918847,526975.000,18471,1,BV,1,100,4.00
1766715947.917847,531974.000,19285,1,BV,1,100,3.99
1766715952.917847,536974.000,20123,1,BV,1,100,3.99
1766715957.916847,541973.000,20940,1,BV,1,100,3.99
1766715962.929847,546986.000,21762,1,BV,1,100,3.99
1766715967.928847,551985.000,22575,1,BV,1,100,3.99
1766715972.928847,556985.000,23388,1,BV,1,100,3.99
1766715977.941847,561998.000,24229,1,BV,1,100,3.99
1766715982.954847,567011.000,25052,1,BV,1,100,3.99
1766715987.953847,572010.000,25876,1,BV,1,100,3.99
1766715992.959847,577016.000,26690,1,BV,1,100,3.99
1766715997.965847,582022.000,27521,1,BV,1,100,3.98
1766716002.972847,587029.000,28335,1,BV,1,100,3.99
1766716007.971847,592028.000,29152,1,BV,1,100,3.99
1766716012.977847,597034.000,29963,1,BV,1,100,3.98
1766716017.977847,602034.000,30800,1,BV,1,100,3.98
1766716022.983847,607040.000,31619,1,BV,1,100,3.98
1766716027.982847,612039.000,32438,1,BV,1,100,3.98
1766716032.982847,617039.000,33259,1,BV,1,100,3.98
1766716037.981847,622038.000,34078,1,BV,1,100,3.98
1766716043.001847,627058.000,34914,1,BV,1,100,3.98
1766716048.000847,632057.000,35734,1,BV,1,100,3.98
1766716053.006847,637063.000,36543,1,BV,1,100,3.98
1766716058.013847,642070.000,37366,1,BV,1,100,3.98
1766716063.019847,647076.000,38178,1,BV,1,100,3.98
1766716068.018847,652075.000,38983,1,BV,1,100,3.97
1766716073.018847,657075.000,39790,1,BV,1,100,3.98
1766716078.024847,662081.000,40601,1,BV,1,100,3.98
1766716083.024847,667081.000,41410,1,BV,1,100,3.98
1766716088.030847,672087.000,42235,1,BV,1,100,3.98
1766716093.029847,677086.000,43043,1,BV,1,100,3.98
1766716098.029847,682086.000,43851,1,BV,1,100,3.97
1766716103.035847,687092.000,44657,1,BV,1,100,3.97
1766716108.034847,692091.000,45460,1,BV,1,100,3.97
1766716113.034847,697091.000,46279,1,BV,1,100,3.97
1766716118.040847,702097.000,47083,1,BV,1,100,3.97
1766716123.039847,707096.000,47900,1,BV,1,100,3.97
1766716128.039847,712096.000,48716,1,BV,1,100,3.97
1766716133.045847,717102.000,49551,1,BV,1,100,3.97
1766716138.045847,722102.000,50369,1,BV,1,100,3.97
1766716143.057847,727114.000,51182,1,BV,1,100,3.97
1766716148.070847,732127.000,52001,1,BV,1,100,3.97
1766716153.077847,737134.000,52840,1,BV,1,100,3.97
1766716158.083847,742140.000,53665,1,BV,1,100,3.97
1766716163.089847,747146.000,54483,1,BV,1,100,3.97
1766716168.095847,752152.000,55298,1,BV,1,100,3.97
1766716173.094847,757151.000,56135,1,BV,1,100,3.97
1766716178.094847,762151.000,56950,1,BV,1,100,3.97
1766716183.100847,767157.000,57764,1,BV,1,100,3.96
1766716188.100847,772157.000,58577,1,BV,1,100,3.96
1766716193.099847,777156.000,59408,1,BV,1,100,3.96
1766716198.105847,782162.000,60225,1,BV,1,100,3.96
1766716203.111847,787168.000,61045,1,BV,1,100,3.97
1766716208.111847,792168.000,61853,1,BV,1,100,3.96
1766716213.110847,797167.000,62674,1,BV,1,100,3.96
1766716218.117847,802174.000,63478,1,BV,1,100,3.96
1766716223.123847,807180.000,64290,1,BV,1,100,3.96
1766716228.122847,812179.000,65105,1,BV,1,100,3.96
1766716233.128847,817185.000,380,1,BV,1,100,3.96
1766716238.128847,822185.000,1215,1,BV,1,100,3.96
1766716243.134847,827191.000,2029,1,BV,1,100,3.96
1766716248.140847,832197.000,2850,1,BV,1,100,3.96
1766716253.140847,837197.000,3665,1,BV,1,100,3.96
1766716258.139847,842196.000,4498,1,BV,1,100,3.96
1766716263.159847,847216.000,5325,1,BV,1,100,3.96
1766716268.165847,852222.000,6145,1,BV,1,100,3.96
1766716273.164847,857221.000,6957,1,BV,1,100,3.95
1766716278.164847,862221.000,7782,1,BV,1,100,3.95
1766716283.170847,867227.000,8592,1,BV,1,100,3.95
1766716288.170847,872227.000,9406,1,BV,1,100,3.95
1766716293.176847,877233.000,10214,1,BV,1,100,3.95
1766716298.175847,882232.000,11041,1,BV,1,100,3.95
1766716303.195847,887252.000,11853,1,BV,1,100,3.95
1766716308.194847,892251.000,12666,1,BV,1,100,3.95
1766716313.194847,897251.000,13477,1,BV,1,100,3.95
1766716318.200847,902257.000,14298,1,BV,1,100,3.95
1766716323.199847,907256.000,15109,1,BV,1,100,3.95
1766716328.199847,912256.000,15922,1,BV,1,100,3.95
1766716333.205847,917262.000,16741,1,BV,1,100,3.95
1766716338.205847,922262.000,17576,1,BV,1,100,3.95
1766716343.211847,927268.000,18378,1,BV,1,100,3.95
1766716348.210847,932267.000,19197,1,BV,1,100,3.95
1766716353.210847,937267.000,20009,1,BV,1,100,3.94
1766716358.216847,942273.000,20813,1,BV,1,100,3.95
1766716363.222847,947279.000,21631,1,BV,1,100,3.94
1766716368.228847,952285.000,22454,1,BV,1,100,3.95
1766716373.228847,957285.000,23265,1,BV,1,100,3.95
1766716378.227847,962284.000,24071,1,BV,1,100,3.94
1766716383.233847,967290.000,24879,1,BV,1,100,3.95
1766716388.233847,972290.000,25691,1,BV,1,100,3.94
1766716393.232847,977289.000,26526,1,BV,1,100,3.94
1766716398.232847,982289.000,27341,1,BV,1,100,3.94
1766716403.238847,987295.000,28151,1,BV,1,100,3.94
1766716408.238847,992295.000,28967,1,BV,1,100,3.94
1766716413.244847,997301.000,29802,1,BV,1,100,3.94
1766716418.250847,1002307.000,30616,1,BV,1,100,3.94
1766716423.256847,1007313.000,31431,1,BV,1,100,3.94
1766716428.256847,1012313.000,32246,1,BV,1,100,3.94
1766716433.255847,1017312.000,33075,1,BV,1,100,3.94
1766716438.255847,1022312.000,33898,1,BV,1,100,3.94
1766716443.254847,1027311.000,34714,1,BV,1,100,3.94
1766716448.254847,1032311.000,35533,1,BV,1,100,3.94
1766716453.260847,1037317.000,36344,1,BV,1,100,3.93
1766716458.259847,1042316.000,37179,1,BV,1,100,3.94
1766716463.272847,1047329.000,37990,1,BV,1,100,3.93
1766716468.278847,1052335.000,38810,1,BV,1,100,3.93
1766716473.278847,1057335.000,39628,1,BV,1,100,3.93
1766716478.277847,1062334.000,40461,1,BV,1,100,3.93
1766716483.290847,1067347.000,41260,1,BV,1,100,3.93
1766716488.296847,1072353.000,42099,1,BV,1,100,3.93
1766716493.296847,1077353.000,42917,1,BV,1,100,3.93
1766716498.295847,1082352.000,43731,1,BV,1,100,3.93
1766716503.308847,1087365.000,44553,1,BV,1,100,3.93
1766716508.308847,1092365.000,45388,1,BV,1,100,3.93
1766716513.307847,1097364.000,46203,1,BV,1,100,3.93
1766716518.313847,1102370.000,47020,1,BV,1,100,3.93
1766716523.320847,1107377.000,47838,1,BV,1,100,3.92
1766716528.319847,1112376.000,48673,1,BV,1,100,3.93
1766716533.318847,1117375.000,49488,1,BV,1,100,3.93
1766716538.325847,1122382.000,50307,1,BV,1,100,3.92
1766716543.338847,1127395.000,51125,1,BV,1,100,3.92
1766716548.337847,1132394.000,51970,1,BV,1,100,3.93
1766716553.336847,1137393.000,52777,1,BV,1,100,3.92
1766716558.343847,1142400.000,53592,1,BV,1,100,3.92
1766716563.349847,1147406.000,54421,1,BV,1,100,3.92
1766716568.355847,1152412.000,55229,1,BV,1,100,3.92
1766716573.361847,1157418.000,56040,1,BV,1,100,3.92
1766716578.361847,1162418.000,56843,1,BV,1,100,3.92
1766716583.360847,1167417.000,57670,1,BV,1,100,3.92
1766716588.366847,1172423.000,58481,1,BV,1,100,3.92
1766716593.366847,1177423.000,59298,1,BV,1,100,3.92
1766716598.365847,1182422.000,60117,1,BV,1,100,3.92
1766716603.371847,1187428.000,60950,1,BV,1,100,3.92
1766716608.384847,1192441.000,61764,1,BV,1,100,3.92
1766716613.390847,1197447.000,62565,1,BV,1,100,3.91
1766716618.390847,1202447.000,63374,1,BV,1,100,3.92
1766716623.389847,1207446.000,64201,1,BV,1,100,3.91
1766716628.389847,1212446.000,65016,1,BV,1,100,3.92
1766716633.388847,1217445.000,290,1,BV,1,100,3.91
1766716638.388847,1222445.000,1101,1,BV,1,100,3.91
1766716643.394847,1227451.000,1914,1,BV,1,100,3.91
1766716648.394847,1232451.000,2722,1,BV,1,100,3.91
1766716653.400847,1237457.000,3555,1,BV,1,100,3.91
1766716658.399847,1242456.000,4376,1,BV,1,100,3.91
1766716663.399847,1247456.000,5187,1,BV,1,100,3.91
1766716668.405847,1252462.000,6002,1,BV,1,100,3.91
