LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1766834410.770267,85332.500,5812,2,AK,1,100,5810
1766888217.020443,47589.000,5812,2,AK,1,100,RD
1766884628.844156,50106.000,6649,2,AK,1,100,5810
1766881040.667869,52623.000,6649,2,AK,1,100,RD
1766881027.837680,52632.000,6652,2,AK,1,100,6650
1766881015.007490,52641.000,6652,2,AK,1,100,RD
1766877384.063905,55188.000,7475,2,AK,1,100,6650
1766873753.120320,57735.000,7475,2,AK,1,100,RD
1766873734.587825,57748.000,7478,2,AK,1,100,7476
1766873716.055329,57761.000,7478,2,AK,1,100,RD
1766870094.377992,60301.500,8308,2,AK,1,100,7476
1766866472.700655,62842.000,8308,2,AK,1,100,RD
1766866426.369415,62874.500,8311,2,AK,1,100,8309
1766866380.038176,62907.000,8311,2,AK,1,100,RD
1766862784.021218,65429.500,9142,2,AK,1,100,8309
1766859188.004259,67952.000,9142,2,AK,1,100,RD
1766859162.343880,67970.000,9145,2,AK,1,100,9143
1766859136.683502,67988.000,9145,2,AK,1,100,RD
1766855522.134048,70523.500,9977,2,AK,1,100,9143
1766851907.584593,73059.000,9977,2,AK,1,100,RD
