LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1766863767.827906,28324.000,2682,2,RD,1,100,TL
1766863767.827906,28324.000,2682,2,RD,1,100,TU
1766863770.384480,30879.000,3513,2,RD,1,100,TL
1766863772.941053,33434.000,3513,2,RD,1,100,TU
1766863775.498628,35990.000,4342,2,RD,1,100,TL
1766863778.056202,38546.000,4342,2,RD,1,100,TU
1766863780.618279,41106.500,5182,2,RD,1,100,TL
1766863783.180356,43667.000,5182,2,RD,1,100,TU
1766863785.737931,46223.000,6020,2,RD,1,100,TL
1766863788.295505,48779.000,6020,2,RD,1,100,TU
1766863790.853580,51335.500,6850,2,RD,1,100,TL
1766863793.411654,53892.000,6850,2,RD,1,100,TU
