LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1766887420.123127,48148,5914,1,HR,1,100,72.12
1766886792.869426,48588,5984,1,HR,1,100,86.40
1766885538.362023,49468,6131,1,HR,1,100,82.35
1766884684.441643,50067,6231,1,HR,1,100,86.27
1766883943.141814,50587,6316,1,HR,1,100,92.74
1766882973.749731,51267,6433,1,HR,1,100,91.74
1766882232.449902,51787,6517,1,HR,1,100,96.99
1766876625.657157,55720,7161,1,HR,1,100,78.84
1766870619.702967,59933,7842,1,HR,1,100,64.49
1766869194.126373,60933,8010,1,HR,1,100,63.50
1766867540.457524,62093,8192,1,HR,1,100,60.88
1766865811.233115,63306,8379,1,HR,1,100,58.46
1766864727.794904,64066,8511,1,HR,1,100,63.01
1766864214.587330,64426,8562,1,HR,1,100,86.05
1766862047.710907,65946,8810,1,HR,1,100,75.70
1766860451.065121,67066,8993,1,HR,1,100,70.78
1766858208.633139,68639,9261,1,HR,1,100,63.60
1766856726.033481,69679,9427,1,HR,1,100,62.29
1766855756.641397,70359,9542,1,HR,1,100,68.05
1766853988.926421,71599,9744,1,HR,1,100,63.68
1766852962.511273,72319,9862,1,HR,1,100,68.05
1766850606.033163,73972,10114,1,HR,1,100,61.06
1766849237.479633,74932,10280,1,HR,1,100,61.38
1766847015.005723,76491,10527,1,HR,1,100,56.29
1766845988.590575,77211,10645,1,HR,1,100,62.30
1766844658.527613,78144,10812,1,HR,1,100,62.95
1766843516.640761,78945,10928,1,HR,1,100,65.62
1766842491.651190,79664,11046,1,HR,1,100,69.56
1766840381.797831,81144,11277,1,HR,1,100,63.11
1766839982.636384,81424,11329,1,HR,1,100,96.71
1766839070.267364,82064,11430,1,HR,1,100,96.05
1766836494.250459,83871,11726,1,HR,1,100,82.11
1766835117.143469,84837,11894,1,HR,1,100,77.75
1766832437.059472,86717,12194,1,HR,1,100,67.57
1766821564.186789,94344,13424,1,HR,1,100,54.31
1766820995.381728,94743,13493,1,HR,1,100,75.57
1766819854.920453,95543,13625,1,HR,1,100,75.44
1766819341.712879,95903,13693,1,HR,1,100,95.72
1766813563.850944,99956,14336,1,HR,1,100,77.75
1766812765.528051,100516,14434,1,HR,1,100,84.28
1766809097.519475,103089,14849,1,HR,1,100,70.76
1766801894.080945,108142,15671,1,HR,1,100,57.68
1766801266.827244,108582,15738,1,HR,1,100,75.17
1766799091.397361,110108,15988,1,HR,1,100,67.23
1766797266.659321,111388,16208,1,HR,1,100,62.71
1766795612.990472,112548,16393,1,HR,1,100,60.27
1766791773.912704,115241,16837,1,HR,1,100,51.85
1766790918.566747,115841,16938,1,HR,1,100,62.55
1766788409.551942,117601,17219,1,HR,1,100,56.23
1766786814.331733,118720,17403,1,HR,1,100,55.64
1766785901.962713,119360,17520,1,HR,1,100,64.11
1766785157.811731,119882,17602,1,HR,1,100,75.50
1766783886.197409,120774,17741,1,HR,1,100,73.88
1766782460.620815,121774,17909,1,HR,1,100,70.79
1766781083.513825,122740,18075,1,HR,1,100,68.95
1766780627.329315,123060,18126,1,HR,1,100,95.29
1766779771.983359,123660,18229,1,HR,1,100,96.34
1766778460.452892,124580,18378,1,HR,1,100,89.42
1766776977.853235,125620,18544,1,HR,1,100,82.37
1766776065.484214,126260,18646,1,HR,1,100,84.90
1766774696.930684,127220,18810,1,HR,1,100,79.92
1766773366.867722,128153,18962,1,HR,1,100,76.65
1766772853.660148,128513,19029,1,HR,1,100,96.66
1766772169.383383,128993,19097,1,HR,1,100,102.96
1766771428.083554,129513,19180,1,HR,1,100,105.72
1766768405.861175,131633,19528,1,HR,1,100,88.51
1766767189.844340,132486,19676,1,HR,1,100,84.72
1766765365.106299,133766,19874,1,HR,1,100,76.31
1766764566.783407,134326,19975,1,HR,1,100,83.16
1766763540.368259,135046,20091,1,HR,1,100,83.20
1766761943.722474,136166,20271,1,HR,1,100,76.61
1766761374.917413,136565,20340,1,HR,1,100,92.92
1766759986.405810,137539,20490,1,HR,1,100,86.16
1766757306.321813,139419,20809,1,HR,1,100,74.11
1766756499.445461,139985,20908,1,HR,1,100,81.45
1766753876.384528,141825,21190,1,HR,1,100,70.59
1766752222.715679,142985,21388,1,HR,1,100,66.40
1766751139.277468,143745,21507,1,HR,1,100,69.19
1766750340.954575,144305,21606,1,HR,1,100,77.62
1766749581.122250,144838,21690,1,HR,1,100,86.02
1766748906.824521,145311,21774,1,HR,1,100,94.68
1766748507.663075,145591,21825,1,HR,1,100,121.26
1766747538.270991,146271,21925,1,HR,1,100,113.92
1766746568.878907,146951,22043,1,HR,1,100,108.21
1766745352.862072,147804,22175,1,HR,1,100,100.04
1766743756.216287,148924,22357,1,HR,1,100,89.71
1766742159.570502,150044,22539,1,HR,1,100,81.68
1766740962.086163,150884,22688,1,HR,1,100,79.40
1766739536.509569,151884,22854,1,HR,1,100,75.09
1766739137.348122,152164,22890,1,HR,1,100,106.02
1766737978.354352,152977,23022,1,HR,1,100,99.13
1766737579.192905,153257,23072,1,HR,1,100,124.72
1766736609.800821,153937,23189,1,HR,1,100,116.61
1766735184.224227,154937,23357,1,HR,1,100,104.03
1766734671.016653,155297,23406,1,HR,1,100,117.95
1766734043.762952,155737,23491,1,HR,1,100,122.04
1766733359.486187,156217,23558,1,HR,1,100,122.70
1766733017.347804,156457,23611,1,HR,1,100,150.99
1766731516.215651,157510,23776,1,HR,1,100,130.26
1766730831.938886,157990,23861,1,HR,1,100,129.09
1766730090.639057,158510,23944,1,HR,1,100,126.04
1766729292.316164,159070,24043,1,HR,1,100,121.84
1766728436.970208,159670,24130,1,HR,1,100,116.99
1766727638.647315,160230,24230,1,HR,1,100,114.80
1766726213.070721,161230,24379,1,HR,1,100,102.62
1766724369.800185,162523,24596,1,HR,1,100,90.23
1766722202.923762,164043,24842,1,HR,1,100,78.95
1766721575.670061,164483,24909,1,HR,1,100,91.71
1766721233.531678,164723,24961,1,HR,1,100,126.89
1766720549.254913,165203,25043,1,HR,1,100,126.47
1766719693.908957,165803,25128,1,HR,1,100,120.59
1766719296.173087,166082,25178,1,HR,1,100,141.41
1766718782.965513,166442,25247,1,HR,1,100,147.02
1766717642.504238,167242,25384,1,HR,1,100,131.02
1766716653.154081,167936,25502,1,HR,1,100,121.51
1766716139.946507,168296,25552,1,HR,1,100,131.54
1766715171.980000,168975,25668,1,HR,1,100,121.92
1766714202.587916,169655,25768,1,HR,1,100,114.43
1766713803.426470,169935,25818,1,HR,1,100,136.62
1766713290.218896,170295,25886,1,HR,1,100,143.30
1766712834.034386,170615,25939,1,HR,1,100,153.12
1766711864.642302,171295,26056,1,HR,1,100,138.70
1766711294.411664,171695,26107,1,HR,1,100,141.21
1766710553.111835,172215,26207,1,HR,1,100,135.47
1766709793.279511,172748,26291,1,HR,1,100,131.01
1766709051.979682,173268,26373,1,HR,1,100,127.54
1766707854.495343,174108,26508,1,HR,1,100,115.07
1766706257.849558,175228,26688,1,HR,1,100,101.40
1766705630.595856,175668,26773,1,HR,1,100,109.17
1766704604.180709,176388,26890,1,HR,1,100,103.43
1766703178.604115,177388,27056,1,HR,1,100,93.78
1766701734.495025,178401,27220,1,HR,1,100,86.27
1766700936.172132,178961,27305,1,HR,1,100,90.91
1766698940.364901,180361,27536,1,HR,1,100,80.23
1766697172.649924,181601,27736,1,HR,1,100,73.15
1766696545.396223,182041,27803,1,HR,1,100,87.20
1766695633.027202,182681,27904,1,HR,1,100,88.66
1766695101.287133,183054,27971,1,HR,1,100,105.99
1766694302.964240,183614,28070,1,HR,1,100,106.25
1766693675.710539,184054,28137,1,HR,1,100,112.94
1766692706.318455,184734,28254,1,HR,1,100,107.45
1766691270.762825,185741,28418,1,HR,1,100,96.91
1766689789.588743,186780,28586,1,HR,1,100,88.19
1766688306.989086,187820,28750,1,HR,1,100,81.41
1766687622.712321,188300,28835,1,HR,1,100,91.10
1766686767.366364,188900,28935,1,HR,1,100,93.08
1766686254.158790,189260,28985,1,HR,1,100,109.43
1766684999.651387,190140,29135,1,HR,1,100,100.26
1766683726.611489,191033,29284,1,HR,1,100,93.13
1766682186.988767,192113,29450,1,HR,1,100,84.78
1766680704.389110,193153,29633,1,HR,1,100,78.76
1766678765.604942,194513,29847,1,HR,1,100,71.06
1766677672.187694,195280,29980,1,HR,1,100,72.82
1766676303.634164,196240,30129,1,HR,1,100,70.52
1766674309.252509,197639,30361,1,HR,1,100,64.37
1766673148.833161,198453,30493,1,HR,1,100,66.74
1766671894.325759,199333,30642,1,HR,1,100,67.06
1766671211.474570,199812,30709,1,HR,1,100,79.93
1766670242.082486,200492,30827,1,HR,1,100,81.78
1766669557.805721,200972,30909,1,HR,1,100,91.38
1766668759.482828,201532,30995,1,HR,1,100,94.89
1766667333.906234,202532,31161,1,HR,1,100,87.13
1766665775.751017,203625,31342,1,HR,1,100,80.12
1766664236.128295,204705,31508,1,HR,1,100,74.66
1766662810.551701,205705,31672,1,HR,1,100,71.40
1766661441.998171,206665,31840,1,HR,1,100,69.42
1766660013.570424,207667,32006,1,HR,1,100,67.33
1766658572.312487,208678,32170,1,HR,1,100,65.70
1766657032.689766,209758,32336,1,HR,1,100,63.45
1766655617.092208,210751,32500,1,HR,1,100,62.68
1766654228.580605,211725,32668,1,HR,1,100,62.64
1766652803.004011,212725,32833,1,HR,1,100,62.05
