RD,TS_received,TS_sent,AK,RoundTrip,
47513,47585,2025-12-27_10-11-59-127468,47589,72,
52623,52637,2025-12-27_10-12-04-175031,52641,14,
57736,57756,2025-12-27_10-12-09-296974,57761,20,
62842,62902,2025-12-27_10-12-14-443516,62907,60,
67952,67986,2025-12-27_10-12-19-517655,67988,34,
73059,
78165,
