LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1766787841.712034,116112.000,16881,1,BV,1,100,3.64
1766787846.712034,121112.000,17709,1,BV,1,100,3.64
1766787851.711034,126111.000,18518,1,BV,1,100,3.64
1766787856.711034,131111.000,19334,1,BV,1,100,3.63
1766787861.710034,136110.000,20142,1,BV,1,100,3.64
1766787866.710034,141110.000,20977,1,BV,1,100,3.64
1766787871.709034,146109.000,21799,1,BV,1,100,3.64
1766787876.709034,151109.000,22616,1,BV,1,100,3.63
1766787881.708034,156108.000,23435,1,BV,1,100,3.64
1766787886.708034,161108.000,24268,1,BV,1,100,3.64
1766787891.707034,166107.000,25087,1,BV,1,100,3.64
1766787896.707034,171107.000,25911,1,BV,1,100,3.64
1766787901.706034,176106.000,26723,1,BV,1,100,3.64
1766787906.706034,181106.000,27558,1,BV,1,100,3.64
1766787911.705034,186105.000,28374,1,BV,1,100,3.63
1766787916.705034,191105.000,29184,1,BV,1,100,3.63
1766787921.704034,196104.000,30020,1,BV,1,100,3.64
1766787926.704034,201104.000,30837,1,BV,1,100,3.61
1766787931.704034,206104.000,31660,1,BV,1,100,3.52
1766787936.703034,211103.000,32475,1,BV,1,100,3.51
1766787941.702034,216102.000,33314,1,BV,1,100,3.50
1766787946.715034,221115.000,34120,1,BV,1,100,3.50
1766787951.715034,226115.000,34933,1,BV,1,100,3.50
1766787956.721034,231121.000,35749,1,BV,1,100,3.49
1766787961.720034,236120.000,36563,1,BV,1,100,3.49
1766787966.727034,241127.000,37379,1,BV,1,100,3.49
1766787971.726034,246126.000,38200,1,BV,1,100,3.49
1766787976.739034,251139.000,39007,1,BV,1,100,3.49
1766787981.738034,256138.000,39816,1,BV,1,100,3.48
1766787986.745034,261145.000,40628,1,BV,1,100,3.48
1766787991.751034,266151.000,41459,1,BV,1,100,3.48
1766787996.750034,271150.000,42262,1,BV,1,100,3.48
1766788001.750034,276150.000,43089,1,BV,1,100,3.47
1766788006.769034,281169.000,43902,1,BV,1,100,3.48
1766788011.769034,286169.000,44718,1,BV,1,100,3.47
1766788016.768034,291168.000,45529,1,BV,1,100,3.47
1766788021.768034,296168.000,46358,1,BV,1,100,3.48
1766788026.774034,301174.000,47155,1,BV,1,100,3.47
1766788031.773034,306173.000,47978,1,BV,1,100,3.47
