RD,TS_received,TS_sent,AK,RoundTrip,
28324,28337,2025-12-27_11-29-27-834414,28338,13,
33434,33454,2025-12-27_11-29-32-951761,33455,20,
38546,38558,2025-12-27_11-29-38-055355,38559,12,
43667,43704,2025-12-27_11-29-43-198879,43706,37,
48779,
53892,
