LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1766787842.788034,117188,17032,1,HR,1,100,51.15
1766787843.068034,117468,17085,1,HR,1,100,87.41
1766787844.028034,118428,17240,1,HR,1,100,81.87
1766787844.468034,118868,17326,1,HR,1,100,93.98
1766787844.828034,119228,17378,1,HR,1,100,110.13
1766787845.868034,120268,17542,1,HR,1,100,98.48
1766787846.868034,121268,17712,1,HR,1,100,89.93
1766787847.187034,121587,17763,1,HR,1,100,111.61
1766787848.281034,122681,17946,1,HR,1,100,99.15
1766787849.161034,123561,18084,1,HR,1,100,92.27
1766787850.001034,124401,18216,1,HR,1,100,87.64
1766787851.561034,125961,18485,1,HR,1,100,76.71
1766787853.454034,127854,18783,1,HR,1,100,66.76
1766787854.654034,129054,18984,1,HR,1,100,63.03
1766787855.373034,129773,19099,1,HR,1,100,67.54
1766787856.053034,130453,19215,1,HR,1,100,72.14
1766787856.573034,130973,19299,1,HR,1,100,81.75
1766787859.986034,134386,19842,1,HR,1,100,67.51
1766787860.786034,135186,19978,1,HR,1,100,69.17
1766787862.306034,136706,20228,1,HR,1,100,62.57
1766787862.839034,137239,20329,1,HR,1,100,74.31
1766787863.279034,137679,20396,1,HR,1,100,88.10
1766787864.559034,138959,20594,1,HR,1,100,78.94
1766787866.399034,140799,20911,1,HR,1,100,68.64
1766787866.959034,141359,20997,1,HR,1,100,77.20
1766787867.692034,142092,21113,1,HR,1,100,78.56
1766787868.972034,143372,21329,1,HR,1,100,71.52
1766787869.772034,144172,21461,1,HR,1,100,72.29
1766787870.252034,144652,21548,1,HR,1,100,84.01
1766787870.932034,145332,21647,1,HR,1,100,84.95
1766787871.532034,145932,21748,1,HR,1,100,88.29
1766787872.212034,146612,21867,1,HR,1,100,88.28
1766787872.585034,146985,21934,1,HR,1,100,105.70
1766787872.905034,147305,21987,1,HR,1,100,123.88
1766787874.265034,148665,22202,1,HR,1,100,106.15
1766787875.145034,149545,22351,1,HR,1,100,97.71
1766787876.945034,151345,22634,1,HR,1,100,83.41
1766787877.265034,151665,22701,1,HR,1,100,106.54
1766787878.278034,152678,22867,1,HR,1,100,96.20
1766787879.358034,153758,23035,1,HR,1,100,87.17
1766787879.678034,154078,23086,1,HR,1,100,109.46
1766787880.118034,154518,23170,1,HR,1,100,115.44
1766787881.437034,155837,23387,1,HR,1,100,99.89
1766787882.691034,157091,23586,1,HR,1,100,88.44
1766787883.531034,157931,23721,1,HR,1,100,84.66
1766787885.330034,159730,24018,1,HR,1,100,73.25
1766787886.090034,160490,24152,1,HR,1,100,74.52
1766787886.690034,161090,24233,1,HR,1,100,80.18
1766787887.663034,162063,24401,1,HR,1,100,76.25
1766787889.743034,164143,24750,1,HR,1,100,65.72
1766787890.063034,164463,24802,1,HR,1,100,92.78
1766787890.743034,165143,24905,1,HR,1,100,91.77
1766787891.543034,165943,25038,1,HR,1,100,88.04
1766787892.196034,166596,25156,1,HR,1,100,89.31
1766787893.076034,167476,25290,1,HR,1,100,84.62
1766787893.796034,168196,25425,1,HR,1,100,84.33
1766787894.396034,168796,25508,1,HR,1,100,87.81
1766787894.996034,169396,25611,1,HR,1,100,90.52
1766787895.756034,170156,25745,1,HR,1,100,87.95
1766787896.476034,170876,25862,1,HR,1,100,86.92
1766787896.969034,171369,25947,1,HR,1,100,95.39
1766787897.849034,172249,26080,1,HR,1,100,89.34
1766787898.729034,173129,26229,1,HR,1,100,84.64
1766787899.529034,173929,26362,1,HR,1,100,82.50
1766787901.409034,175809,26673,1,HR,1,100,71.26
1766787902.302034,176702,26809,1,HR,1,100,70.57
1766787902.662034,177062,26876,1,HR,1,100,91.93
1766787904.182034,178582,27125,1,HR,1,100,80.27
1766787905.022034,179422,27259,1,HR,1,100,78.31
1766787906.022034,180422,27425,1,HR,1,100,74.24
1766787906.675034,181075,27524,1,HR,1,100,78.57
1766787907.675034,182075,27694,1,HR,1,100,74.45
1766787908.675034,183075,27862,1,HR,1,100,71.24
1766787910.475034,184875,28157,1,HR,1,100,62.81
1766787911.168034,185568,28274,1,HR,1,100,68.46
1766787911.768034,186168,28377,1,HR,1,100,75.47
1766787913.648034,188048,28673,1,HR,1,100,65.79
1766787914.448034,188848,28805,1,HR,1,100,67.84
1766787914.687034,189087,28840,1,HR,1,100,108.32
1766787916.621034,191021,29153,1,HR,1,100,91.19
1766787916.941034,191341,29222,1,HR,1,100,112.60
1766787917.661034,192061,29337,1,HR,1,100,106.09
1766787918.980034,193380,29556,1,HR,1,100,92.62
1766787919.740034,194140,29672,1,HR,1,100,89.58
1766787920.260034,194660,29756,1,HR,1,100,95.31
1766787921.353034,195753,29938,1,HR,1,100,86.48
1766787923.313034,197713,30254,1,HR,1,100,74.06
1766787923.953034,198353,30370,1,HR,1,100,78.44
1766787928.286034,202686,31069,1,HR,1,100,64.09
1766787929.006034,203406,31202,1,HR,1,100,68.37
1766787929.566034,203966,31288,1,HR,1,100,76.99
1766787930.219034,204619,31389,1,HR,1,100,80.71
1766787930.699034,205099,31472,1,HR,1,100,90.55
1766787931.619034,206019,31625,1,HR,1,100,84.92
1766787932.019034,206419,31697,1,HR,1,100,99.39
1766787932.579034,206979,31796,1,HR,1,100,101.11
1766787933.219034,207619,31899,1,HR,1,100,99.47
1766787933.819034,208219,31998,1,HR,1,100,99.59
1766787934.872034,209272,32164,1,HR,1,100,90.28
1766787936.912034,211312,32496,1,HR,1,100,76.75
1766787937.712034,212112,32630,1,HR,1,100,76.36
1766787938.112034,212512,32697,1,HR,1,100,92.73
1766787939.485034,213885,32929,1,HR,1,100,81.92
1766787940.165034,214565,33029,1,HR,1,100,83.33
1766787941.205034,215605,33214,1,HR,1,100,77.63
1766787941.965034,216365,33334,1,HR,1,100,77.92
1766787943.125034,217525,33532,1,HR,1,100,72.10
1766787943.605034,218005,33599,1,HR,1,100,83.86
1766787944.258034,218658,33718,1,HR,1,100,86.06
1766787945.138034,219538,33850,1,HR,1,100,82.08
1766787945.698034,220098,33938,1,HR,1,100,87.65
1766787946.378034,220778,34037,1,HR,1,100,87.78
