LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1766788062.812034,337212.000,53020,2,DC,2,100,GX
1766788062.812034,337212.000,53020,2,DC,2,100,1
1766788063.019534,337419.500,53088,2,DC,2,100,GX
1766788063.227034,337627.000,53088,2,DC,2,100,1
