LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1766717140.830847,1724887.000,17763,2,DC,2,100,GX
1766717140.830847,1724887.000,17763,2,DC,2,100,1
