LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DO
1766869411.674012,5668696.000,11275,2,DO,2,100,TH
1766869411.674012,5668696.000,11275,2,DO,2,100,1
1766869411.716538,5668738.500,11291,2,DO,2,100,TH
1766869411.759064,5668781.000,11291,2,DO,2,100,1
