LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1766787841.288034,115688.000,16790,1,TH,1,100,25.629
1766787841.422034,115822.000,16822,1,TH,1,100,25.647
1766787841.555034,115955.000,16838,1,TH,1,100,25.647
1766787841.688034,116088.000,16855,1,TH,1,100,25.725
1766787841.821034,116221.000,16889,1,TH,1,100,25.718
1766787841.955034,116355.000,16905,1,TH,1,100,25.860
1766787842.088034,116488.000,16923,1,TH,1,100,25.873
1766787842.221034,116621.000,16941,1,TH,1,100,25.764
1766787842.355034,116755.000,16973,1,TH,1,100,25.791
1766787842.488034,116888.000,16990,1,TH,1,100,25.734
1766787842.621034,117021.000,17006,1,TH,1,100,25.755
1766787842.755034,117155.000,17040,1,TH,1,100,25.675
1766787842.888034,117288.000,17057,1,TH,1,100,25.689
1766787843.021034,117421.000,17073,1,TH,1,100,25.542
1766787843.154034,117554.000,17107,1,TH,1,100,25.563
1766787843.288034,117688.000,17124,1,TH,1,100,25.668
1766787843.421034,117821.000,17143,1,TH,1,100,25.675
1766787843.554034,117954.000,17179,1,TH,1,100,25.612
1766787843.688034,118088.000,17196,1,TH,1,100,25.626
1766787843.821034,118221.000,17213,1,TH,1,100,25.532
1766787843.954034,118354.000,17246,1,TH,1,100,25.553
1766787844.088034,118488.000,17266,1,TH,1,100,25.569
1766787844.221034,118621.000,17282,1,TH,1,100,25.583
1766787844.354034,118754.000,17299,1,TH,1,100,25.510
1766787844.488034,118888.000,17333,1,TH,1,100,25.531
1766787844.621034,119021.000,17349,1,TH,1,100,25.397
1766787844.754034,119154.000,17367,1,TH,1,100,25.411
1766787844.888034,119288.000,17400,1,TH,1,100,25.468
1766787845.021034,119421.000,17416,1,TH,1,100,25.475
1766787845.154034,119554.000,17434,1,TH,1,100,25.628
1766787845.288034,119688.000,17465,1,TH,1,100,25.634
1766787845.421034,119821.000,17482,1,TH,1,100,25.501
1766787845.554034,119954.000,17499,1,TH,1,100,25.515
1766787845.688034,120088.000,17531,1,TH,1,100,25.364
1766787845.821034,120221.000,17549,1,TH,1,100,25.385
1766787845.954034,120354.000,17568,1,TH,1,100,25.513
1766787846.088034,120488.000,17600,1,TH,1,100,25.512
1766787846.221034,120621.000,17616,1,TH,1,100,25.665
1766787846.354034,120754.000,17633,1,TH,1,100,25.672
1766787846.488034,120888.000,17650,1,TH,1,100,25.677
1766787846.621034,121021.000,17681,1,TH,1,100,25.684
1766787846.754034,121154.000,17699,1,TH,1,100,25.646
1766787846.887034,121287.000,17719,1,TH,1,100,25.653
1766787847.021034,121421.000,17751,1,TH,1,100,25.524
1766787847.154034,121554.000,17770,1,TH,1,100,25.545
1766787847.287034,121687.000,17786,1,TH,1,100,25.576
