LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1766715433.043847,17100.000,719,1,EL,1,100,26405.000000
1766715433.109847,17166.000,725,1,EL,1,100,26405.000000
1766715433.176847,17233.000,740,2,EL,1,100,26405.000000
1766715433.243847,17300.000,740,2,EL,1,100,26405.000000
1766715433.309847,17366.000,758,1,EL,1,100,26405.000000
1766715433.376847,17433.000,776,2,EL,1,100,26405.000000
1766715433.443847,17500.000,776,2,EL,1,100,26405.000000
1766715433.509847,17566.000,792,1,EL,1,100,26405.000000
1766715433.576847,17633.000,807,2,EL,1,100,26405.000000
1766715433.643847,17700.000,807,2,EL,1,100,26404.800781
1766715433.709847,17766.000,824,1,EL,1,100,26405.000000
1766715433.776847,17833.000,841,2,EL,1,100,26152.400391
1766715433.843847,17900.000,841,2,EL,1,100,26344.400391
1766715433.909847,17966.000,857,1,EL,1,100,26404.599609
1766715433.976847,18033.000,874,2,EL,1,100,26405.000000
1766715434.043847,18100.000,874,2,EL,1,100,26405.000000
1766715434.110347,18166.500,889,2,EL,1,100,26405.000000
1766715434.176847,18233.000,889,2,EL,1,100,26404.199219
1766715434.243847,18300.000,906,1,EL,1,100,26394.800781
1766715434.310347,18366.500,923,2,EL,1,100,26402.000000
1766715434.376847,18433.000,923,2,EL,1,100,26404.599609
1766715434.443847,18500.000,940,1,EL,1,100,26404.400391
1766715434.510347,18566.500,956,2,EL,1,100,26404.599609
1766715434.576847,18633.000,956,2,EL,1,100,26405.000000
1766715434.643847,18700.000,973,1,EL,1,100,26402.599609
1766715434.710347,18766.500,990,2,EL,1,100,26326.199219
1766715434.776847,18833.000,990,2,EL,1,100,26313.400391
1766715434.843847,18900.000,1011,1,EL,1,100,26404.000000
1766715434.910347,18966.500,1025,2,EL,1,100,26404.599609
1766715434.976847,19033.000,1025,2,EL,1,100,26405.000000
1766715435.043847,19100.000,1043,1,EL,1,100,26404.599609
1766715435.110347,19166.500,1059,2,EL,1,100,26404.400391
1766715435.176847,19233.000,1059,2,EL,1,100,26404.800781
1766715435.243847,19300.000,1078,1,EL,1,100,26404.800781
1766715435.310347,19366.500,1093,2,EL,1,100,26405.000000
1766715435.376847,19433.000,1093,2,EL,1,100,26404.400391
1766715435.443847,19500.000,1110,1,EL,1,100,26404.800781
1766715435.510347,19566.500,1126,2,EL,1,100,26405.000000
1766715435.576847,19633.000,1126,2,EL,1,100,26405.000000
1766715435.643847,19700.000,1146,1,EL,1,100,26405.000000
1766715435.710347,19766.500,1161,2,EL,1,100,26404.400391
