LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1770322106.140138,2479968.500,6526,2,DC,2,100,GX
1771429027.859256,3235050.000,6526,2,DC,2,100,1
