LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1766715433.058847,17115.000,716,1,PR,1,100,111968
1766715433.098847,17155.000,722,2,PR,1,100,111960
1766715433.138847,17195.000,722,2,PR,1,100,111941
1766715433.178847,17235.000,737,3,PR,1,100,111911
1766715433.218847,17275.000,737,3,PR,1,100,111902
1766715433.258847,17315.000,737,3,PR,1,100,111958
1766715433.298347,17354.500,755,2,PR,1,100,112003
1766715433.337847,17394.000,755,2,PR,1,100,112020
1766715433.377847,17434.000,773,3,PR,1,100,112032
1766715433.417847,17474.000,773,3,PR,1,100,112023
1766715433.457847,17514.000,773,3,PR,1,100,111961
1766715433.498347,17554.500,789,2,PR,1,100,111896
1766715433.538847,17595.000,789,2,PR,1,100,111933
1766715433.578514,17634.667,804,3,PR,1,100,112000
1766715433.618181,17674.333,804,3,PR,1,100,112028
1766715433.657847,17714.000,804,3,PR,1,100,112020
1766715433.697847,17754.000,821,2,PR,1,100,112030
1766715433.737847,17794.000,821,2,PR,1,100,112029
1766715433.777847,17834.000,838,3,PR,1,100,111988
1766715433.817847,17874.000,838,3,PR,1,100,111983
1766715433.857847,17914.000,838,3,PR,1,100,111913
1766715433.897847,17954.000,854,2,PR,1,100,111814
1766715433.937847,17994.000,854,2,PR,1,100,111738
1766715433.977847,18034.000,871,3,PR,1,100,111709
1766715434.017847,18074.000,871,3,PR,1,100,111616
1766715434.057847,18114.000,871,3,PR,1,100,111430
1766715434.097847,18154.000,886,3,PR,1,100,111263
1766715434.137847,18194.000,886,3,PR,1,100,111197
1766715434.177847,18234.000,886,3,PR,1,100,111220
1766715434.218347,18274.500,903,2,PR,1,100,111293
1766715434.258847,18315.000,903,2,PR,1,100,111356
1766715434.298514,18354.667,920,3,PR,1,100,111445
1766715434.338181,18394.333,920,3,PR,1,100,111505
1766715434.377847,18434.000,920,3,PR,1,100,111393
1766715434.417847,18474.000,937,2,PR,1,100,111162
1766715434.457847,18514.000,937,2,PR,1,100,111290
1766715434.497847,18554.000,953,3,PR,1,100,111328
1766715434.537847,18594.000,953,3,PR,1,100,109873
1766715434.577847,18634.000,953,3,PR,1,100,107435
1766715434.617847,18674.000,970,2,PR,1,100,106727
1766715434.657847,18714.000,970,2,PR,1,100,107543
1766715434.697847,18754.000,987,3,PR,1,100,109463
1766715434.737847,18794.000,987,3,PR,1,100,110442
1766715434.777847,18834.000,987,3,PR,1,100,111084
1766715434.817847,18874.000,1008,2,PR,1,100,111494
1766715434.857847,18914.000,1008,2,PR,1,100,111618
1766715434.897847,18954.000,1022,3,PR,1,100,111604
1766715434.937847,18994.000,1022,3,PR,1,100,111672
1766715434.977847,19034.000,1022,3,PR,1,100,111685
1766715435.017847,19074.000,1040,2,PR,1,100,111650
1766715435.057847,19114.000,1040,2,PR,1,100,111620
1766715435.097847,19154.000,1056,3,PR,1,100,111692
1766715435.137847,19194.000,1056,3,PR,1,100,111693
1766715435.177847,19234.000,1056,3,PR,1,100,111775
1766715435.217847,19274.000,1075,2,PR,1,100,111837
1766715435.257847,19314.000,1075,2,PR,1,100,111913
1766715435.297847,19354.000,1090,3,PR,1,100,112042
1766715435.337847,19394.000,1090,3,PR,1,100,112143
1766715435.377847,19434.000,1090,3,PR,1,100,112206
1766715435.417847,19474.000,1107,2,PR,1,100,112272
1766715435.457847,19514.000,1107,2,PR,1,100,112310
1766715435.497847,19554.000,1123,3,PR,1,100,112353
1766715435.537847,19594.000,1123,3,PR,1,100,112425
1766715435.577847,19634.000,1123,3,PR,1,100,112429
1766715435.617847,19674.000,1143,3,PR,1,100,112291
1766715435.657847,19714.000,1143,3,PR,1,100,112100
1766715435.697847,19754.000,1143,3,PR,1,100,112282
1766715435.737847,19794.000,1158,2,PR,1,100,112163
1766715435.777847,19834.000,1158,2,PR,1,100,111979
1766715435.817847,19874.000,1175,3,PR,1,100,111852
1766715435.857847,19914.000,1175,3,PR,1,100,111858
1766715435.897847,19954.000,1175,3,PR,1,100,111905
1766715435.937847,19994.000,1191,2,PR,1,100,111898
1766715435.977847,20034.000,1191,2,PR,1,100,111921
