LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1766863765.140252,25638,2349,1,SR,1,100,0.600000
1766863766.272949,26770,2483,1,SR,1,100,0.266667
1766863783.948829,44435,5353,1,SR,1,100,0.200000
1766863791.619551,52101,6601,1,SR,1,100,0.266667
1766863794.887563,55367,7118,1,SR,1,100,0.266667
1766863796.488548,56967,7486,1,SR,1,100,0.800000
1766863798.629866,59107,7765,1,SR,1,100,0.466667
1766863799.363318,59840,7834,1,SR,1,100,0.066667
1766863801.431591,61907,8221,1,SR,1,100,0.333333
1766863803.498863,63973,8569,1,SR,1,100,0.466667
1766863804.632561,65106,8719,1,SR,1,100,0.200000
1766863805.232931,65706,8836,1,SR,1,100,0.333333
1766863805.701219,66174,8988,1,SR,1,100,0.733333
1766863806.833916,67306,9139,1,SR,1,100,0.533333
1766863807.501327,67973,9192,1,SR,1,100,0.200000
1766863809.568600,70039,9520,1,SR,1,100,0.200000
1766863811.770955,72240,9883,1,SR,1,100,0.200000
1766863812.104161,72573,9919,1,SR,1,100,0.066667
1766863817.446449,77912,10840,1,SR,1,100,0.400000
1766863818.113860,78579,10892,1,SR,1,100,0.066667
1766863820.055055,80519,11273,1,SR,1,100,0.466667
1766863820.787506,81251,11390,1,SR,1,100,0.400000
1766863823.590231,84052,11803,1,SR,1,100,0.200000
1766863824.056518,84518,11905,1,SR,1,100,0.266667
1766863824.723929,85185,11989,1,SR,1,100,0.133333
1766863825.124175,85585,12060,1,SR,1,100,0.200000
1766863825.857627,86318,12161,1,SR,1,100,0.066667
1766863826.190832,86651,12266,1,SR,1,100,0.266667
1766863826.858243,87318,12352,1,SR,1,100,0.133333
1766863827.391571,87851,12420,1,SR,1,100,0.066667
1766863827.724776,88184,12489,1,SR,1,100,0.066667
1766863827.924899,88384,12525,1,SR,1,100,0.133333
1766863828.592310,89051,12675,1,SR,1,100,0.400000
1766863833.927594,94383,13569,1,SR,1,100,0.533333
1766863835.135338,95590,13739,1,SR,1,100,0.333333
1766863835.602625,96057,13842,1,SR,1,100,0.466667
1766863836.202995,96657,13875,1,SR,1,100,0.133333
1766863836.869405,97323,13993,1,SR,1,100,0.133333
1766863837.802980,98256,14159,1,SR,1,100,0.200000
1766863838.937678,99390,14373,1,SR,1,100,0.400000
1766863840.211462,100663,14558,1,SR,1,100,0.200000
1766863841.345160,101796,14842,1,SR,1,100,0.800000
1766863843.079227,103529,15029,1,SR,1,100,0.200000
1766863846.482322,106930,15615,1,SR,1,100,0.333333
1766863847.088696,107536,15668,1,SR,1,100,0.066667
1766863849.223009,109669,16016,1,SR,1,100,0.066667
1766863849.563219,110009,16099,1,SR,1,100,0.266667
1766863850.696917,111142,16304,1,SR,1,100,0.333333
1766863854.632339,115075,16954,1,SR,1,100,0.333333
1766863859.434295,119874,17720,1,SR,1,100,0.266667
1766863861.642654,122081,18072,1,SR,1,100,0.200000
1766863864.717547,125154,18570,1,SR,1,100,0.133333
1766863866.384573,126820,18839,1,SR,1,100,0.066667
1766863867.919518,128354,19156,1,SR,1,100,0.533333
1766863870.861329,131294,19574,1,SR,1,100,0.066667
1766863871.127493,131560,19754,1,SR,1,100,0.933333
1766863879.818843,140246,21025,1,SR,1,100,0.133333
1766863881.552910,141979,21341,1,SR,1,100,0.266667
1766863882.487485,142913,21475,1,SR,1,100,0.200000
1766863885.494336,145918,22024,1,SR,1,100,0.533333
1766863890.831622,151252,23003,1,SR,1,100,1.200000
1766863895.313380,155731,23714,1,SR,1,100,1.133333
1766863897.113489,157530,23849,1,SR,1,100,0.133333
1766863897.854945,158271,23997,1,SR,1,100,0.266667
1766863898.921602,159337,24231,1,SR,1,100,0.666667
1766863904.323927,164736,25063,1,SR,1,100,0.266667
1766863906.325159,166736,25377,1,SR,1,100,0.200000
1766863906.659365,167070,25444,1,SR,1,100,0.266667
1766863907.325775,167736,25576,1,SR,1,100,0.400000
1766863912.128731,172536,26302,1,SR,1,100,0.066667
1766863912.729101,173136,26453,1,SR,1,100,0.466667
1766863913.862799,174269,26619,1,SR,1,100,0.333333
1766863918.871882,179275,27458,1,SR,1,100,0.466667
1766863919.872498,180275,27595,1,SR,1,100,0.266667
1766863922.940387,183341,28208,1,SR,1,100,1.000000
1766863924.608413,185008,28356,1,SR,1,100,0.200000
1766863926.542604,186941,28688,1,SR,1,100,0.333333
1766863928.683922,189081,29018,1,SR,1,100,0.266667
1766863931.418605,191814,29566,1,SR,1,100,0.866667
1766863932.819468,193214,29732,1,SR,1,100,0.466667
1766863933.419837,193814,29783,1,SR,1,100,0.200000
1766863934.153289,194547,29915,1,SR,1,100,0.200000
1766863935.294991,195688,30096,1,SR,1,100,0.200000
1766863935.768283,196161,30167,1,SR,1,100,0.133333
1766863936.034447,196427,30218,1,SR,1,100,0.266667
1766863937.434308,197826,30466,1,SR,1,100,0.333333
1766863939.309463,199700,30729,1,SR,1,100,0.133333
1766863943.712173,204100,31672,1,SR,1,100,1.466667
1766863947.847718,208233,32139,1,SR,1,100,0.200000
1766863948.447087,208832,32223,1,SR,1,100,0.066667
