device_id,recorded_at,value
MD-V6-0000547,2025-12-26 02:00:35.266776+00,25.726
MD-V6-0000547,2025-12-26 02:00:35.400879+00,25.669
MD-V6-0000547,2025-12-26 02:00:35.533982+00,25.715
MD-V6-0000547,2025-12-26 02:00:35.667085+00,25.735
MD-V6-0000547,2025-12-26 02:00:35.801188+00,25.779
MD-V6-0000547,2025-12-26 02:00:35.934291+00,25.869
MD-V6-0000547,2025-12-26 02:00:36.067394+00,25.731
MD-V6-0000547,2025-12-26 02:00:36.201498+00,25.812
MD-V6-0000547,2025-12-26 02:00:36.3346+00,25.742
MD-V6-0000547,2025-12-26 02:00:36.467703+00,25.711
MD-V6-0000547,2025-12-26 02:00:36.601807+00,25.733
MD-V6-0000547,2025-12-26 02:00:36.73491+00,25.672
MD-V6-0000547,2025-12-26 02:00:36.868012+00,25.645
MD-V6-0000547,2025-12-26 02:00:37.002116+00,25.705
MD-V6-0000547,2025-12-26 02:00:37.135219+00,25.766
MD-V6-0000547,2025-12-26 02:00:37.268322+00,25.721
MD-V6-0000547,2025-12-26 02:00:37.401424+00,25.702
MD-V6-0000547,2025-12-26 02:00:37.535528+00,25.658
MD-V6-0000547,2025-12-26 02:00:37.668631+00,25.675
MD-V6-0000547,2025-12-26 02:00:37.801733+00,25.611
MD-V6-0000547,2025-12-26 02:00:37.935837+00,25.725
MD-V6-0000547,2025-12-26 02:00:38.06894+00,25.739
MD-V6-0000547,2025-12-26 02:00:38.202043+00,25.816
MD-V6-0000547,2025-12-26 02:00:38.336146+00,25.708
MD-V6-0000547,2025-12-26 02:00:38.469249+00,25.696
MD-V6-0000547,2025-12-26 02:00:38.602352+00,25.833
MD-V6-0000547,2025-12-26 02:00:38.736455+00,25.751
MD-V6-0000547,2025-12-26 02:00:38.869558+00,25.821
MD-V6-0000547,2025-12-26 02:00:39.002661+00,25.887
MD-V6-0000547,2025-12-26 02:00:39.136765+00,25.809
MD-V6-0000547,2025-12-26 02:00:39.269867+00,25.811
MD-V6-0000547,2025-12-26 02:00:39.40297+00,25.847
MD-V6-0000547,2025-12-26 02:00:39.537074+00,25.792
MD-V6-0000547,2025-12-26 02:00:39.670177+00,25.804
MD-V6-0000547,2025-12-26 02:00:39.803279+00,25.809
MD-V6-0000547,2025-12-26 02:00:39.937383+00,25.704
MD-V6-0000547,2025-12-26 02:00:40.070486+00,25.73
MD-V6-0000547,2025-12-26 02:00:40.203588+00,25.919
MD-V6-0000547,2025-12-26 02:00:40.336691+00,25.823
MD-V6-0000547,2025-12-26 02:00:40.470795+00,25.782
MD-V6-0000547,2025-12-26 02:00:40.603898+00,25.693
MD-V6-0000547,2025-12-26 02:00:40.738001+00,25.761
MD-V6-0000547,2025-12-26 02:00:40.871104+00,25.755
MD-V6-0000547,2025-12-26 02:00:41.004207+00,25.752
MD-V6-0000547,2025-12-26 02:00:41.13731+00,25.786
MD-V6-0000547,2025-12-26 02:00:41.271413+00,25.837
MD-V6-0000547,2025-12-26 02:00:41.404516+00,25.787
MD-V6-0000547,2025-12-26 02:00:41.537619+00,25.766
MD-V6-0000547,2025-12-26 02:00:41.671722+00,25.792
MD-V6-0000547,2025-12-26 02:00:41.804825+00,25.875
MD-V6-0000547,2025-12-26 02:00:41.937928+00,25.875
MD-V6-0000547,2025-12-26 02:00:42.072032+00,25.804
MD-V6-0000547,2025-12-26 02:00:42.205134+00,25.738
MD-V6-0000547,2025-12-26 02:00:42.338237+00,25.887
MD-V6-0000547,2025-12-26 02:00:42.472341+00,25.845
MD-V6-0000547,2025-12-26 02:00:42.605444+00,25.897
MD-V6-0000547,2025-12-26 02:00:42.738546+00,25.92
MD-V6-0000547,2025-12-26 02:00:42.87265+00,25.859
MD-V6-0000547,2025-12-26 02:00:43.005753+00,25.833
MD-V6-0000547,2025-12-26 02:00:43.138855+00,25.892
MD-V6-0000547,2025-12-26 02:00:43.272959+00,25.882
MD-V6-0000547,2025-12-26 02:00:43.406062+00,25.914
MD-V6-0000547,2025-12-26 02:00:43.539165+00,26.034
MD-V6-0000547,2025-12-26 02:00:43.672267+00,25.873
MD-V6-0000547,2025-12-26 02:00:43.806371+00,25.839
MD-V6-0000547,2025-12-26 02:00:43.939474+00,25.895
MD-V6-0000547,2025-12-26 02:00:44.072577+00,25.884
MD-V6-0000547,2025-12-26 02:00:44.20668+00,25.808
MD-V6-0000547,2025-12-26 02:00:44.339783+00,25.917
MD-V6-0000547,2025-12-26 02:00:44.472886+00,25.858
MD-V6-0000547,2025-12-26 02:00:44.606989+00,25.867
MD-V6-0000547,2025-12-26 02:00:44.740092+00,25.978
MD-V6-0000547,2025-12-26 02:00:44.873195+00,25.849
MD-V6-0000547,2025-12-26 02:00:45.007299+00,25.828
MD-V6-0000547,2025-12-26 02:00:45.140401+00,25.89
MD-V6-0000547,2025-12-26 02:00:45.273504+00,25.988
MD-V6-0000547,2025-12-26 02:00:45.407608+00,25.888
MD-V6-0000547,2025-12-26 02:00:45.540711+00,25.916
MD-V6-0000547,2025-12-26 02:00:45.673813+00,25.964
MD-V6-0000547,2025-12-26 02:00:45.807917+00,25.842
MD-V6-0000547,2025-12-26 02:00:45.94102+00,25.896
MD-V6-0000547,2025-12-26 02:00:46.074123+00,26.097
MD-V6-0000547,2025-12-26 02:00:46.208226+00,26.007
MD-V6-0000547,2025-12-26 02:00:46.341329+00,25.932
MD-V6-0000547,2025-12-26 02:00:46.474432+00,25.935
MD-V6-0000547,2025-12-26 02:00:46.608535+00,25.972
MD-V6-0000547,2025-12-26 02:00:46.741638+00,25.988
MD-V6-0000547,2025-12-26 02:00:46.874741+00,26.066
MD-V6-0000547,2025-12-26 02:00:47.008844+00,26.028
MD-V6-0000547,2025-12-26 02:00:47.141947+00,26.012
MD-V6-0000547,2025-12-26 02:00:47.27505+00,25.97
MD-V6-0000547,2025-12-26 02:00:47.408153+00,25.881
MD-V6-0000547,2025-12-26 02:00:47.542256+00,25.877
MD-V6-0000547,2025-12-26 02:00:47.675359+00,25.947
MD-V6-0000547,2025-12-26 02:00:47.808462+00,25.871
MD-V6-0000547,2025-12-26 02:00:47.942566+00,25.873
MD-V6-0000547,2025-12-26 02:00:48.075668+00,26.051
MD-V6-0000547,2025-12-26 02:00:48.208771+00,25.951
MD-V6-0000547,2025-12-26 02:00:48.342875+00,26.014
MD-V6-0000547,2025-12-26 02:00:48.475978+00,26.042
MD-V6-0000547,2025-12-26 02:00:48.60908+00,25.983
MD-V6-0000547,2025-12-26 02:00:48.743184+00,25.886
MD-V6-0000547,2025-12-26 02:00:48.876287+00,25.986
MD-V6-0000547,2025-12-26 02:00:49.00939+00,26.029
MD-V6-0000547,2025-12-26 02:00:49.143493+00,25.977
MD-V6-0000547,2025-12-26 02:00:49.276596+00,26.026
