device_id,recorded_at,value
MD-V6-0000547,2025-12-26 02:02:55.382991+00,96.64
MD-V6-0000547,2025-12-26 02:02:56.797083+00,84.68
MD-V6-0000547,2025-12-26 02:02:57.99801+00,76.98
MD-V6-0000547,2025-12-26 02:03:00.119649+00,66.16
MD-V6-0000547,2025-12-26 02:03:02.37439+00,57.41
MD-V6-0000547,2025-12-26 02:03:02.7747+00,77.99
MD-V6-0000547,2025-12-26 02:03:04.816276+00,67.19
MD-V6-0000547,2025-12-26 02:03:08.111822+00,56.32
MD-V6-0000547,2025-12-26 02:03:09.112595+00,57.14
MD-V6-0000547,2025-12-26 02:03:12.768418+00,48.11
MD-V6-0000547,2025-12-26 02:03:15.943871+00,41.63
MD-V6-0000547,2025-12-26 02:03:16.824551+00,47.53
MD-V6-0000547,2025-12-26 02:03:18.025478+00,48.08
MD-V6-0000547,2025-12-26 02:03:20.080065+00,43.93
MD-V6-0000547,2025-12-26 02:03:22.160672+00,40.58
MD-V6-0000547,2025-12-26 02:03:23.281538+00,43.47
MD-V6-0000547,2025-12-26 02:03:24.002094+00,52.33
MD-V6-0000547,2025-12-26 02:03:24.576538+00,64.51
MD-V6-0000547,2025-12-26 02:03:25.776464+00,61.28
MD-V6-0000547,2025-12-26 02:03:27.137516+00,57.47
MD-V6-0000547,2025-12-26 02:03:28.058227+00,59.19
MD-V6-0000547,2025-12-26 02:03:30.83337+00,50.87
MD-V6-0000547,2025-12-26 02:03:31.841148+00,52.9
MD-V6-0000547,2025-12-26 02:03:34.283034+00,46.61
MD-V6-0000547,2025-12-26 02:03:35.843239+00,44.8
MD-V6-0000547,2025-12-26 02:03:36.690894+00,50.72
MD-V6-0000547,2025-12-26 02:03:37.091203+00,72.78
MD-V6-0000547,2025-12-26 02:03:37.41145+00,98.27
MD-V6-0000547,2025-12-26 02:03:38.867575+00,85.69
MD-V6-0000547,2025-12-26 02:03:39.506068+00,87.48
MD-V6-0000547,2025-12-26 02:03:44.202695+00,70.89
MD-V6-0000547,2025-12-26 02:03:47.245045+00,59.52
MD-V6-0000547,2025-12-26 02:03:48.018643+00,63.84
MD-V6-0000547,2025-12-26 02:03:53.195641+00,52.24
MD-V6-0000547,2025-12-26 02:03:54.197415+00,53.96
MD-V6-0000547,2025-12-26 02:03:54.796878+00,64.19
MD-V6-0000547,2025-12-26 02:03:58.012361+00,54.09
MD-V6-0000547,2025-12-26 02:03:59.532535+00,50.85
MD-V6-0000547,2025-12-26 02:04:00.453246+00,54.04
MD-V6-0000547,2025-12-26 02:04:02.707988+00,47.98
MD-V6-0000547,2025-12-26 02:04:04.629472+00,44.26
MD-V6-0000547,2025-12-26 02:04:05.43009+00,51.09
MD-V6-0000547,2025-12-26 02:04:06.243718+00,56.41
MD-V6-0000547,2025-12-26 02:04:07.684831+00,53.13
MD-V6-0000547,2025-12-26 02:04:14.470072+00,43.3
MD-V6-0000547,2025-12-27 19:29:26.368007+00,122.57
MD-V6-0000547,2025-12-27 19:29:26.728229+00,132.37
MD-V6-0000547,2025-12-27 19:29:29.222765+00,108.33
MD-V6-0000547,2025-12-27 19:29:30.263405+00,97.08
MD-V6-0000547,2025-12-27 19:29:31.984465+00,83.25
MD-V6-0000547,2025-12-27 19:29:32.624859+00,85.59
MD-V6-0000547,2025-12-27 19:29:35.319518+00,71.54
MD-V6-0000547,2025-12-27 19:29:37.080601+00,63.22
MD-V6-0000547,2025-12-27 19:29:37.84107+00,66.71
MD-V6-0000547,2025-12-27 19:29:43.176354+00,54.39
MD-V6-0000547,2025-12-27 19:29:44.390101+00,53.42
MD-V6-0000547,2025-12-27 19:29:45.150569+00,59.09
MD-V6-0000547,2025-12-27 19:29:45.992087+00,61.83
MD-V6-0000547,2025-12-27 19:29:46.591456+00,70.32
MD-V6-0000547,2025-12-27 19:29:47.952294+00,64.49
MD-V6-0000547,2025-12-27 19:29:49.126016+00,61.66
MD-V6-0000547,2025-12-27 19:29:50.686977+00,56.5
MD-V6-0000547,2025-12-27 19:29:52.327987+00,52.08
MD-V6-0000547,2025-12-27 19:29:54.902572+00,45.71
MD-V6-0000547,2025-12-27 19:29:55.582991+00,55.16
MD-V6-0000547,2025-12-27 19:29:56.503557+00,57.4
MD-V6-0000547,2025-12-27 19:29:57.18998+00,64.25
MD-V6-0000547,2025-12-27 19:29:59.35131+00,56.14
MD-V6-0000547,2025-12-27 19:29:59.871631+00,69.31
MD-V6-0000547,2025-12-27 19:30:00.55205+00,73.52
MD-V6-0000547,2025-12-27 19:30:01.285501+00,75.7
MD-V6-0000547,2025-12-27 19:30:03.08661+00,66.28
MD-V6-0000547,2025-12-27 19:30:03.326758+00,107.11
MD-V6-0000547,2025-12-27 19:30:05.648186+00,89.05
MD-V6-0000547,2025-12-27 19:30:06.821909+00,80.76
MD-V6-0000547,2025-12-27 19:30:07.662426+00,78.69
MD-V6-0000547,2025-12-27 19:30:14.445602+00,63.17
MD-V6-0000547,2025-12-27 19:30:17.767647+00,53.15
MD-V6-0000547,2025-12-27 19:30:19.181517+00,50.86
MD-V6-0000547,2025-12-27 19:30:20.629408+00,48.82
MD-V6-0000547,2025-12-27 19:30:22.390492+00,45.55
MD-V6-0000547,2025-12-27 19:30:24.070527+00,43.36
MD-V6-0000547,2025-12-27 19:30:25.045126+00,47.61
MD-V6-0000547,2025-12-27 19:30:25.405348+00,74.07
MD-V6-0000547,2025-12-27 19:30:26.125792+00,76.13
MD-V6-0000547,2025-12-27 19:30:26.486013+00,96.25
MD-V6-0000547,2025-12-27 19:30:27.126408+00,95.69
MD-V6-0000547,2025-12-27 19:30:27.565678+00,104.73
MD-V6-0000547,2025-12-27 19:30:28.085998+00,107.1
MD-V6-0000547,2025-12-27 19:30:28.646343+00,107.11
MD-V6-0000547,2025-12-27 19:30:29.168665+00,108.95
MD-V6-0000547,2025-12-27 19:30:29.861091+00,104.35
MD-V6-0000547,2025-12-27 19:30:30.540509+00,100.77
MD-V6-0000547,2025-12-27 19:30:31.421051+00,93.52
MD-V6-0000547,2025-12-27 19:30:34.910199+00,76.57
MD-V6-0000547,2025-12-27 19:30:35.430519+00,85.2
MD-V6-0000547,2025-12-27 19:30:37.204611+00,73.84
MD-V6-0000547,2025-12-27 19:30:39.892266+00,62.41
MD-V6-0000547,2025-12-27 19:30:41.373177+00,57.55
MD-V6-0000547,2025-12-27 19:30:41.733399+00,81.8
MD-V6-0000547,2025-12-27 19:30:42.613941+00,78.77
MD-V6-0000547,2025-12-27 19:30:42.934138+00,102.93
MD-V6-0000547,2025-12-27 19:30:44.548132+00,88.39
MD-V6-0000547,2025-12-27 19:30:45.3086+00,86.29
MD-V6-0000547,2025-12-27 19:30:45.628797+00,108.78
MD-V6-0000547,2025-12-27 19:30:46.42929+00,101.28
MD-V6-0000547,2025-12-27 19:30:46.831537+00,112.1
MD-V6-0000547,2025-12-27 19:30:46.956614+00,198.31
MD-V6-0000547,2025-12-27 19:30:48.356476+00,163.76
MD-V6-0000547,2025-12-27 19:30:48.836771+00,155.15
MD-V6-0000547,2025-12-27 19:30:50.08454+00,131.42
MD-V6-0000547,2025-12-27 19:30:50.804983+00,120.73
MD-V6-0000547,2025-12-27 19:30:51.165205+00,130.94
MD-V6-0000547,2025-12-27 19:30:51.845624+00,121.45
MD-V6-0000547,2025-12-27 19:30:52.285895+00,124.77
MD-V6-0000547,2025-12-27 19:30:52.926289+00,117.87
MD-V6-0000547,2025-12-27 19:30:53.526659+00,113.9
MD-V6-0000547,2025-12-27 19:30:54.900504+00,98.39
MD-V6-0000547,2025-12-27 19:30:55.500874+00,98.75
MD-V6-0000547,2025-12-27 19:30:56.701613+00,87.92
MD-V6-0000547,2025-12-27 19:30:57.341006+00,89.21
MD-V6-0000547,2025-12-27 19:30:58.715853+00,79.19
MD-V6-0000547,2025-12-27 19:30:58.996025+00,109.21
MD-V6-0000547,2025-12-27 19:30:59.476321+00,112.72
MD-V6-0000547,2025-12-27 19:30:59.869563+00,121.01
MD-V6-0000547,2025-12-27 19:31:01.08331+00,105.23
MD-V6-0000547,2025-12-27 19:31:02.437143+00,91.65
MD-V6-0000547,2025-12-27 19:31:03.237636+00,87.95
MD-V6-0000547,2025-12-27 19:31:04.011112+00,85.95
MD-V6-0000547,2025-12-27 19:31:05.331925+00,76.95
MD-V6-0000547,2025-12-27 19:31:05.772196+00,90.15
MD-V6-0000547,2025-12-27 19:31:07.01296+00,80.87
MD-V6-0000547,2025-12-27 19:31:07.813453+00,79.57
MD-V6-0000547,2025-12-27 19:31:08.987175+00,73.38
MD-V6-0000547,2025-12-27 19:31:09.387422+00,90.41
MD-V6-0000547,2025-12-27 19:31:09.941763+00,94.13
MD-V6-0000547,2025-12-27 19:31:16.331696+00,75.3
MD-V6-0000547,2025-12-27 19:31:16.571844+00,114.13
MD-V6-0000547,2025-12-27 19:31:17.618488+00,101.59
MD-V6-0000547,2025-12-27 19:31:19.899893+00,84.86
MD-V6-0000547,2025-12-27 19:31:21.26073+00,75.8
MD-V6-0000547,2025-12-27 19:31:22.181297+00,73.45
MD-V6-0000547,2025-12-27 19:31:23.635192+00,66.39
MD-V6-0000547,2025-12-27 19:31:24.555758+00,66.13
MD-V6-0000547,2025-12-27 19:31:25.802526+00,62.19
MD-V6-0000547,2025-12-27 19:31:27.323462+00,57.14
MD-V6-0000547,2025-12-27 19:31:28.16398+00,60.31
MD-V6-0000547,2025-12-27 19:31:28.524201+00,83.95
MD-V6-0000547,2025-12-27 19:31:29.444768+00,79.79
MD-V6-0000547,2025-12-27 19:31:30.378343+00,76.55
MD-V6-0000547,2025-12-27 19:31:31.579082+00,70.65
MD-V6-0000547,2025-12-27 19:31:34.473864+00,59.58
MD-V6-0000547,2025-12-27 19:31:36.034825+00,54.89
MD-V6-0000547,2025-12-27 19:31:36.555145+00,68.33
MD-V6-0000547,2025-12-27 19:31:39.442923+00,57.77
MD-V6-0000547,2025-12-27 19:31:40.683686+00,55.69
MD-V6-0000547,2025-12-27 19:31:42.137581+00,52.57
MD-V6-0000547,2025-12-27 19:31:43.058148+00,55.38
MD-V6-0000547,2025-12-27 19:31:43.378345+00,84.74
MD-V6-0000547,2025-12-27 19:31:43.698542+00,107.58
MD-V6-0000547,2025-12-27 19:31:44.579084+00,98.82
MD-V6-0000547,2025-12-27 19:31:52.209781+00,78.62
MD-V6-0000547,2025-12-27 19:31:53.010274+00,77.81
MD-V6-0000547,2025-12-27 19:31:53.890816+00,75.67
MD-V6-0000547,2025-12-27 19:31:54.331087+00,89.16
MD-V6-0000547,2025-12-27 19:31:59.553302+00,71.91
MD-V6-0000547,2025-12-27 19:32:00.273745+00,74.45
MD-V6-0000547,2025-12-27 19:32:00.914139+00,78.74
MD-V6-0000547,2025-12-27 19:32:02.835322+00,68.18
MD-V6-0000547,2025-12-27 19:32:08.978103+00,55.21
MD-V6-0000547,2025-12-27 19:32:09.378349+00,76.28
MD-V6-0000547,2025-12-27 19:32:11.032367+00,67.46
MD-V6-0000547,2025-12-27 19:32:11.792836+00,70.01
