device_id,recorded_at,value
MD-V6-0000547,2025-12-27 19:32:30.389283+00,0.000032
MD-V6-0000547,2025-12-27 19:32:30.654446+00,0.000152
MD-V6-0000547,2025-12-27 19:32:31.522981+00,0.000016
MD-V6-0000547,2025-12-27 19:32:32.255432+00,0.000015
MD-V6-0000547,2025-12-27 19:32:32.455555+00,0.000056
MD-V6-0000547,2025-12-27 19:32:32.78976+00,0.000031
MD-V6-0000547,2025-12-27 19:32:33.789376+00,0.000217
MD-V6-0000547,2025-12-27 19:32:35.25828+00,0.000015
MD-V6-0000547,2025-12-27 19:32:36.264899+00,0.00004
MD-V6-0000547,2025-12-27 19:32:37.864884+00,0.000051
MD-V6-0000547,2025-12-27 19:32:38.399213+00,0.000175
MD-V6-0000547,2025-12-27 19:32:39.466871+00,0.000012
MD-V6-0000547,2025-12-27 19:32:40.200322+00,0.000013
MD-V6-0000547,2025-12-27 19:32:40.400445+00,0.000018
MD-V6-0000547,2025-12-27 19:32:40.66761+00,0.000041
MD-V6-0000547,2025-12-27 19:32:41.467102+00,0.000031
MD-V6-0000547,2025-12-27 19:32:42.201554+00,0.000026
MD-V6-0000547,2025-12-27 19:32:47.470798+00,0.000202
MD-V6-0000547,2025-12-27 19:32:48.744581+00,0.000273
MD-V6-0000547,2025-12-27 19:32:52.146676+00,0.000022
MD-V6-0000547,2025-12-27 19:32:53.820706+00,0.000013
MD-V6-0000547,2025-12-27 19:32:54.153911+00,0.000088
MD-V6-0000547,2025-12-27 19:32:54.820322+00,0.00001
MD-V6-0000547,2025-12-27 19:32:55.020445+00,0.000034
MD-V6-0000547,2025-12-27 19:32:55.621815+00,0.000005
MD-V6-0000547,2025-12-27 19:32:56.088102+00,0.000012
MD-V6-0000547,2025-12-27 19:32:56.288225+00,0.000038
MD-V6-0000547,2025-12-27 19:32:57.155759+00,0.00001
MD-V6-0000547,2025-12-27 19:32:57.355882+00,0.000044
MD-V6-0000547,2025-12-27 19:32:57.822169+00,0.000012
MD-V6-0000547,2025-12-27 19:32:58.695707+00,0.000013
MD-V6-0000547,2025-12-27 19:32:59.095953+00,0.00003
MD-V6-0000547,2025-12-27 19:32:59.4972+00,0.000056
MD-V6-0000547,2025-12-27 19:33:00.703943+00,0.000004
MD-V6-0000547,2025-12-27 19:33:12.577252+00,0.000138
MD-V6-0000547,2025-12-27 19:33:14.577483+00,0.000013
MD-V6-0000547,2025-12-27 19:33:14.844648+00,0.00036
MD-V6-0000547,2025-12-27 19:33:17.125051+00,0.000017
MD-V6-0000547,2025-12-27 19:33:17.325175+00,0.000478
MD-V6-0000547,2025-12-27 19:33:23.26283+00,0.000006
MD-V6-0000547,2025-12-27 19:33:23.528993+00,0.000097
MD-V6-0000547,2025-12-27 19:33:24.729733+00,0.000011
MD-V6-0000547,2025-12-27 19:33:24.996897+00,0.000015
MD-V6-0000547,2025-12-27 19:33:25.263061+00,0.000008
MD-V6-0000547,2025-12-27 19:33:25.597266+00,0.000025
MD-V6-0000547,2025-12-27 19:33:26.931087+00,0.000013
MD-V6-0000547,2025-12-27 19:33:28.39799+00,0.000012
MD-V6-0000547,2025-12-27 19:33:28.798237+00,0.000007
MD-V6-0000547,2025-12-27 19:33:37.203411+00,0.001
MD-V6-0000547,2025-12-27 19:33:37.80378+00,0.00171
MD-V6-0000547,2025-12-27 19:33:40.93871+00,0.000055
MD-V6-0000547,2025-12-27 19:33:41.337956+00,0.000028
MD-V6-0000547,2025-12-27 19:33:41.672162+00,0.000028
MD-V6-0000547,2025-12-27 19:33:44.406845+00,0.000011
MD-V6-0000547,2025-12-27 19:33:44.74005+00,0.000103
MD-V6-0000547,2025-12-27 19:33:45.540543+00,0.000037
MD-V6-0000547,2025-12-27 19:33:46.273994+00,0.000013
MD-V6-0000547,2025-12-27 19:33:46.741282+00,0.000059
MD-V6-0000547,2025-12-27 19:33:47.341651+00,0.00038
MD-V6-0000547,2025-12-27 19:33:51.284078+00,0.000225
MD-V6-0000547,2025-12-27 19:33:54.752213+00,0.000019
MD-V6-0000547,2025-12-27 19:33:55.352582+00,0.000029
MD-V6-0000547,2025-12-27 19:33:57.092654+00,0.000035
MD-V6-0000547,2025-12-27 19:33:57.693023+00,0.000484
MD-V6-0000547,2025-12-27 19:34:01.628446+00,0.000353
MD-V6-0000547,2025-12-27 19:34:06.765608+00,0.000207
MD-V6-0000547,2025-12-27 19:34:12.501138+00,0.000245
MD-V6-0000547,2025-12-27 19:34:14.902617+00,0.000329
MD-V6-0000547,2025-12-27 19:34:19.837655+00,0.000452
MD-V6-0000547,2025-12-27 19:34:25.307021+00,0.00028
MD-V6-0000547,2025-12-27 19:34:30.377142+00,0.000238
MD-V6-0000547,2025-12-27 19:34:35.113057+00,0.000084
MD-V6-0000547,2025-12-27 19:34:35.912549+00,0.000015
MD-V6-0000547,2025-12-27 19:34:36.180715+00,0.000006
MD-V6-0000547,2025-12-27 19:34:37.18133+00,0.000308
MD-V6-0000547,2025-12-27 19:34:40.715506+00,0.00014
MD-V6-0000547,2025-12-27 19:34:42.84982+00,0.000051
MD-V6-0000547,2025-12-27 19:34:45.118216+00,0.000277
MD-V6-0000547,2025-12-27 19:34:47.185489+00,0.000028
MD-V6-0000547,2025-12-27 19:34:50.187336+00,0.000076
MD-V6-0000547,2025-12-27 19:34:51.05387+00,0.000006
MD-V6-0000547,2025-12-27 19:34:51.253993+00,0.000008
MD-V6-0000547,2025-12-27 19:34:54.996297+00,0.000014
MD-V6-0000547,2025-12-27 19:34:57.610906+00,0.008629
MD-V6-0000547,2025-12-27 19:35:01.286168+00,0.018214
MD-V6-0000547,2025-12-27 19:35:01.952579+00,0.007543
MD-V6-0000547,2025-12-27 19:35:04.821344+00,0.000478
MD-V6-0000547,2025-12-27 19:35:09.504227+00,0.016444
MD-V6-0000547,2025-12-27 19:35:09.904474+00,0.005398
MD-V6-0000547,2025-12-27 19:35:17.721285+00,0.018861
MD-V6-0000547,2025-12-27 19:35:18.188573+00,0.006258
MD-V6-0000547,2025-12-27 19:35:23.530861+00,0.024569
MD-V6-0000547,2025-12-27 19:35:29.400474+00,0.000433
MD-V6-0000547,2025-12-27 19:35:30.000844+00,0.009156
MD-V6-0000547,2025-12-27 19:35:31.867993+00,0.00006
MD-V6-0000547,2025-12-27 19:35:42.827739+00,0.000072
MD-V6-0000547,2025-12-27 19:35:43.027863+00,0.000081
MD-V6-0000547,2025-12-27 19:35:43.49515+00,0.002569
MD-V6-0000547,2025-12-27 19:35:43.896397+00,0.006874
MD-V6-0000547,2025-12-27 19:35:45.835591+00,0.003116
MD-V6-0000547,2025-12-27 19:35:50.038178+00,0.005271
MD-V6-0000547,2025-12-27 19:35:51.037793+00,0.003512
MD-V6-0000547,2025-12-27 19:35:52.906944+00,0.002179
MD-V6-0000547,2025-12-27 19:35:55.041258+00,0.001343
MD-V6-0000547,2025-12-27 19:35:59.375926+00,0.0089
MD-V6-0000547,2025-12-27 19:36:00.776788+00,0.001624
MD-V6-0000547,2025-12-27 19:36:03.44443+00,0.00085
MD-V6-0000547,2025-12-27 19:36:04.712211+00,0.000206
MD-V6-0000547,2025-12-27 19:36:04.912334+00,0.00124
MD-V6-0000547,2025-12-27 19:36:06.379237+00,0.001237
MD-V6-0000547,2025-12-27 19:36:07.312812+00,0.000581
MD-V6-0000547,2025-12-27 19:36:11.316276+00,0.001071
MD-V6-0000547,2025-12-27 19:36:11.516399+00,0.002692
MD-V6-0000547,2025-12-27 19:36:11.716522+00,0.002033
MD-V6-0000547,2025-12-27 19:36:14.723373+00,0.005417
MD-V6-0000547,2025-12-27 19:36:18.993001+00,0.017886
MD-V6-0000547,2025-12-27 19:36:19.193125+00,0.011289
MD-V6-0000547,2025-12-27 19:36:20.466909+00,0.000203
MD-V6-0000547,2025-12-27 19:36:20.801114+00,0.000673
MD-V6-0000547,2025-12-27 19:36:27.270096+00,0.000482
MD-V6-0000547,2025-12-27 19:36:28.204672+00,0.00174
MD-V6-0000547,2025-12-27 19:36:29.604533+00,0.005284
MD-V6-0000547,2025-12-27 19:36:30.405026+00,0.005428
MD-V6-0000547,2025-12-27 19:36:31.540725+00,0.001149
MD-V6-0000547,2025-12-27 19:36:32.673422+00,0.00027
MD-V6-0000547,2025-12-27 19:36:36.542804+00,0.011548
MD-V6-0000547,2025-12-27 19:36:40.817436+00,0.01405
MD-V6-0000547,2025-12-27 19:36:47.887788+00,0.000052
MD-V6-0000547,2025-12-27 19:36:52.896871+00,0.000059
MD-V6-0000547,2025-12-27 19:36:55.10423+00,0.001902
MD-V6-0000547,2025-12-27 19:38:11.097008+00,0.003223
MD-V6-0000547,2025-12-27 19:38:11.297131+00,0.00463
MD-V6-0000547,2025-12-27 19:38:11.497254+00,0.010477
MD-V6-0000547,2025-12-27 19:38:13.498486+00,0.010408
MD-V6-0000547,2025-12-27 19:38:16.966621+00,0.002154
MD-V6-0000547,2025-12-27 19:38:23.390575+00,0.002972
MD-V6-0000547,2025-12-27 19:38:25.59093+00,0.003893
MD-V6-0000547,2025-12-27 19:38:27.45908+00,0.001922
MD-V6-0000547,2025-12-27 19:38:30.127722+00,0.000459
MD-V6-0000547,2025-12-27 19:38:32.262036+00,0.030332
MD-V6-0000547,2025-12-27 19:38:34.129185+00,0.001681
MD-V6-0000547,2025-12-27 19:38:42.820535+00,0.00801
MD-V6-0000547,2025-12-27 19:38:43.020658+00,0.001534
MD-V6-0000547,2025-12-27 19:38:43.220782+00,0.006604
MD-V6-0000547,2025-12-27 19:38:45.228017+00,0.003307
MD-V6-0000547,2025-12-27 19:38:46.495798+00,0.027878
MD-V6-0000547,2025-12-27 19:39:02.723787+00,0.001153
MD-V6-0000547,2025-12-27 19:39:04.19069+00,0.002018
MD-V6-0000547,2025-12-27 19:39:05.598557+00,0.006626
MD-V6-0000547,2025-12-27 19:39:08.540367+00,0.004543
MD-V6-0000547,2025-12-27 19:39:09.074696+00,0.006291
MD-V6-0000547,2025-12-27 19:39:16.144048+00,0.012142
MD-V6-0000547,2025-12-27 19:39:16.877499+00,0.002637
MD-V6-0000547,2025-12-27 19:39:26.696543+00,0.063339
MD-V6-0000547,2025-12-27 19:39:29.03098+00,0.000547
MD-V6-0000547,2025-12-27 19:39:31.898746+00,0.002296
MD-V6-0000547,2025-12-27 19:39:32.098869+00,0.003175
MD-V6-0000547,2025-12-27 19:39:35.647053+00,0.001662
MD-V6-0000547,2025-12-27 19:39:35.847176+00,0.006471
MD-V6-0000547,2025-12-27 19:39:40.049763+00,0.000043
MD-V6-0000547,2025-12-27 19:39:40.382968+00,0.001503
MD-V6-0000547,2025-12-27 19:39:49.32147+00,0.010061
MD-V6-0000547,2025-12-27 19:39:58.606186+00,0.002491
MD-V6-0000547,2025-12-27 19:40:01.675075+00,0.004183
MD-V6-0000547,2025-12-27 19:40:02.141362+00,0.001128
MD-V6-0000547,2025-12-27 19:40:03.875429+00,0.005466
MD-V6-0000547,2025-12-27 19:40:04.209635+00,0.006596
MD-V6-0000547,2025-12-27 19:40:06.409989+00,0.003896
MD-V6-0000547,2025-12-27 19:40:06.744195+00,0.003257
MD-V6-0000547,2025-12-27 19:40:13.480341+00,0.002356
MD-V6-0000547,2025-12-27 19:40:28.174387+00,0.015803
MD-V6-0000547,2025-12-27 19:40:39.780531+00,0.005411
MD-V6-0000547,2025-12-27 19:40:51.119511+00,0.007267
MD-V6-0000547,2025-12-27 19:40:51.71988+00,0.005043
MD-V6-0000547,2025-12-27 19:41:06.327872+00,0.000924
MD-V6-0000547,2025-12-27 19:41:07.128365+00,0.003301
MD-V6-0000547,2025-12-27 19:41:09.128596+00,0.000273
MD-V6-0000547,2025-12-27 19:41:22.209648+00,0.002958
MD-V6-0000547,2025-12-27 19:41:23.543469+00,0.001056
MD-V6-0000547,2025-12-27 19:41:34.027923+00,0.015753
MD-V6-0000547,2025-12-27 19:41:35.228662+00,0.00916
MD-V6-0000547,2025-12-27 19:41:43.239594+00,0.00555
MD-V6-0000547,2025-12-27 19:41:56.119522+00,0.01473
MD-V6-0000547,2025-12-27 19:41:59.468583+00,0.032786
MD-V6-0000547,2025-12-27 19:42:09.813951+00,0.000002
MD-V6-0000547,2025-12-27 19:42:32.111677+00,0.000059
MD-V6-0000547,2025-12-27 19:42:33.446499+00,0.000646
MD-V6-0000547,2025-12-27 19:42:35.587817+00,0.000139
MD-V6-0000547,2025-12-27 19:42:54.403399+00,0.006731
MD-V6-0000547,2025-12-27 19:42:59.745687+00,0.000105
MD-V6-0000547,2025-12-27 19:43:16.227833+00,0.000752
MD-V6-0000547,2025-12-27 19:43:16.494997+00,0.009843
MD-V6-0000547,2025-12-27 19:43:26.774325+00,0.000669
MD-V6-0000547,2025-12-27 19:43:27.240612+00,0.000085
MD-V6-0000547,2025-12-27 19:43:27.706899+00,0.000457
MD-V6-0000547,2025-12-27 19:43:32.84306+00,0.003058
MD-V6-0000547,2025-12-27 19:43:33.110225+00,0.002249
MD-V6-0000547,2025-12-27 19:43:35.044415+00,0.00392
MD-V6-0000547,2025-12-27 19:43:38.712674+00,0.002625
MD-V6-0000547,2025-12-27 19:43:42.128776+00,0.000715
MD-V6-0000547,2025-12-27 19:43:43.528638+00,0.002642
MD-V6-0000547,2025-12-27 19:43:45.062582+00,0.002178
MD-V6-0000547,2025-12-27 19:43:46.263321+00,0.000044
MD-V6-0000547,2025-12-27 19:43:49.745465+00,0.004926
MD-V6-0000547,2025-12-27 19:43:51.479532+00,0.000607
MD-V6-0000547,2025-12-27 19:44:00.090833+00,0.000438
MD-V6-0000547,2025-12-27 19:44:02.825516+00,0.001868
MD-V6-0000547,2025-12-27 19:44:04.093297+00,0.011778
MD-V6-0000547,2025-12-27 19:44:11.169653+00,0.001795
MD-V6-0000547,2025-12-27 19:44:20.727536+00,0.002496
MD-V6-0000547,2025-12-27 19:44:30.266408+00,0.00113
MD-V6-0000547,2025-12-27 19:44:40.004402+00,0.000041
MD-V6-0000547,2025-12-27 19:44:44.346075+00,0.003304
MD-V6-0000547,2025-12-27 19:44:49.482236+00,0.005229
MD-V6-0000547,2025-12-27 19:44:52.290965+00,0.005884
MD-V6-0000547,2025-12-27 19:45:09.126328+00,0.000168
MD-V6-0000547,2025-12-27 19:45:18.283965+00,0.000255
MD-V6-0000547,2025-12-27 19:45:28.642342+00,0.000096
MD-V6-0000547,2025-12-27 19:45:28.976547+00,0.000575
MD-V6-0000547,2025-12-27 19:45:30.844697+00,0.001233
MD-V6-0000547,2025-12-27 19:45:37.260647+00,0.001452
MD-V6-0000547,2025-12-27 19:45:43.27735+00,0.000209
MD-V6-0000547,2025-12-27 19:47:10.735185+00,0.000156
MD-V6-0000547,2025-12-27 19:47:11.202473+00,0.00261
MD-V6-0000547,2025-12-27 19:47:11.535678+00,0.001507
MD-V6-0000547,2025-12-27 19:47:50.589718+00,0.004466
MD-V6-0000547,2025-12-27 19:47:51.457252+00,0.002129
MD-V6-0000547,2025-12-27 19:47:52.057622+00,0.001003
MD-V6-0000547,2025-12-27 19:47:52.323786+00,0.000909
MD-V6-0000547,2025-12-27 19:47:52.589949+00,0.000781
MD-V6-0000547,2025-12-27 19:47:52.857114+00,0.000639
MD-V6-0000547,2025-12-27 19:47:53.391443+00,0.001069
MD-V6-0000547,2025-12-27 19:47:54.458099+00,0.000255
MD-V6-0000547,2025-12-27 19:47:54.725264+00,0.000421
MD-V6-0000547,2025-12-27 19:47:55.058469+00,0.000848
MD-V6-0000547,2025-12-27 19:47:55.458715+00,0.000385
MD-V6-0000547,2025-12-27 19:47:55.926003+00,0.000617
MD-V6-0000547,2025-12-27 19:47:56.725495+00,0.000401
MD-V6-0000547,2025-12-27 19:47:57.059701+00,0.000736
MD-V6-0000547,2025-12-27 19:47:57.926234+00,0.00129
MD-V6-0000547,2025-12-27 19:47:58.793768+00,0.000175
MD-V6-0000547,2025-12-27 19:47:59.594261+00,0.000215
MD-V6-0000547,2025-12-27 19:48:00.060548+00,0.000168
MD-V6-0000547,2025-12-27 19:48:00.527836+00,0.001278
MD-V6-0000547,2025-12-27 19:48:01.468415+00,0.000708
MD-V6-0000547,2025-12-27 19:48:02.014751+00,0.000236
MD-V6-0000547,2025-12-27 19:48:02.61512+00,0.000703
MD-V6-0000547,2025-12-27 19:48:03.483655+00,0.000112
MD-V6-0000547,2025-12-27 19:48:03.81586+00,0.000217
MD-V6-0000547,2025-12-27 19:48:04.084025+00,0.0001
MD-V6-0000547,2025-12-27 19:48:04.283147+00,0.00014
MD-V6-0000547,2025-12-27 19:48:04.48327+00,0.001066
MD-V6-0000547,2025-12-27 19:48:06.084256+00,0.000234
MD-V6-0000547,2025-12-27 19:48:06.485503+00,0.000086
MD-V6-0000547,2025-12-27 19:48:07.090876+00,0.000329
MD-V6-0000547,2025-12-27 19:48:07.691245+00,0.000599
MD-V6-0000547,2025-12-27 19:48:08.691861+00,0.000049
MD-V6-0000547,2025-12-27 19:48:09.159149+00,0.00055
MD-V6-0000547,2025-12-27 19:48:09.625436+00,0.000123
MD-V6-0000547,2025-12-27 19:48:09.825559+00,0.000218
MD-V6-0000547,2025-12-27 19:48:10.359888+00,0.001073
MD-V6-0000547,2025-12-27 19:48:11.093339+00,0.00008
MD-V6-0000547,2025-12-27 19:48:11.559626+00,0.000411
MD-V6-0000547,2025-12-27 19:48:11.959873+00,0.000241
MD-V6-0000547,2025-12-27 19:48:12.42716+00,0.00031
MD-V6-0000547,2025-12-27 19:48:12.760365+00,0.000527
MD-V6-0000547,2025-12-27 19:48:13.094571+00,0.000321
MD-V6-0000547,2025-12-27 19:48:13.294694+00,0.000765
MD-V6-0000547,2025-12-27 19:48:13.694941+00,0.001003
MD-V6-0000547,2025-12-27 19:48:14.29531+00,0.000001
MD-V6-0000547,2025-12-27 19:48:14.628515+00,0.00027
MD-V6-0000547,2025-12-27 19:48:15.028762+00,0.000084
MD-V6-0000547,2025-12-27 19:48:16.563707+00,0.000798
MD-V6-0000547,2025-12-27 19:48:17.230117+00,0.000096
MD-V6-0000547,2025-12-27 19:48:17.43024+00,0.000102
MD-V6-0000547,2025-12-27 19:48:17.697404+00,0.000089
MD-V6-0000547,2025-12-27 19:48:18.563938+00,0.000061
MD-V6-0000547,2025-12-27 19:48:18.964184+00,0.000571
MD-V6-0000547,2025-12-27 19:48:20.298005+00,0.000025
MD-V6-0000547,2025-12-27 19:48:20.898375+00,0.000074
MD-V6-0000547,2025-12-27 19:48:21.232581+00,0.000097
MD-V6-0000547,2025-12-27 19:48:21.838954+00,0.000219
MD-V6-0000547,2025-12-27 19:48:22.373283+00,0.000101
MD-V6-0000547,2025-12-27 19:48:22.972652+00,0.00007
MD-V6-0000547,2025-12-27 19:48:23.439939+00,0.000348
MD-V6-0000547,2025-12-27 19:48:24.439555+00,0.00019
MD-V6-0000547,2025-12-27 19:48:24.77376+00,0.000296
MD-V6-0000547,2025-12-27 19:48:25.307089+00,0.000844
MD-V6-0000547,2025-12-27 19:48:25.907458+00,0.000478
MD-V6-0000547,2025-12-27 19:48:26.849038+00,0.000064
MD-V6-0000547,2025-12-27 19:48:27.181242+00,0.000031
MD-V6-0000547,2025-12-27 19:48:27.581489+00,0.000136
MD-V6-0000547,2025-12-27 19:48:27.914694+00,0.000496
MD-V6-0000547,2025-12-27 19:48:28.515063+00,0.000097
MD-V6-0000547,2025-12-27 19:48:28.849269+00,0.000049
MD-V6-0000547,2025-12-27 19:48:29.249516+00,0.000185
MD-V6-0000547,2025-12-27 19:48:29.649762+00,0.000184
MD-V6-0000547,2025-12-27 19:48:30.050008+00,0.00018
MD-V6-0000547,2025-12-27 19:48:30.383213+00,0.000217
MD-V6-0000547,2025-12-27 19:48:30.917542+00,0.000121
MD-V6-0000547,2025-12-27 19:48:31.383829+00,0.000248
MD-V6-0000547,2025-12-27 19:48:31.850116+00,0.000077
MD-V6-0000547,2025-12-27 19:48:32.118281+00,0.000125
MD-V6-0000547,2025-12-27 19:48:32.584568+00,0.000156
MD-V6-0000547,2025-12-27 19:48:32.917773+00,0.000217
MD-V6-0000547,2025-12-27 19:48:33.31802+00,0.000118
MD-V6-0000547,2025-12-27 19:48:33.652225+00,0.000294
MD-V6-0000547,2025-12-27 19:48:33.918389+00,0.000263
MD-V6-0000547,2025-12-27 19:48:34.458722+00,0.000068
MD-V6-0000547,2025-12-27 19:48:34.791927+00,0.000036
MD-V6-0000547,2025-12-27 19:48:35.259215+00,0.000111
MD-V6-0000547,2025-12-27 19:48:36.059707+00,0.000219
MD-V6-0000547,2025-12-27 19:48:36.733122+00,0.000433
MD-V6-0000547,2025-12-27 19:48:37.066327+00,0.000161
MD-V6-0000547,2025-12-27 19:48:37.26645+00,0.00005
MD-V6-0000547,2025-12-27 19:48:37.466573+00,0.000005
MD-V6-0000547,2025-12-27 19:48:37.800779+00,0.000301
MD-V6-0000547,2025-12-27 19:48:39.074563+00,0.000017
MD-V6-0000547,2025-12-27 19:48:39.274687+00,0.000204
MD-V6-0000547,2025-12-27 19:48:39.942097+00,0.000138
MD-V6-0000547,2025-12-27 19:48:40.342344+00,0.000114
MD-V6-0000547,2025-12-27 19:48:40.675549+00,0.000081
MD-V6-0000547,2025-12-27 19:48:41.008754+00,0.000247
